"";"account_id";"company_name";"program_id";"access";"incorporation_country";"sectors";"industries";"activities";"primary_sector";"primary_industry";"primary_activity";"Target reference number";"Scope";"% emissions in Scope";"Targeted % reduction from base year";"Base year";"Start year";"Base year emissions covered by target (metric tons CO2e)";"Target year";"Is this a science-based target?";"% of target achieved";"Target status";"Please explain";"Likely % achieved issue";"Likely invalid formulation";"Keyword matches";"duration";"time_complete";"% reduction (annual linear)";"Most recent accounting year";"Most recent accounting year end date";"Base year emissions (100% of scope)";"Base year emissions data source";"Base year emissions (100% of scope, excl. scope 3)";"Base year emissions data source (excl. scope 3)";"MRY emissions (100% of scope)";"MRY year emissions data source";"MRY emissions (100% of scope, excl. scope 3)";"MRY emissions data source (excl. scope 3)";"flag";"flag_notes";"T_ID";"target_type";"fin_sector"
"1";135;"ABN Amro Holding";"Investor";"public";"EU";"Financial services";"Services";"Asset managers, Banks";"Financial services";"Services";"Banks";"Abs 2";"Scope 1";100;100;2016;2016;3,37;2019;"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative";100;"Achieved";"This scope 1: Target includes our use of gas and our reduction target was set at 100% reduction. We have managed to reduce our emissions by 100 % in 2018 compared to the base year 2016. From 3,370 Ton CO2 to 0 Ton CO2. Reduction is mainly achieved by the purchase of green/bio gas as well as reduced use of gas in general. Note on scope 2: We do not have scope 2 targets. This is because our heating and cooling is from secondary energy sources for which not certificates are available. Besides this, we already procure 100% of our energy use from sustainable sources. General remark: Our focus is on reducing the absolute energy use our our buildings by investing in energy efficiency improvements and renewable energy production.";NA;NA;NA;3;0,666666666666667;33,3333333333333;2018;"2018-12-31";3,37;"C6 2019 S1";NA;NA;0;"C6 2019 S1";NA;NA;"-0ca-0ha-0e-0e-0cd-0zb-7f-0vm-0wbn-0wbo-5aa";"Base year emissions check: -0vm: stated base year emissions are 100% of calculated base year emissions (C6 2019 | TOTAL 3.37). -0wbn: stated base year emissions are 100% lower than calculated base year emissions (CCDS 2017 | TOTAL 7250). -0wbo: stated base year emissions are 100% lower than calculated base year emissions (DWH 2017 | TOTAL 7250).";"135-abs-S1-2016-2019-1";"absolute";"fin"
"2";135;"ABN Amro Holding";"Investor";"public";"EU";"Financial services";"Services";"Asset managers, Banks";"Financial services";"Services";"Banks";"Abs 3";"Scope 3: Business travel";76;43;2013;2016;20090;2020;"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative";51;"Achieved";"This scope 3: Business Travel target includes our CO2 emissions air travel and car travel. Our reduction target was set at for our car travel (lease cars). We have managed to reduce our emissions by 51%% compared to the base year 2013. From 20,090 Ton CO2 to 12,390 Ton CO2 in 2018. See following link for planed reduction https://www.abnamro.com/nl/duurzaam-bankieren/nieuwsbrief/2016/oktober/duurzaam-reizen-wordt-de-norm.html";NA;NA;NA;4;0,5;6,14285714285714;2018;"2018-12-31";NA;NA;NA;NA;18,72;"C6 2019 S3.06";NA;NA;"-0fb-0db-0zb-7f-0reb-0rad-0rea-5ad";"Organizational changes: Other: 39% decrease in 2016, Change in methodology: 71.8% increase in 2015,  Other: 18.7% increase in 2015";"135-abs-S3-2013-2020-1";"absolute";"fin"
"3";135;"ABN Amro Holding";"Investor";"public";"EU";"Financial services";"Services";"Asset managers, Banks";"Financial services";"Services";"Banks";"Abs 4";"Scope 3 (downstream)";80;0;2017;2017;4096;2030;"No, but we anticipate setting one in the next 2 years";4;NA;"ABN AMRO has introduced its Mission 2030 in 2017, which is also the base year of the CO2-emissions of this ambitions. The base year CO2 emissions without own facilities or facilities we rent is: 4,096.90 KTon CO2. For more details, please see our Sustainability Facts & Figures 2017, page 14: https://www.abnamro.com/nl/images/Documents/040_Duurzaamheid/080_Reporting/2017/ABN_AMRO_Sustainability_Facts_and_Figures_2017.pdfCurrent report indicated that emissions are currently 3,926 for which 1,89 is deducted for our facilities. Therfore the target refers to 3,924 kTon Co2. This corresponds with a 4.2% reduction.https://www.abnamro.com/en/images/Documents/010_About_ABN_AMRO/Annual_Report/2018/ABN_AMRO_Sustainability_Facts_and_Figures_and_Engagement-2018.pdf (Page 12)";"Possible % achieved issue";NA;"annual";13;0,0769230769230769;0;2018;"2018-12-31";4100730;"C6 2018 S3.09, C6 2018 S3.10, C6 2018 S3.11, C6 2018 S3.12, C6 2018 S3.13, C6 2018 S3.14, C6 2018 S3.15, C6 2018 S3.17: downstream completeness: 1";NA;NA;18398;"C6 2019 S3.09, C6 2019 S3.10, C6 2019 S3.11, C6 2019 S3.12, C6 2019 S3.13, C6 2019 S3.14, C6 2019 S3.15, C6 2019 S3.17: downstream completeness: 1";NA;NA;"-0hb-0ma-0fb-0ce-0zb-7f-0sa-0wbm-2am-2ea-2famz-5ac";"Base year emissions check: Base yr emissions for target scope, Scope 3 (downstream), has been calculated from the following scopes/categories: S3.09, S3.10, S3.11, S3.12, S3.13, S3.14, S3.15, S3.17 (downstream completeness: 1). -0wbm: stated base year emissions are 100% lower than calculated base year emissions (C6 2018 | TOTAL 3280584).";"135-abs-S3-2017-2030-1";"absolute";"fin"
"4";135;"ABN Amro Holding";"Investor";"public";"EU";"Financial services";"Services";"Asset managers, Banks";"Financial services";"Services";"Banks";"Abs 1";"Scope 1+2 (location-based)";100;55;2013;2013;15370;2017;"No, but we anticipate setting one in the next 2 years";72;"Expired";"This scope 1 and 2 target includes our use of electricity, gas, heating and cooling. Our reduction target was set at 55% for scope 1 and 2 combined. We have managed to reduce our emissions by 72% compared to the base year 2013. From 15,370 Ton CO2 to 4,370 Ton CO2.";NA;NA;NA;4;1,25;13,75;2018;"2018-12-31";15370;"C5.1 2019 S1, C5.1 2019 S2L";NA;NA;1,92;"C6 2019 S1, C6 2019 S2L";NA;NA;"-0e-0fb-0za-7ga-0zb-7f-0vk-0reb-0rad-0rea-5aa";"Base year emissions check: -0vk: stated base year emissions are 100% of calculated base year emissions (C5.1 2019 | TOTAL 15370).; Organizational changes: Other: 39% decrease in 2016, Change in methodology: 71.8% increase in 2015,  Other: 18.7% increase in 2015";"135-abs-S12L-2013-2017-1";"absolute";"fin"
"5";138;"Absa Group Limited";"Investor";"public";"South Africa";"Financial services";"Services";"Banks";"Financial services";"Services";"Banks";"Abs 1";"Scope 1+2 (location-based) +3 (upstream & downstream)";100;10;2015;2016;240135;2018;"No, but we anticipate setting one in the next 2 years";0;"Expired";"In 2016, we set a carbon reduction target of 10% by the end of September 2018, against the 2015 baseline. At the end of 2018, we saw a 18.7% increase against the 2015 baseline due to increased reliance on the South African electricity grid which has a higher emission factor than diesel and gas. In 2015 South Africa experienced extended periods of power outages resulting in more self-generated energy produced from natural gas and diesel. Scope 2 and Scope 3 emissions reduced due to increased reliance on back-up power generation than the national electricity grid along with a minor decrease in travel and related emissions. The Group's carbon footprint decreased by 2.8% from 2017 due to energy efficiency initiatives along with previously mentioned power outages experienced during 2018. Our intensity ratio (total carbon emissions divided by total number of employees) improved slightly 7.25 (2017: 7.27).";NA;NA;"South Africa (breakdown matches)";2;1;3,33333333333333;2018;"2018-09-30";225922;"DWH 2016 S1, DWH 2016 S2L, DWH 2016 S3.01, DWH 2016 S3.02, DWH 2016 S3.03, DWH 2016 S3.04, DWH 2016 S3.05, DWH 2016 S3.06, DWH 2016 S3.08, DWH 2016 S3.09, DWH 2016 S3.10, DWH 2016 S3.11, DWH 2016 S3.12, DWH 2016 S3.14: upstream completeness: 1 downstream completeness: 0.833333333333333";212941;"C5.1 2019 S1, C5.1 2019 S2L";311189;"C6 2019 S1, C6 2019 S2L, C6 2019 S3.01, C6 2019 S3.02, C6 2019 S3.03, C6 2019 S3.05, C6 2019 S3.06, C6 2019 S3.08, C6 2019 S3.09, C6 2019 S3.10, C6 2019 S3.11, C6 2019 S3.12, C6 2019 S3.13, C6 2019 S3.14: upstream completeness: 1 downstream completeness: 0.857142857142857";259399;"C6 2019 S1, C6 2019 S2L";"-0cb-0e-0fa-0fa-0za-7f-0zb-7ga-0scm-0vo-0ta-0rad-0rec-5aa";"Base year emissions check: Base yr emissions for target scope, Scope 1+2 (location-based) +3 (upstream & downstream), has been calculated from the following scopes/categories: S1, S2L, S3.01, S3.02, S3.03, S3.04, S3.05, S3.06, S3.08, S3.09, S3.10, S3.11, S3.12, S3.14 (upstream completeness: 1 downstream completeness: 0.833333333333333). -0vo: stated base year emissions are 94% of calculated base year emissions (DWH 2016 | TOTAL 225922).; Found keyword(s): South Africa; Organizational changes: Change in methodology: 8.0% increased in 2017, Other: 1.5% decrease in 2016";"138-abs-S12L3-2015-2018-1";"absolute";"fin"
"6";252;"Aegon";"Investor";"public";"EU";"Financial services";"Services";"Insurance";"Financial services";"Services";"Insurance";"Abs 1";"Scope 1 +2 (market-based)";100;100;2014;2017;77448;2018;"No, but we anticipate setting one in the next 2 years";100;"Achieved";"It is our objective to operate as a carbon neutral company by purchasing renewable electricity wherever possible for our in-scope locations (US, NL and UK business operations), purchasing renewable energy credits (RECs) where it is not possible to purchase renewable electricity, and offsetting remaining emissions through the purchase of CO2 offsets (aligned with our priority UN Sustainable Development Goals, which include 'Climate Action').";NA;"Likely inclusion of RECs, ETS, or offsets";NA;1;1;25;2018;"2018-12-31";NA;NA;NA;NA;40084;"C6 2019 S1, C6 2019 S2M";NA;NA;"-0aa-0ca-0ha-9ca-9cb-0cd-0reb-0rcd-5ad";"Organizational changes: Other: 94.8% decreased in 2018, Change in methodology: 1% increase in 2016";"252-abs-S12M-2014-2018-1";"absolute";"fin"
"7";362;"AFLAC Incorporated";"Investor";"public";"USA";"Financial services";"Services";"Insurance";"Financial services";"Services";"Insurance";"Abs 1";"Scope 2 (location-based)";100;75;2007;2008;29765;2030;"No, and we do not anticipate setting one in the next 2 years";82;"Underway";"By 2030, we plan to reduce United States Scope 2 emissions by 75% of our 2007 baseline (from 29765 MT CO2e in 2007 to 7319 MT CO2e by 2030 ). 2018 scope 2 emissions of 11,396 MT CO2e is 82% completion to goal.";NA;NA;NA;22;0,454545454545455;3,26086956521739;2018;"2018-12-31";33956;"C5.1 2019 S2L";NA;NA;13890;"C6 2019 S2L";NA;NA;"-0e-0e-0wbkq-0reb-0rca-0reb-2ak-2fakq-5ab";"Base year emissions check: -0wbkq: stated base year emissions are 12% lower than calculated base year emissions (C5.1 2019 | TOTAL 33956).; Organizational changes: Other: 9.7% decrease in 2016,  Divestment: 1.8% decrease in 2016, Other: 19% decrease in 2013";"362-abs-S2L-2007-2030-1";"absolute";"fin"
"8";362;"AFLAC Incorporated";"Investor";"public";"USA";"Financial services";"Services";"Insurance";"Financial services";"Services";"Insurance";"Abs 2";"Scope 1+2 (location-based)";100;17;2004;2015;5815;2019;"No, and we do not anticipate setting one in the next 2 years";100;"Achieved";"This is a target of AFLAC life insurance Japan, Ltd. Base year emissions are average emissions between April 1, 2002 and March 31, 2005. Absolute target was set based on the Tokyo carbon reduction reporting program. Value for ''Base year emissions covered by target"" was revised on April 1, 2015. The goal was achieved and Scope 1 + Scope 2 CO2 emissions between January 1 and December 31, 2018 were 3040 tCO2e. We will set a new goal for Aflac Insurance Japan, Ltd.";NA;NA;"Japan (breakdown matches)";4;0,75;1,13333333333333;2018;"2018-12-31";NA;NA;NA;NA;17090;"C6 2019 S1, C6 2019 S2L";NA;NA;"-0ca-0db-0ta-0reb-0rca-0reb-5ad";"Found keyword(s): Japan; Organizational changes: Other: 9.7% decrease in 2016,  Divestment: 1.8% decrease in 2016, Other: 19% decrease in 2013";"362-abs-S12L-2004-2019-1";"absolute";"fin"
"9";365;"Affiliated Managers Group";"Investor";"public";"USA";"Financial services";"Services";"Asset managers";"Financial services";"Services";"Asset managers";"Abs 1";"Scope 1+2 (location-based)";100;5;2017;2017;1178,74;2023;"No, and we do not anticipate setting one in the next 2 years";100;"Achieved";"AMG has achieved our reduction target through decreased usage, renewable energy certificates (RECs) and renewable sources.";NA;"Likely inclusion of RECs, ETS, or offsets";NA;6;0,166666666666667;0,833333333333333;2018;"2018-12-31";1178,74;"C5.1 2019 S1, C5.1 2019 S2L";NA;NA;1144,09;"C6 2019 S1, C6 2019 S2L";NA;NA;"-0ca-9ca-0zb-7f-0vk-0vm-0vn-5aa";"Base year emissions check: -0vk: stated base year emissions are 100% of calculated base year emissions (C5.1 2019 | TOTAL 1178.74). -0vm: stated base year emissions are 100% of calculated base year emissions (C6 2019 | TOTAL 1178.74). -0vn: stated base year emissions are 100% of calculated base year emissions (CCDS 2018 | TOTAL 1178.74).";"365-abs-S12L-2017-2023-1";"absolute";"fin"
"10";449;"AKBANK T.A.S.";"Investor";"public";"Turkey";"Financial services";"Services";"Banks";"Financial services";"Services";"Banks";"Abs 1";"Scope 1+2 (location-based)";83;20;2014;2016;55372;2020;"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative";58,73;"Underway";"While setting emission reduction target , 83 % of emissions are covered in scope .(Akbank reports its Scope 1+2+3 emissions but verified only Scope 1+2 emissions, targeted emissions only covers verified Scope 1+2 emissions)- Targets cover both scope 1 and 2 emissions- Targeting time frame is 6 year starting from 2014 to 2020.- 6 years reduction target is around 20% and 3.3% year-on-year emissions reductions between base year andtarget year.";NA;NA;NA;4;0,5;3,33333333333333;2018;"2018-12-31";55372;"C5.1 2019 S1, C5.1 2019 S2L";NA;NA;48867;"C6 2019 S1, C6 2019 S2L";NA;NA;"-0e-0fa-0za-7f-0zb-7f-0wakq-0waoq-2ak-2bo-2fakq-5ab";"Base year emissions check: -0wakq: stated base year emissions are 20% higher than calculated base year emissions (C5.1 2019 | TOTAL 45958.76). -0waoq: stated base year emissions are 20% higher than calculated base year emissions (DWH 2015 | TOTAL 45958.76).";"449-abs-S12L-2014-2020-1";"absolute";"fin"
