"account_id";"company_name";"program_id";"access";"incorporation_country";"sectors";"industries";"activities";"primary_sector";"primary_industry";"primary_activity";"Target reference number";"Scope";"% emissions in Scope";"Targeted % reduction from base year";"Base year";"Start year";"Base year emissions covered by target (metric tons CO2e)";"Target year";"Is this a science-based target?";"% of target achieved";"Target status";"Please explain";"Likely % achieved issue";"Likely invalid formulation";"Keyword matches";"duration";"time_complete";"% reduction (annual linear)";"Most recent accounting year";"Most recent accounting year end date";"Base year emissions (100% of scope)";"Base year emissions data source";"Base year emissions (100% of scope, excl. scope 3)";"Base year emissions data source (excl. scope 3)";"MRY emissions (100% of scope)";"MRY year emissions data source";"MRY emissions (100% of scope, excl. scope 3)";"MRY emissions data source (excl. scope 3)";"flag";"flag_notes";"T_ID";"target_type"
"1";304;"The AES Corporation";"Investor";"public";"United States of America";"Energy utility networks, Thermal power generation";"Infrastructure, Power generation";"CCGT generation, Coal generation, Electricity networks";"Thermal power generation";"Power generation";"Coal generation";"Abs 1";"Scope 2 (location-based)";100;12;2016;2018;800567;2018;"No, and we do not anticipate setting one in the next 2 years";0;"New";"In Brazil, the scope 2 emissions estimation depends on the Brazilian grid Emission Factor (EF). This EF varies every month, according to the energy type (hydro/wind/solar/coal) dispatched to the grid. Thus, it is not possible to establish any absolute or relative target for scope 2 in tCO2e. In this case, the energy reduction is calculated in MWh and then, the avoided emissions are estimated using the current EF.";NA;"Likely inclusion of avoided emissions";"Brazil (breakdown matches)";0;NA;6;2018;"2018-12-31";306367;"C5.1 2019 S2L";NA;NA;360007;"C6 2019 S2L";NA;NA;"-0cb-9cd-0wak-0wan-0wao-0ta-0rba-0rca-2ak-2fakz-2axt-5ac";"Base year emissions check: -0wak: stated base year emissions are 161% higher than calculated base year emissions (C5.1 2019 | TOTAL 306367). -0wan: stated base year emissions are 161% higher than calculated base year emissions (CCDS 2017 | TOTAL 306367). -0wao: stated base year emissions are 161% higher than calculated base year emissions (DWH 2017 | TOTAL 306367).; Found keyword(s): Brazil; Organizational changes: Divestment: 14.31% decreased in 2018, Divestment: 2.3% decreased in 2017";"304-abs-S2L-2016-2018-1";"absolute"
"2";351;"AGL Energy";"Investor";"public";"Australia";"Oil & gas extraction & production, Renewable power generation, Thermal power generation";"Fossil Fuels, Power generation";"CCGT generation, Coal generation, Hydro generation, Oil & gas extraction";"Thermal power generation";"Power generation";"Coal generation";"Abs 1";"Scope 1+2 (location-based)";17.6;100;2016;2016;43785498;2024;"No, and we do not anticipate setting one in the next 2 years";0;"Revised";"In FY2015, AGL committed in its Greenhouse Gas Policy to close all conventional coal power stations by 2050. The above represents the reduction of emissions from the Liddell coal fired power station. Liddell is scheduled to close at the end of calendar year 2022 and therefore the full impact of the closure will not be seen until financial year 2024. 0% of this target has been achieved to date as it represents a point in time closure and will not be achieved until the closure takes effect.Note that base, start and target year represent the end of the corresponding financial year statement.Note the target has been restated from 2018 to include separate facility level targets and to ensure compliance with CDP guidance.";NA;NA;NA;8;0.125;12.5;2018;"2018-06-30";43776410;"C5.1 2019 S1, C5.1 2019 S2L";NA;NA;43566555;"C6 2019 S1, C6 2019 S2L";NA;NA;"-0cb-0fa-0cd-0wak-0wan-0wao-2ak-2bn-2bo-2fakz-5ac";"Base year emissions check: -0wak: stated base year emissions are 468% higher than calculated base year emissions (C5.1 2019 | TOTAL 7704648.16). -0wan: stated base year emissions are 468% higher than calculated base year emissions (CCDS 2017 | TOTAL 7706247.648). -0wao: stated base year emissions are 468% higher than calculated base year emissions (DWH 2017 | TOTAL 7706247.648).";"351-abs-S12L-2016-2024-1";"absolute"
"3";351;"AGL Energy";"Investor";"public";"Australia";"Oil & gas extraction & production, Renewable power generation, Thermal power generation";"Fossil Fuels, Power generation";"CCGT generation, Coal generation, Hydro generation, Oil & gas extraction";"Thermal power generation";"Power generation";"Coal generation";"Abs 2";"Scope 1+2 (location-based)";54.2;100;2016;2016;43785498;2037;"No, and we do not anticipate setting one in the next 2 years";0;"Revised";"In FY2015, AGL committed in its Greenhouse Gas Policy to close all conventional coal power stations by 2050. The above represents the reduction of emissions from the Bayswater and Liddell coal fired power station. Bayswater is scheduled to close at the end of calendar year 2035 and therefore the full impact of the closure will not be seen until financial year 2037. 0% of this has been achieved to date as it represents a point in time closure and will not be achieved until the closure takes effect.Note that base, start and target year represent the end of the corresponding financial year statement.Note the target has been restated from 2018 to include separate facility level targets and to ensure compliance with CDP guidance.";NA;NA;NA;21;0.0476190476190476;4.76190476190476;2018;"2018-06-30";43776410;"C5.1 2019 S1, C5.1 2019 S2L";NA;NA;43566555;"C6 2019 S1, C6 2019 S2L";NA;NA;"-0cb-0fa-0cd-0wakq-0wanq-0waoq-2ak-2bn-2bo-2fakq-5ab";"Base year emissions check: -0wakq: stated base year emissions are 85% higher than calculated base year emissions (C5.1 2019 | TOTAL 23726814.22). -0wanq: stated base year emissions are 85% higher than calculated base year emissions (CCDS 2017 | TOTAL 23731739.916). -0waoq: stated base year emissions are 85% higher than calculated base year emissions (DWH 2017 | TOTAL 23731739.916).";"351-abs-S12L-2016-2037-1";"absolute"
"4";351;"AGL Energy";"Investor";"public";"Australia";"Oil & gas extraction & production, Renewable power generation, Thermal power generation";"Fossil Fuels, Power generation";"CCGT generation, Coal generation, Hydro generation, Oil & gas extraction";"Thermal power generation";"Power generation";"Coal generation";"Abs 3";"Scope 1+2 (location-based)";96.2;100;2016;2016;43785498;2050;"No, and we do not anticipate setting one in the next 2 years";0;"Revised";"In FY2015, AGL committed in its Greenhouse Gas Policy to close all conventional coal power stations by 2050. The target above represents the reduction of emissions from the Loy Yang A, Bayswater and Liddell coal fired power stations. Loy Yang A is scheduled to close at the end of calendar year 2048 and therefore the full impact of the closure will not be seen until financial year 2050. 0% of this has been achieved to date as it represents a point in time closure and will not be achieved until the closure takes effect.Note that base, start and target year represent the end of the corresponding financial year statement.Note the target has been restated from 2018 to include separate facility level targets and to ensure compliance with CDP guidance.";NA;NA;NA;34;0.0294117647058824;2.94117647058824;2018;"2018-06-30";43776410;"C5.1 2019 S1, C5.1 2019 S2L";NA;NA;43566555;"C6 2019 S1, C6 2019 S2L";NA;NA;"-0cb-0fa-0cd-0vk-0vn-0vo-5aa";"Base year emissions check: -0vk: stated base year emissions are 96% of calculated base year emissions (C5.1 2019 | TOTAL 42112906.42). -0vn: stated base year emissions are 96% of calculated base year emissions (CCDS 2017 | TOTAL 42121649.076). -0vo: stated base year emissions are 96% of calculated base year emissions (DWH 2017 | TOTAL 42121649.076).";"351-abs-S12L-2016-2050-1";"absolute"
"5";429;"Air France - KLM";"Investor";"public";"France";"Air transport, Industrial support services";"Services, Transportation services";"Air freight, Passenger airlines, Transportation support services";"Air transport";"Transportation services";"Passenger airlines";"Abs 1";"Scope 1";99;50;2005;2005;29556795;2050;"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative";11;"Underway";"This long term CO2 reduction target depend on future break-through technologies, that enable affordable sustainable aviation fuels and fundamental fuel efficiency gains by new long distance travel concepts. In the mid term we expect positive developments from fleet renewal, further use of sustainable aviation fuel and carbon pricing, to enable new investments and offsets from other sectors.IMPORTANT: The figure of 11% achieved includes the market-based measures (contribution ETS for Air France-KLM in 2018 2,548,000 ton CO2).";NA;"Likely inclusion of RECs, ETS, or offsets";"France (breakdown matches)";45;0.288888888888889;1.11111111111111;2018;"2018-09-30";NA;NA;NA;NA;27633195;"C6 2019 S1";NA;NA;"-9cb-9cc-0fa-0za-7f-0zb-7f-0ta-0rca-0rec-5ad";"Found keyword(s): France; Organizational changes: Divestment: 0.04% decrease in 2016, Other: 0.7% increase in 2012";"429-abs-S1-2005-2050-1";"absolute"
"6";689;"American Electric Power Company, Inc.";"Investor";"public";"United States of America";"Energy utility networks, Renewable power generation, Thermal power generation";"Infrastructure, Power generation";"CCGT generation, Coal generation, Electricity networks, Other renewable generation";"Thermal power generation";"Power generation";"Coal generation";"Abs 1";"Scope 1";99;10;2010;2010;134000000;2020;"No, but we are reporting another target that is science-based";100;"Achieved";"As our 2020 target has been already achieved, in early 2018 we developed new climate targets. In 2018, AEP achieved a 59 percent reduction in carbon emissions from its 2000 baseline. The company plans to revise its 2030 goal in 2019 since we achieved it nearly a decade ahead of schedule.";NA;NA;NA;10;0.8;1;2018;"2018-12-31";140917311;"C5.1 2019 S1";NA;NA;75361246;"C6 2019 S1";NA;NA;"-0ca-0za-7f-0zb-7f-0vk-0vo-0rba-0rad-0rad-5aa";"Base year emissions check: -0vk: stated base year emissions are 104% of calculated base year emissions (C5.1 2019 | TOTAL 139508137.89). -0vo: stated base year emissions are 102% of calculated base year emissions (DWH 2011 | TOTAL 136911852).; Organizational changes: Divestment: 18.0% decreased in 2017, Change in methodology: 6.5% increase in 2015, Change in methodology: 6.6% increase in 2013";"689-abs-S1-2010-2020-1";"absolute"
"7";689;"American Electric Power Company, Inc.";"Investor";"public";"United States of America";"Energy utility networks, Renewable power generation, Thermal power generation";"Infrastructure, Power generation";"CCGT generation, Coal generation, Electricity networks, Other renewable generation";"Thermal power generation";"Power generation";"Coal generation";"Abs 2";"Scope 1";99;80;2000;2018;167000000;2050;"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative";74;"Underway";"In mid-2017, in response to ongoing engagement on these issues with various stakeholders, AEP began to develop new intermediate and long-term carbon reduction goals. AEP's new intermediate goal is to reduce carbon dioxide emissions from AEP generating facilities by 60 percent from 2000 levels by 2030. In the longer term, AEP anticipates reducing carbon dioxide emissions from AEP generating facilities by 80 percent from 2000 levels by 2050. These goals reflect our current business strategy and are based on the output of our integrated resource plans, which are designed to plan for an appropriate mix of generation resources to meet energy and capacity needs at reasonable costs for our customers.In addition to being consistent with AEP's current resource plans, these goals are consistent with the intent to limit the global average temperature rise to less than 2 degrees Celsius above pre-industrial times. Although the United States is not a party to the Paris Climate Accord, stakeholders continue to use the 2 degree target as a framework for evaluating carbon reduction plans.";NA;NA;NA;32;0;1.6;2018;"2018-12-31";NA;NA;NA;NA;75361246;"C6 2019 S1";NA;NA;"-0zb-7f-0rba-0rad-0rad-5ad";"Organizational changes: Divestment: 18.0% decreased in 2017, Change in methodology: 6.5% increase in 2015, Change in methodology: 6.6% increase in 2013";"689-abs-S1-2000-2050-1";"absolute"
"8";772;"Anglo American";"Investor";"public";"United Kingdom of Great Britain and Northern Ireland";"Chemicals, Coal mining, Metal smelting, refining & forming, Metallic mineral mining, Other mineral mining";"Fossil Fuels, Manufacturing, Materials, Mineral extraction";"Coal extraction & processing, Iron ore mining, Non-nitrogenous fertilizers, Other non-ferrous metals, Other non-ferrous ore mining, Other non-metallic minerals, Precious metals & minerals mining";"Coal mining";"Fossil Fuels";"Coal extraction & processing";"Abs 1";"Scope 1+2 (location-based)";100;30;2016;2017;14593333;2030;"No, but we anticipate setting one in the next 2 years";0;"Underway";"Our energy-efficiency target for 2030 is a 30% reduction in our absolute energy intensity against our 2016 performance, while our long term GHG emissions target is a net 30% reduction in emissions against the 2016 level. The long term stretch targets align with our aspiration to develop a carbon-neutral mine. Building on the outcomes of the FutureSmart Mining cent Innovation Open Forum on energy that we held in December 2016, we held an energy efficiency workshop in October 2017 to further assist in identifying and prioritising opportunities, and in developing action plans meet our longer term targets. By the end of 2020, we will have assessed all our sites and prioritised the top 15 in terms of energy consumption, identifying the priority energy and carbon reduction options at these operations.Achieving the GHG target is linked directly to executive remuneration through the Long Term Incentive Plan. We will deliver against our 2030 stretch goals and have an ambition to run carbon neutral operations.A science-based target currently requires the inclusion of scope 3. An appropriate methodology for the mining industry is being developed. Although not verified, our target meets the scope 1 and 2 requirements of a science-based target.Zero % of the target has been achieved, when comparing emissions on a like-for-like basis (i.e. excluding divested operations and the non-managed JVs previously included in the reporting scope). A net increase in emissions is predominantly due to ramping up of production particularly at our Met Coal operations in Australia.";NA;NA;"Australia (breakdown matches)";13;0.0769230769230769;2.14285714285714;2018;"2018-12-31";14593334;"C5.1 2019 S1, C5.1 2019 S2L";NA;NA;16015067;"C6 2019 S1, C6 2019 S2L";NA;NA;"-0cb-0e-0e-0zb-7f-0vk-0wbnq-0wboq-0ta-0rbe-0rba-0rcb-0rba-5aa";"Base year emissions check: -0vk: stated base year emissions are 100% of calculated base year emissions (C5.1 2019 | TOTAL 14593334). -0wbnq: stated base year emissions are 18% lower than calculated base year emissions (CCDS 2017 | TOTAL 17753252). -0wboq: stated base year emissions are 18% lower than calculated base year emissions (DWH 2017 | TOTAL 17753252).; Found keyword(s): Australia; Organizational changes: Change in boundary: 7.0% decreased in 2018,  Divestment: 5.0% decreased in 2018,  Acquisitions: 0.0% increased in 2018, Divestment: 8.0% decreased in 2017";"772-abs-S12L-2016-2030-1";"absolute"
"9";772;"Anglo American";"Investor";"public";"United Kingdom of Great Britain and Northern Ireland";"Chemicals, Coal mining, Metal smelting, refining & forming, Metallic mineral mining, Other mineral mining";"Fossil Fuels, Manufacturing, Materials, Mineral extraction";"Coal extraction & processing, Iron ore mining, Non-nitrogenous fertilizers, Other non-ferrous metals, Other non-ferrous ore mining, Other non-metallic minerals, Precious metals & minerals mining";"Coal mining";"Fossil Fuels";"Coal extraction & processing";"Abs 2";"Scope 1+2 (location-based)";100;22;2015;2016;14042500;2020;"No, but we anticipate setting one in the next 2 years";100;"Underway";"Emissions are projected based on circumstances in line with operating plans (stripping ratios, ore hardness, haul distances, expansions and closures, etc.) and then performance is measured, ex-post, in line with the World Resources Institute's (WRI) Policy and Action Standard. Improvements are achieved by selecting and implementing high value energy efficiency and GHG mitigating and include projects undertaken through operational improvements and supply chain procurement. In 2011, we launched our operational energy- and carbon management programme, ECO2MAN, following increased recognition of our responsibility to reduce operational GHG emissions, as well as growing concern over the potential bearing on the business of the policy responses to climate change. Through ECO2MAN, we have been able to analyse our activities and identify opportunities to reduce energy consumption and carbon emissions. This understanding formed the basis for setting our ambitious target to reduce GHG emissions by 22% against our adjusted 2020 baseline consumption (subject to divestments and significant business changes). ECO2MAN is supported by a mandatory carbon and energy technical standard and related guidance.Achieving the GHG target is linked directly to executive remuneration through the Long Term Incentive Plan. We will deliver against our 2030 stretch goals and have an ambition to run carbon neutral operations.In 2018, approximately 440 energy efficiency and business improvement projects saved 6.7 million GJ in energy consumption relative to the projected consumption in a BAU scenario (a 6.5% reduction). GHG emission savings in 2018 amounted to 6.1 million tonnes (Mt) CO2e - a 25% reduction relative to the BAU 22.8 MtCO2e.";NA;NA;NA;4;0.5;4.4;2018;"2018-12-31";18227939;"DWH 2016 S1, DWH 2016 S2L";NA;NA;16015067;"C6 2019 S1, C6 2019 S2L";NA;NA;"-0ca-0e-0fa-0fb-0za-7f-0zb-7f-0wboq-0rbe-0rba-0rcb-0rba-0rca-0rcd-5ad";"Base year emissions check: -0wboq: stated base year emissions are 23% lower than calculated base year emissions (DWH 2016 | TOTAL 18227939).; Organizational changes: Change in boundary: 7.0% decreased in 2018,  Divestment: 5.0% decreased in 2018,  Acquisitions: 0.0% increased in 2018, Divestment: 8.0% decreased in 2017, Divestment: 0.45% decrease in 2016,  Change in methodology: 0.76% decrease in 2016";"772-abs-S12L-2015-2020-1";"absolute"
"10";1808;"BHP";"Investor";"public";"United Kingdom of Great Britain and Northern Ireland";"Coal mining, Financial services, Metal smelting, refining & forming, Metallic mineral mining, Oil & gas extraction & production";"Fossil Fuels, Materials, Mineral extraction, Services";"Banks, Coal extraction & processing, Copper, Iron ore mining, Oil & gas extraction, Other non-ferrous ore mining";"Metallic mineral mining";"Mineral extraction";"Iron ore mining";"Abs 1";"Scope 1 +2 (market-based)";100;0;2017;2017;16300000;2022;"No, but we are reporting another target that is science-based";0;"Underway";"In FY2018, we began working towards a new five-year GHG emissions reduction target. Our new target, which took effect from 1 July 2017, is to maintain our total operational emissions in FY2022 at or below FY2017 levels (16.3 million tonnes CO2e) while we continue to grow our business. The FY2017 baseline will be adjusted for any material acquisitions and divestments based on GHG emissions at the time of the transaction and carbon offsets will be used as required. Our operational emissions (Scopes 1 and 2 combined) in FY2018 totalled 16.5 million CO2-e. This is a one per cent increase compared to the FY2017 baseline, and is primarily due to an increase in Scope 2 emissions from our Minerals Americas business as a result of increased production at our Escondida and Pampa Norte copper assets in Chile, as well as the commissioning of a new desalination plant at Escondida. Note that this CDP response relates to FY2018. More recent information on our new targets and progress against them during FY2019 is available in our 2019 Sustainability Report and online at https://www.bhp.com";NA;"Likely inclusion of RECs, ETS, or offsets";NA;5;0;0;2018;"2018-06-30";16300000;"C5.1 2019 S1, C5.1 2019 S2M";NA;NA;16500000;"C6 2019 S1, C6 2019 S2M";NA;NA;"-0cb-0ha-9cb-0ce-0zb-7f-0vk-0vm-5aa";"Base year emissions check: -0vk: stated base year emissions are 100% of calculated base year emissions (C5.1 2019 | TOTAL 16300000). -0vm: stated base year emissions are 100% of calculated base year emissions (C6 2018 | TOTAL 16230000).";"1808-abs-S12M-2017-2022-1";"absolute"
