"account_id";"company_name";"program_id";"access";"incorporation_country";"sectors";"industries";"activities";"primary_sector";"primary_industry";"primary_activity";"Target reference number";"Scope";"% emissions in Scope";"Targeted % reduction from base year";"Base year";"Start year";"Base year emissions covered by target (metric tons CO2e)";"Target year";"Is this a science-based target?";"% of target achieved";"Target status";"Please explain";"Likely % achieved issue";"Likely invalid formulation";"Keyword matches";"duration";"time_complete";"% reduction (annual linear)";"Most recent accounting year";"Most recent accounting year end date";"Base year emissions (100% of scope)";"Base year emissions data source";"Base year emissions (100% of scope, excl. scope 3)";"Base year emissions data source (excl. scope 3)";"MRY emissions (100% of scope)";"MRY year emissions data source";"MRY emissions (100% of scope, excl. scope 3)";"MRY emissions data source (excl. scope 3)";"flag";"flag_notes";"T_ID";"target_type"
"1";276;"A.P. Moller - Maersk";"Investor";"public";"Denmark";"Industrial support services, Intermodal transport & logistics, Marine transport, Oil & gas extraction & production, Transportation equipment";"Fossil Fuels, Manufacturing, Services, Transportation services";"Energy services & equipment, Logistics - 3rd party, Logistics - transport, Marine freight, Oil & gas extraction, Shipbuilding, Transportation support services";"Marine transport";"Transportation services";"Marine freight";"Int 1";"Scope 1";84;60;2007;2015;38553000;2020;"No, but we are reporting another target that is science-based";47;"Replaced";"In 2017, Maersk adopted Maersk Line's target of reducing emission by 60% per container moved by 2020 compared to 2007 baseline. In 2018, this target was replaced.A.P. Moller - Maersk has for ten years pursued ways to reduce our relative CO2 emissions, and had set a target of 60% relative reductions by 2020, using a 2007 baseline. By the end of 2018, our reductions had reached 47% since 2007. This is not enough to reach 60% in two years' time. We knew our 2020 target was a stretched target, and we are convinced that aiming high has pushed us to do more than we would have without setting the bar high. Our efficiency work to date has allowed us to decouple our emissions from trade growth. We are now changing our efficiency target to align both target year and baseline with the IMO strategy for greenhouse gas (GHG) reductions in shipping, aiming for a 60% reduction relative to cargo moved by 2030, compared to a 2008 baseline.";NA;NA;"Maersk Line (breakdown matches)";5;0.6;4.61538461538461;2018;"2018-12-31";NA;NA;NA;NA;38826000;"C6 2019 S1";NA;NA;"-0e-0e-0fa-0e-0e-7a-0zb-7f-0tb-0rab";"Found keyword(s): Maersk Line; Organizational changes: Acquisitions: 8.0% increased in 2018";"276-int-S1-2007-2020-1";"intensity"
"2";304;"The AES Corporation";"Investor";"public";"United States of America";"Energy utility networks, Thermal power generation";"Infrastructure, Power generation";"CCGT generation, Coal generation, Electricity networks";"Thermal power generation";"Power generation";"Coal generation";"Int 1";"Scope 1";99.9;26.9;2018;2018;15865208;2023;"No, and we do not anticipate setting one in the next 2 years";0;"New";"The target refers to the CO2 equity adjusted emissions of AES Gener. Since the target was established in 2018 there is no achievement against target to report.";NA;NA;NA;5;0;5.38;2018;"2018-12-31";54153962;"C6 2019 S1";NA;NA;54153962;"C6 2019 S1";NA;NA;"-0cb-0da-0db-7a";NA;"304-int-S1-2018-2023-1";"intensity"
"3";351;"AGL Energy";"Investor";"public";"Australia";"Oil & gas extraction & production, Renewable power generation, Thermal power generation";"Fossil Fuels, Power generation";"CCGT generation, Coal generation, Hydro generation, Oil & gas extraction";"Thermal power generation";"Power generation";"Coal generation";"Int 1";"Scope 1+2 (location-based)";99;5;2016;2016;0.98;2024;"No, and we do not anticipate setting one in the next 2 years";0;"Revised";"Based on AGL's commitments of closure in the AGL Greenhouse Gas Policy, the emissions intensity of AGL's operated generation will reduce by 5% by FY24 from a baseline year of FY16. AGL aims to meet this target through the expansion of AGL's renewable generation fleet as well as the staged closure of its coal fired generation.Note that base, start and target year represent the end of the corresponding financial year statement.Note the target has been restated from 2018 to include separate facility level targets and to ensure compliance with CDP guidance.";NA;NA;NA;8;0.125;0.625;2018;"2018-06-30";43776410;"C5.1 2019 S1, C5.1 2019 S2L";NA;NA;43566555;"C6 2019 S1, C6 2019 S2L";NA;NA;"-0cb-0e";NA;"351-int-S12L-2016-2024-1";"intensity"
"4";429;"Air France - KLM";"Investor";"public";"France";"Air transport, Industrial support services";"Services, Transportation services";"Air freight, Passenger airlines, Transportation support services";"Air transport";"Transportation services";"Passenger airlines";"Int 1";"Scope 1";99;20;2011;2012;28193000;2020;"No, but we are reporting another target that is science-based";100;"Underway";"See Air France-KLM Sustainability report 2018 'Carbon footprint': Performance includes 8.6% offsets from market based measures on top of 13.5% netto fuel savings. Total performance 21.6% CO2 reduction per pax km compared to 2011 level.";NA;"Likely inclusion of RECs, ETS, or offsets";"France (breakdown matches)";8;0.75;2.22222222222222;2018;"2018-09-30";28302610;"C5.1 2019 S1";NA;NA;27633195;"C6 2019 S1";NA;NA;"-0ca-9cb-0fa-0fa-0fa-7a-0za-7f-0zb-7f-0ta-0rca-0rec";"Found keyword(s): France; Organizational changes: Divestment: 0.04% decrease in 2016, Other: 0.7% increase in 2012";"429-int-S1-2011-2020-1";"intensity"
"5";432;"Air Liquide";"Investor";"public";"France";"Chemicals, Powered machinery";"Manufacturing";"Industrial machinery, Inorganic base chemicals, Other base chemicals";"Chemicals";"Manufacturing";"Inorganic base chemicals";"Int 1";"Scope 1+2 (location-based)";100;30;2015;2015;25268;2025;"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science Based Targets initiative";74;"New";"For 2018, the carbon intensity is 4.9, which represents a 22% reduction compare to the 2015 carbon intensity (6.3) and a 74% progression toward the 2025 target (4.4).";NA;NA;NA;10;0.3;3;2018;"2018-12-31";25268000;"DWH 2016 S1, DWH 2016 S2L";NA;NA;27812000;"C5.1 2019 S1, C5.1 2019 S2L";NA;NA;"-0fa-0fb-7a-0rce-0rec-0rcb";"Organizational changes: Change in boundary: 0.8% decreased in 2018, Other: 0.6% decrease in 2016,  Acquisitions: 0.5% increase in 2016";"432-int-S12L-2015-2025-1";"intensity"
"6";660;"American Airlines Group Inc";"Investor";"public";"United States of America";"Air transport";"Transportation services";"Air freight, Passenger airlines";"Air transport";"Transportation services";"Passenger airlines";"Int 1";"Scope 1";89;9;2014;2015;36662664;2020;"No, and we do not anticipate setting one in the next 2 years";74;"Underway";"American set a target to improve its efficiency as measured by CO2 emissions from jet fuel per revenue ton mile (the measure of its passenger and cargo services that it provides) by 1.5% annually from 2014 to 2020 for a 9% improvement in efficiency. As of the end of 2018 American's efficiency improved 6.7%, which puts it ahead of the pace needed to achieve its target.";NA;NA;"annual";5;0.6;1.5;2018;"2018-12-31";41762500;"C5.1 2018 S1";NA;NA;40276453;"C6 2019 S1";NA;NA;"-0ma-0fa-0e-0fa-0db-7a";NA;"660-int-S1-2014-2020-1";"intensity"
"7";904;"ArcelorMittal";"Investor";"public";"Luxembourg";"Metal smelting, refining & forming";"Materials";"Iron & steel";"Metal smelting, refining & forming";"Materials";"Iron & steel";"Int 1";"Scope 1+2 (location-based) +3 (upstream)";97.8;8;2007;2008;223796304;2020;"No, but we anticipate setting one in the next 2 years";75;"Underway";"Our carbon intensity target of 8% reduction between 2007 and 2020 relates to those sites we operate today that we operated in 2007. Progress against this target by the end of 2018 was 6% reduction in emission intensity. This is disappointing since we know that the underlying carbon efficiency of our plants has improved far more.Our carbon footprint for steel has reduced by 21% since 2007 - even though over this period the share of our production from the integrated route has increased from 77% to 83%, in response to changes in structural market demand. So, even though we are making more steel in this way, any increase in emissions has been more than outweighed due to improvements in the technical carbon efficiency of our steel plants. As a result, we have managed to achieve a relatively constant average carbon intensity since 2007. Today this stands at 2.12 tonnes of CO2 per tonne steel.Our efforts are now focused on building a roadmap to underpin a new medium-term 2030 target, which will be based on further technical efficiencies and the application of our portfolio of breakthrough technologies to reduce emissions. All our segments are in the process of developing detailed corporate action plans and we expect to announce a group wide 2030 target in 2020. We are confident that with the right policy support, we have the building blocks to achieve ambitious reductions in carbon emissions, see our new Climate Action Report. We are engaging with our customers and investors, plus policymakers and global organisations to build an understanding of our outlook for low-emissions steelmaking. This includes We Mean Business coalition, the World Business Council for Sustainable Development, CDP, the Science-Based Targets Initiative, the International Energy Association and the Energy Transition Commission. Re the latter we are contributing to their iron and steel road map which will help enable a science based target in this industry - this is delayed but due in early 2020.";NA;NA;NA;12;0.833333333333333;0.615384615384615;2018;"2018-12-31";NA;NA;207920180;"C5.1 2019 S1, C5.1 2019 S2L";202839762;"C6 2019 S1, C6 2019 S2L, C6 2019 S3.01, C6 2019 S3.02, C6 2019 S3.05, C6 2019 S3.06, C6 2019 S3.07, C6 2019 S3.08, C6 2019 S3.16: upstream completeness: 0.777777777777778";188038448;"C6 2019 S1, C6 2019 S2L";"-0e-0fa-0fb-0fb-0fb-0za-7f-0zb-7f-0rec-0rcb-0rca-0rec-0rca-0rec-0rca-0rec-0rca-0rcb-0rae-0rec-0rea";"Organizational changes: Other: 0.89% decreased in 2018,  Acquisitions: 0.29% increased in 2018,  Divestment: 0.14% decreased in 2018, Other: 0.23% decreased in 2017,  Divestment: 0.03% decreased in 2017, Other: 0.4% increase in 2016,  Divestment: 0.78% decrease in 2016, Other: 0.42% increase in 2015,  Divestment: 0.52% decrease in 2015, Acquisitions: 0.4% increase in 2014,  Change in boundary: 5.3% increase in 2014,  Other: 0.1% increase in 2014, Other: 54% increase in 2012";"904-int-S12L3-2007-2020-1";"intensity"
"8";1516;"BASF SE";"Investor";"public";"Germany";"Chemicals, Oil & gas extraction & production, Plastic product manufacturing";"Fossil Fuels, Manufacturing";"Agricultural chemicals, Inorganic base chemicals, Oil & gas extraction, Other base chemicals, Personal care & household products, Plastic products, Specialty chemicals";"Chemicals";"Manufacturing";"Specialty chemicals";"Int 1";"Scope 1+2 (location-based)";93;40;2002;2011;0.897;2020;"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science Based Targets initiative";86;"Underway";"The target applies to BASF`s global business without our discontinued oil and gas activities, and without emissions related to the generation of steam and electricity for sale to third parties. +++ Claim that target is science-based: According to the SBT initiative a science-based target has the following definition: \"Targets adopted by companies to reduce GHG emissions are considered ''science-based\" if they are in line with the level of decarbonization required to keep global temperature increase below 2C compared to preindustrial temperatures, as described in the Fifth Assessment Report of the Intergovernmental Panel on Climate Change (IPCC).\" (SBT initiative, 2015: Sectoral Decarbonization Approach, page 7). The CDP report \"Back to the laboratory\" (2015) investigated the level of ambition of Int1 using the Sectoral Decarbonization Approach as a tool. It was found that Int 1 is in line with a 2C path.";NA;NA;NA;9;0.777777777777778;2.22222222222222;2018;"2018-12-31";26936000;"C5.1 2019 S1, C5.1 2019 S2L";NA;NA;21779000;"C6 2019 S1, C6 2019 S2L";NA;NA;"-0za-7f-0zb-7f-0rca-0rcd-0rce-0rec-0rec-0rcb-0rca-0rca-0rcb-0rec-0rcb-0rca-0rec-0rec-0rcb-0rca-0rec-0rca-0rcb-0rca-0rcb";"Organizational changes: Divestment: 0.1% decreased in 2018,  Change in methodology: 1.6% decreased in 2018,  Change in boundary: 0.4% increased in 2018,  Other: 1.9% increased in 2018, Other: 2.0% increased in 2017,  Acquisitions: 0.2% increased in 2017,  Divestment: 0.5% decreased in 2017, Divestment: 0.7% decrease in 2016,  Acquisitions: 0.2% increase in 2016,  Other: 1.2% decrease in 2016, Acquisitions: 0.4% increase in 2015,  Divestment: 1.4% decrease in 2015,  Other: 1% increase in 2015, Other: 1.2% decrease in 2014,  Acquisitions: 0.1% increase in 2014,  Divestment: 0.1% decrease in 2014, Other: 1.2% decrease in 2013,  Divestment: 0.7% decrease in 2013,  Acquisitions: 0.3% increase in 2013, Divestment: 2.9% decrease in 2012, Acquisitions: 0.33% increase in 2011";"1516-int-S12L-2002-2020-1";"intensity"
"9";1581;"Bayer AG";"Investor";"public";"Germany";"Biotech & pharma, Chemicals, Medical equipment & supplies";"Biotech, health care & pharma, Manufacturing";"Agricultural chemicals, Biotechnology, Inorganic base chemicals, Medical equipment, Other base chemicals, Pharmaceuticals, Specialty chemicals";"Biotech & pharma";"Biotech, health care & pharma";"Pharmaceuticals";"Int 1";"Scope 1 +2 (market-based)";100;20;2015;2015;55.7;2020;"No, but we anticipate setting one in the next 2 years";100;"Achieved";"The target was already achieved in 2018 with specific CO2e emissions of 42.0 kg CO2e / 1,000 external sales (representing a 25 % reduction against the base year).";NA;NA;NA;5;0.6;4;2018;"2018-12-31";1870000;"C5.1 2019 S1, C5.1 2019 S2M";NA;NA;2910000;"C6 2019 S1, C6 2019 S2M";NA;NA;"-0ca-7a-0za-7f-0zb-7f-0rab-0rba-0rba-0rbe";"Organizational changes: Acquisitions: 103.0% increased in 2018,  Divestment: 6.58% decreased in 2018, Divestment: 8.53% decrease in 2016,  Change in boundary: 83% decrease in 2016";"1581-int-S12M-2015-2020-1";"intensity"
"10";2407;"Bunge";"Investor";"public";"United States of America";"Chemicals, Food & beverage processing, Trading, wholesale, distribution, rental & leasing";"Food, beverage & agriculture, Manufacturing, Services";"Agricultural products wholesale, Food & beverage wholesale, Grain & corn milling, Non-nitrogenous fertilizers, Oilseed processing, Sugar";"Trading, wholesale, distribution, rental & leasing";"Services";"Agricultural products wholesale";"Int 1";"Scope 1+2 (location-based)";100;10;2016;2016;45.49;2026;"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science Based Targets initiative";41;"Underway";"The target for 2026 is reducing emissions intensity by 10%, considering a 2016 baseline. In the second year of the implementation plan, thecompany had already reduced 4.1% of the emissions comparing to the baseline, which means that 41% of the 2026 target has already been achieved.";NA;NA;NA;10;0.2;1;2018;"2018-12-31";3338695;"C5.1 2019 S1, C5.1 2019 S2L";NA;NA;3266064;"C6 2019 S1, C6 2019 S2L";NA;NA;"-0e-0fa-0fb-7a-0zb-7f";NA;"2407-int-S12L-2016-2026-1";"intensity"
