"account_id";"company_name";"program_id";"access";"incorporation_country";"sectors";"industries";"activities";"primary_sector";"primary_industry";"primary_activity";"Target reference number";"Scope";"% emissions in Scope";"Targeted % reduction from base year";"Base year";"Start year";"Base year emissions covered by target (metric tons CO2e)";"Target year";"Is this a science-based target?";"% of target achieved";"Target status";"Please explain";"Likely % achieved issue";"Likely invalid formulation";"Keyword matches";"duration";"time_complete";"% reduction (annual linear)";"Most recent accounting year";"Most recent accounting year end date";"Base year emissions (100% of scope)";"Base year emissions data source";"Base year emissions (100% of scope, excl. scope 3)";"Base year emissions data source (excl. scope 3)";"MRY emissions (100% of scope)";"MRY year emissions data source";"MRY emissions (100% of scope, excl. scope 3)";"MRY emissions data source (excl. scope 3)";"flag";"flag_notes";"T_ID";"target_type"
"1";53;"Abertis Infraestructuras";"Investor";"public";"Spain";"Construction, Land & property ownership & development, Specialized professional services";"Infrastructure, Services";"Engineering services, Infrastructure upkeep & management, Transportation infrastructure & other construction, Utility line construction";"Land & property ownership & development";"Infrastructure";"Infrastructure upkeep & management";"Abs 1";"Scope 1";100;10;2015;2015;64501;2020;"No, but we anticipate setting one in the next 2 years";80;"Underway";"This target hasn't been submitted to SBTI yet. This target was defined in the CSR Master Plan 2016-2020, where through several emissions reduction initiatives the target is to reduce a 10% of our global emissions in scope 1. Currently, our scope 1 emissions have decreased an 8% compared to our base year (reducing from 64.501 tonnes in 2015 to 59.115 2018). That is why the % of target achieved is 80%.Our base year emissions in 2015 have been recalculated in order to reflect structural changes of the company, made according to the GHG Protocol framework, that is why this value changes compared to the value reported last year.";NA;NA;NA;5;0.6;2;2018;"2018-12-31";64501;"C5.1 2019 S1";NA;NA;59115;"C6 2019 S1";NA;NA;"-0e-0fa-0fb-0zb-7f-0vk-0vm-0vo-0rca-0rcb-0rcb-0rab-5aa";"Base year emissions check: -0vk: stated base year emissions are 100% of calculated base year emissions (C5.1 2019 | TOTAL 64501). -0vm: stated base year emissions are 100% of calculated base year emissions (C6 2019 | TOTAL 64501). -0vo: stated base year emissions are 101% of calculated base year emissions (DWH 2017 | TOTAL 65169).; Organizational changes: Divestment: 4.14% decreased in 2018,  Acquisitions: 0.88% increased in 2018, Acquisitions: 3.0% increased in 2017, Acquisitions: 6% increase in 2016";"53-abs-S1-2015-2020-1";"absolute"
"2";53;"Abertis Infraestructuras";"Investor";"public";"Spain";"Construction, Land & property ownership & development, Specialized professional services";"Infrastructure, Services";"Engineering services, Infrastructure upkeep & management, Transportation infrastructure & other construction, Utility line construction";"Land & property ownership & development";"Infrastructure";"Infrastructure upkeep & management";"Abs 2";"Scope 2 (location-based)";100;10;2015;2015;57751;2020;"No, but we anticipate setting one in the next 2 years";70;"Underway";"This target hasn't been submitted to SBTI yet. This target was defined in the CSR Master Plan 2016-2020, where through several emissions reduction initiatives the target is to reduce a 10% of our global emissions in scope 2. Currently, our scope 2 emissions have decreased a 7% compared to our base year (reducing from 57.751 tonnes in 2015 to 53.4767 in 2018). That is why the % of target achieved is 70%.Our base year emissions in 2015 have been recalculated in order to reflect structural changes of the company, made according to the GHG Protocol framework, that is why this value changes compared to the value reported last year.";NA;NA;NA;5;0.6;2;2018;"2018-12-31";57751;"C5.1 2019 S2L";NA;NA;53477;"C6 2019 S2L";NA;NA;"-0e-0fa-0fb-0zb-7f-0vk-0vm-0vo-0rca-0rcb-0rcb-0rab-5aa";"Base year emissions check: -0vk: stated base year emissions are 100% of calculated base year emissions (C5.1 2019 | TOTAL 57751). -0vm: stated base year emissions are 100% of calculated base year emissions (C6 2019 | TOTAL 57751). -0vo: stated base year emissions are 94% of calculated base year emissions (DWH 2017 | TOTAL 54264).; Organizational changes: Divestment: 4.14% decreased in 2018,  Acquisitions: 0.88% increased in 2018, Acquisitions: 3.0% increased in 2017, Acquisitions: 6% increase in 2016";"53-abs-S2L-2015-2020-1";"absolute"
"3";87;"A2A";"Investor";"public";"Italy";"Energy utility networks, Non-energy utilities, Renewable power generation, Thermal power generation";"Infrastructure, Power generation";"CCGT generation, Electricity networks, Gas utilities, Hydro generation, Waste management";"Thermal power generation";"Power generation";"CCGT generation";"Abs 1";"Scope 1";87;40;2010;2018;9467290;2023;"No, but we anticipate setting one in the next 2 years";100;"Revised";"This target will be mainly achieved thanks to a greater use of more flexible CCGT. The evaluation is based on mathematical method, taking into account: electricity production and installed capacity prevision until 2023 (Business Plan 2019-2023), emission factor forecasts, A2A's time series about its emissions. The Target is not easily achieved because in the following years in particular in 2019 the absolute emission will increase due to the rise of the electricity demand. All data has been compared with EU-ETS limits. It is necessary to underline that the base year is an average between 2008-2012. Hence, this target places A2A in line with the EU Directive 2009/29/EC. The target was revised with respect to the previous set in the last Sustainability Plans ( previous was -34% by 2022).";NA;"Likely inclusion of RECs, ETS, or offsets";NA;5;0;3.07692307692308;2018;"2018-12-31";5708737;"DWH 2011 S1";NA;NA;7491395;"C6 2019 S1";NA;NA;"-0ca-9cc-0fa-0waoq-0rcd-0rac-0rcb-0rca-5ad";"Base year emissions check: -0waoq: stated base year emissions are 91% higher than calculated base year emissions (DWH 2011 | TOTAL 4966601.19).; Organizational changes: Change in methodology: 0.1% decreased in 2017,  Mergers: 5.0% increased in 2017, Acquisitions: 0% increase in 2014, Divestment: 4% decrease in 2012";"87-abs-S1-2010-2023-1";"absolute"
"4";87;"A2A";"Investor";"public";"Italy";"Energy utility networks, Non-energy utilities, Renewable power generation, Thermal power generation";"Infrastructure, Power generation";"CCGT generation, Electricity networks, Gas utilities, Hydro generation, Waste management";"Thermal power generation";"Power generation";"CCGT generation";"Abs 2";"Scope 1";87;62;2010;2016;9467290;2030;"No, but we anticipate setting one in the next 2 years";65;"Revised";"This target will be mainly achieved thanks to a greater use of more flexible CCGT. The evaluation is based on mathematical method, taking into account : electricity production and installed capacity prevision until 2022 (Business Plan 2018-2022), emission factor forecasts, A2A's time series about its emissions. All data has been compared with EU-ETS limits. It is necessary to underline that the base year is an average between 2008-2012. Hence, this target places A2A in line with the EU Directive 2009/29/EC. The Target is not easily achieved because in the following years in particular in 2019 the absolute emission will increase due to the rise in the electricity demand. The target will be reached with a sharp decrease of emission from coal based plant that are planned to be turned off in 2025, and a shrink in the exploitation of the heavy oil source (thanks to reconversion of the plant).";"Possible % achieved issue";"Likely inclusion of RECs, ETS, or offsets";NA;14;0.142857142857143;3.1;2018;"2018-12-31";5708737;"DWH 2011 S1";NA;NA;7491395;"C6 2019 S1";NA;NA;"-0hb-9cc-0za-7f-0waoq-0rcd-0rac-0rcb-0rca-2ea-5ad";"Base year emissions check: -0waoq: stated base year emissions are 91% higher than calculated base year emissions (DWH 2011 | TOTAL 4966601.19).; Organizational changes: Change in methodology: 0.1% decreased in 2017,  Mergers: 5.0% increased in 2017, Acquisitions: 0% increase in 2014, Divestment: 4% decrease in 2012";"87-abs-S1-2010-2030-1";"absolute"
"5";97;"Aareal Bank AG";"Investor";"public";"Germany";"Financial services, Specialized professional services";"Services";"Banks, Other financial";"Financial services";"Services";"Banks";"Abs 1";"Scope 2 (market-based)";88;100;2013;2013;3249;2020;"No, but we anticipate setting one in the next 2 years";NA;"Underway";"In 2013, we set ourselves the target of saving 100 percent of the CO2 emissions resulting from the consumption of conventional electricity by 2020 each year. For this reason, in addition to our main locations in Wiesbaden and Mainz, we source environmentally friendly green electricity from hydropower at almost all domestic locations. The reference amount of 3249 t CO2e is based on the scope of the Group-wide environmental indicators used in 2013 and includes all electricity consumptions in Germany. In order to ensure comparability of the values, the emission values last calculated for 2019 according to the identical location structure for 2013 were calculated. The survey therefore doesn't cover any foreign locations. These will be considered in a target which is currently under development.";NA;NA;"domestic";7;0.714285714285714;14.2857142857143;2018;"2018-12-31";NA;NA;NA;NA;953;"C6 2019 S2M";NA;NA;"-6c-0ua-0cd-0za-7f-0zb-7f-0rec-0rba-0rcb-0rcd-0rca-0rec-0rab-6fm-5ad";"Missing info: % of target achieved; Organizational changes: Other: 2.54% increased in 2018,  Divestment: 24.18% decreased in 2018,  Acquisitions: 0.62% increased in 2018, Change in methodology: 3.61% decreased in 2017,  Divestment: 0.72% decreased in 2017,  Other: 3.61% decreased in 2017, Acquisitions: 34.59% increase in 2015";"97-abs-S2M-2013-2020-1";"absolute"
"6";119;"Resolute Forest Products Inc.";"Investor";"public";"Canada";"Logging & rubber tapping, Wood & paper materials";"Food, beverage & agriculture, Materials";"Logging, Pulp & paper mills";"Wood & paper materials";"Materials";"Pulp & paper mills";"Abs 1";"Scope 1+2 (location-based)";100;65;2000;2012;10887307;2015;"No, and we do not anticipate setting one in the next 2 years";100;"Expired";"When Resolute joined the elite World Wildlife Fund(R) (WWF(R)) Climate Savers program in November 2011, we made commitments that were among the most ambitious in our global industry to reduce our GHG emissions. We committed to reducing absolute GHG emissions (scope 1 and 2) to 65% of 2000 levels by 2015. At the end of 2015, our reduction had reached an impressive 70%, and Resolute's participation in the program was completed with the expiration of the five-year term of the agreement. By the end of 2018, we had lowered GHG emissions by 81%, and we began the process of setting a new target. This achievement reflects a company-wide focus on improved energy efficiency and has led to switching from fossil fuels to less carbon-intensive energy sources, such as hydroelectricity, carbon-neutral biomass, and natural gas. Our 65% goal was an industry-leading GHG reduction target, and we want to ensure our next goal and future commitments will still reflect our leadership in this matter. As a member of the Forest Products Association of Canada (FPAC), Resolute has signed on to its ''30 by 30\" Climate Change Challenge, which commits the Canadian forest products industry to removing 30 megatons of CO2 per year by 2030 - more than 13% of the Canadian government's total emission reduction target. This target covers our facilities located in Canada. For our facilities located in the United States, we are working with the American Forest and Paper Association (AFPA) to support its goal of achieving at least a 20% reduction of member GHG emissions (intensity) from 2005 levels by 2020. Between 2005 and 2014, AFPA members reduced their GHG emissions by 16%, surpassing the Better Practices, Better Planet 2020 goal of 15 % reduction. In 2017, wanting to further improve their performance, members launched a new goal to achieve a 20 % reduction of GHG emissions by 2020 from the 2005 baseline. Company-wide, Resolute evaluate on an ongoing basis the potential projects that could lead to additional GHG reductions, and continue investing in such capital projects. We also invest in energy efficiency projects and technologies to reduce our energy costs and emissions (both scope 1 and 2). In parallel, we continue to follow the work of the jurisdictions in which we operate, and support these jurisdictions in setting ambitious goals for the coming years.";NA;NA;"Canada (breakdown matches)";3;2;4.33333333333333;2018;"2018-12-31";10887308;"C5.1 2019 S1, C5.1 2019 S2L";NA;NA;1983378;"C6 2019 S1, C6 2019 S2L";NA;NA;"-4e-0ca-0e-0e-0fb-0e-0fa-0fa-0fa-0za-7f-0zb-7f-0vk-0ta-0rba-0rca-0rcb-0rec-0rca-0rec-0rca-0rba-0rca-0rab-0rcd-5aa";"Base year emissions check: -0vk: stated base year emissions are 100% of calculated base year emissions (C5.1 2019 | TOTAL 10887308).; Found keyword(s): Canada; Organizational changes: Divestment: 28.0% decreased in 2018, Divestment: 4.4% decreased in 2017, Acquisitions: 0.8% increase in 2016,  Other: 1% decrease in 2016,  Divestment: 3.5% decrease in 2016, Other: 1.2% increase in 2015,  Divestment: 3.4% decrease in 2015, Divestment: 6.2% decrease in 2014, Divestment: 2% decrease in 2013,  Acquisitions: 9% increase in 2013,  Change in methodology: 1% decrease in 2013";"119-abs-S12L-2000-2015-1";"absolute"
"7";135;"ABN Amro Holding";"Investor";"public";"Netherlands";"Financial services";"Services";"Asset managers, Banks";"Financial services";"Services";"Banks";"Abs 1";"Scope 1+2 (location-based)";100;55;2013;2013;15370;2017;"No, but we anticipate setting one in the next 2 years";72;"Expired";"This scope 1 and 2 target includes our use of electricity, gas, heating and cooling. Our reduction target was set at 55% for scope 1 and 2 combined. We have managed to reduce our emissions by 72% compared to the base year 2013. From 15,370 Ton CO2 to 4,370 Ton CO2.";NA;NA;NA;4;1.25;13.75;2018;"2018-12-31";15370;"C5.1 2019 S1, C5.1 2019 S2L";NA;NA;1.92;"C6 2019 S1, C6 2019 S2L";NA;NA;"-0e-0fb-0za-7ga-0zb-7f-0vk-0reb-0rad-0rea-5aa";"Base year emissions check: -0vk: stated base year emissions are 100% of calculated base year emissions (C5.1 2019 | TOTAL 15370).; Organizational changes: Other: 39% decrease in 2016, Change in methodology: 71.8% increase in 2015,  Other: 18.7% increase in 2015";"135-abs-S12L-2013-2017-1";"absolute"
"8";138;"Absa Group Limited";"Investor";"public";"South Africa";"Financial services";"Services";"Banks";"Financial services";"Services";"Banks";"Abs 1";"Scope 1+2 (location-based) +3 (upstream & downstream)";100;10;2015;2016;240135;2018;"No, but we anticipate setting one in the next 2 years";0;"Expired";"In 2016, we set a carbon reduction target of 10% by the end of September 2018, against the 2015 baseline. At the end of 2018, we saw a 18.7% increase against the 2015 baseline due to increased reliance on the South African electricity grid which has a higher emission factor than diesel and gas. In 2015 South Africa experienced extended periods of power outages resulting in more self-generated energy produced from natural gas and diesel. Scope 2 and Scope 3 emissions reduced due to increased reliance on back-up power generation than the national electricity grid along with a minor decrease in travel and related emissions. The Group's carbon footprint decreased by 2.8% from 2017 due to energy efficiency initiatives along with previously mentioned power outages experienced during 2018. Our intensity ratio (total carbon emissions divided by total number of employees) improved slightly 7.25 (2017: 7.27).";NA;NA;"South Africa (breakdown matches)";2;1;3.33333333333333;2018;"2018-09-30";225922;"DWH 2016 S1, DWH 2016 S2L, DWH 2016 S3.01, DWH 2016 S3.02, DWH 2016 S3.03, DWH 2016 S3.04, DWH 2016 S3.05, DWH 2016 S3.06, DWH 2016 S3.08, DWH 2016 S3.09, DWH 2016 S3.10, DWH 2016 S3.11, DWH 2016 S3.12, DWH 2016 S3.14: upstream completeness: 1 downstream completeness: 0.833333333333333";212941;"C5.1 2019 S1, C5.1 2019 S2L";311189;"C6 2019 S1, C6 2019 S2L, C6 2019 S3.01, C6 2019 S3.02, C6 2019 S3.03, C6 2019 S3.05, C6 2019 S3.06, C6 2019 S3.08, C6 2019 S3.09, C6 2019 S3.10, C6 2019 S3.11, C6 2019 S3.12, C6 2019 S3.13, C6 2019 S3.14: upstream completeness: 1 downstream completeness: 0.857142857142857";259399;"C6 2019 S1, C6 2019 S2L";"-0cb-0e-0fa-0fa-0za-7f-0zb-7ga-0scm-0vo-0ta-0rad-0rec-5aa";"Base year emissions check: Base yr emissions for target scope, Scope 1+2 (location-based) +3 (upstream & downstream), has been calculated from the following scopes/categories: S1, S2L, S3.01, S3.02, S3.03, S3.04, S3.05, S3.06, S3.08, S3.09, S3.10, S3.11, S3.12, S3.14 (upstream completeness: 1 downstream completeness: 0.833333333333333). -0vo: stated base year emissions are 94% of calculated base year emissions (DWH 2016 | TOTAL 225922).; Found keyword(s): South Africa; Organizational changes: Change in methodology: 8.0% increased in 2017, Other: 1.5% decrease in 2016";"138-abs-S12L3-2015-2018-1";"absolute"
"9";149;"Acbel Polytech Inc";"Supply Chain";"public";"Taiwan, Greater China";"Electrical & electronic equipment";"Manufacturing";"Electronic components";"Electrical & electronic equipment";"Manufacturing";"Electronic components";"Abs 1";"Scope 1+2 (location-based)";100;2;2017;2018;39644.49;2018;"No, but we anticipate setting one in the next 2 years";100;"Achieved";"Total emission decreased by 3,231.11 tonnes, 8.15% lower than 2017.";NA;NA;NA;0;NA;2;2018;"2018-12-31";40993.49;"C6 2018 S1, C6 2018 S2L";NA;NA;36413.37;"C6 2019 S1, C6 2019 S2L";NA;NA;"-0ab-0ca-0fb-0vm-5aa";"Base year emissions check: -0vm: stated base year emissions are 103% of calculated base year emissions (C6 2018 | TOTAL 40993.49).";"149-abs-S12L-2017-2018-1";"absolute"
"10";149;"Acbel Polytech Inc";"Supply Chain";"public";"Taiwan, Greater China";"Electrical & electronic equipment";"Manufacturing";"Electronic components";"Electrical & electronic equipment";"Manufacturing";"Electronic components";"Abs 2";"Scope 1+2 (location-based)";100;30;2014;2015;48440.17;2030;"No, but we anticipate setting one in the next 2 years";80;"Underway";"Taking 2014 as the base year, 35% reduction in absolute emissions by 2030.";NA;NA;NA;15;0.2;1.875;2018;"2018-12-31";48497.6;"C5.1 2019 S1, C5.1 2019 S2L";NA;NA;36413.37;"C6 2019 S1, C6 2019 S2L";NA;NA;"-0fb-0vk-0vo-5aa";"Base year emissions check: -0vk: stated base year emissions are 100% of calculated base year emissions (C5.1 2019 | TOTAL 48497.6). -0vo: stated base year emissions are 106% of calculated base year emissions (DWH 2015 | TOTAL 51558.73).";"149-abs-S12L-2014-2030-1";"absolute"
