"account_id";"company_name";"program_id";"access";"incorporation_country";"sectors";"industries";"activities";"primary_sector";"primary_industry";"primary_activity";"Target reference number";"Scope";"% emissions in Scope";"Targeted % reduction from base year";"Base year";"Start year";"Base year emissions covered by target (metric tons CO2e)";"Target year";"Is this a science-based target?";"% of target achieved";"Target status";"Please explain";"Likely % achieved issue";"Likely invalid formulation";"Keyword matches";"duration";"time_complete";"% reduction (annual linear)";"Most recent accounting year";"Most recent accounting year end date";"Base year emissions (100% of scope)";"Base year emissions data source";"Base year emissions (100% of scope, excl. scope 3)";"Base year emissions data source (excl. scope 3)";"MRY emissions (100% of scope)";"MRY year emissions data source";"MRY emissions (100% of scope, excl. scope 3)";"MRY emissions data source (excl. scope 3)";"flag";"flag_notes";"T_ID";"target_type"
"1";63;"AR Packaging Group";"Supply Chain";"public";"Germany";"Paper products & packaging";"Manufacturing";"Paper products";"Paper products & packaging";"Manufacturing";"Paper products";"Int 1";"Scope 1";100;10;2014;2014;0.0365;2020;"No, and we do not anticipate setting one in the next 2 years";100;"Achieved";"2018 figures / results (published also in Sustainability report 2018):Scope 1: -18,5% compared to 2017 and -43% compared to the base year 2014 calculated per produced ton (above mentioned 0.0365 are 2014 starting year per comparative figure (production tons)Below 6 % plus are Scope 1 absolute figures 2014 to 2017. Scope 3 figures are not available.New targets have to be set short term";NA;NA;NA;6;0.666666666666667;1.66666666666667;2018;"2018-12-31";5882;"C5.1 2019 S1";NA;NA;4734;"C6 2019 S1";NA;NA;"-0ca-0fa-0fb-0za-7f-0zb-7f-0rac-0rac-0rac";"Organizational changes: Mergers: 19.0% increased in 2017, Mergers: 6% increase in 2016, Mergers: 15% increase in 2015";"63-int-S1-2014-2020-1";"intensity"
"2";63;"AR Packaging Group";"Supply Chain";"public";"Germany";"Paper products & packaging";"Manufacturing";"Paper products";"Paper products & packaging";"Manufacturing";"Paper products";"Int 2";"Scope 2 (location-based)";100;10;2014;2014;0.1131;2020;"No, and we do not anticipate setting one in the next 2 years";90;"Underway";"2018 figures / results (published also in Sustainability report 2018):Scope 2: + 6% (also by Impact of plants in Indonesia (with higher location based emission factor) compared to 2017 (per comparative figure). However -9 % compared to the base year 2014 calculated per produced ton. (above mentioned 0.1131 are 2014 starting year per comparative figure (production tons)Below 27 % minus are Scope 2 absolute figures 2014 to 2017. Scope 3 figures are not available.";NA;NA;"Indonesia (breakdown matches)";6;0.666666666666667;1.66666666666667;2018;"2018-12-31";18219;"C5.1 2019 S2L";NA;NA;23323;"C6 2019 S2L";NA;NA;"-0fa-0zb-7f-0ta-0rac-0rac-0rac";"Found keyword(s): Indonesia; Organizational changes: Mergers: 19.0% increased in 2017, Mergers: 6% increase in 2016, Mergers: 15% increase in 2015";"63-int-S2L-2014-2020-1";"intensity"
"3";63;"AR Packaging Group";"Supply Chain";"public";"Germany";"Paper products & packaging";"Manufacturing";"Paper products";"Paper products & packaging";"Manufacturing";"Paper products";"Int 3";"Scope 3: Fuel and energy-related activities (not included in Scopes 1 or 2)";100;5;2014;2014;5;2020;"No, and we do not anticipate setting one in the next 2 years";50;"Underway";"We are still working on strategy and process to follow scope 3 emmissions and have currently not reached any reduction with available figures. So this must be one of the first aim to have founded figures.";NA;NA;NA;6;0.666666666666667;0.833333333333333;2018;"2018-12-31";NA;NA;NA;NA;1708;"C6 2019 S3.03";NA;NA;"-0za-7f-0zb-7f-0rac-0rac-0rac";"Organizational changes: Mergers: 19.0% increased in 2017, Mergers: 6% increase in 2016, Mergers: 15% increase in 2015";"63-int-S3-2014-2020-1";"intensity"
"4";64;"Abbott Laboratories";"Investor";"public";"United States of America";"Biotech & pharma, Food & beverage processing, Health care provision, Medical equipment & supplies, Other services";"Biotech, health care & pharma, Food, beverage & agriculture, Services";"Health care facilities, Health care services, Health care supplies, Medical equipment, Other food processing, Pharmaceuticals";"Health care provision";"Biotech, health care & pharma";"Health care facilities";"Int 1";"Scope 1+2 (location-based)";100;40;2010;2012;0.0000573;2020;"No, but we anticipate setting one in the next 2 years";100;"Achieved";"All environmental data have been adjusted to account for acquisitions and divestitures, in accordance with the methodology prescribed in the World Resources Institute/World Business Council for Sustainable Development (WRI/WBCSD) Greenhouse Gas Protocol (GHGP). We report data from acquisitions as soon as practical. To that end, these data include the 2017 acquisitions of St. Jude Medical and Glomed, but not Alere Inc. Furthermore, these data reflect the divestiture of Abbott Medical Optics. The data for CO2 emissions has been re-calculated since last year's submission to CDP to account for amended data reporting, resulting in the previously stated values changing slightly.Our 2020 carbon emission reduction target to reduce our Scope 1 and 2 emissions by 40 percent against 2010 levels, adjusted for sales, is evidence of our commitment to address and reduce emissions. Abbott has tracked progress towards our 2020 carbon goal utilizing the World Resources Institute/World Business Council for Sustainable Development (WRI/WBCSD) Greenhouse Gas Protocol (GHGP) since the goals implementation in 2012. In 2018, we achieved a 42 percent reduction, adjusted for sales since 2010. Scope 1 and 2 emissions were calculated using the World Resources Council (WRI) Greenhouse Gas Protocol (GHGP). To calculate our Scope 2 emissions, we use the GHGP market-based methodology. Where market-based information is not available, location-based results have been used as proxy. We have reported the results of the location- and market-based methodologies in both the text and metrics sections of our Global Sustainability Reports since 2015. In our 2018 Global Sustainability Report, these metrics can be found on pages 103 to 124.";NA;NA;NA;8;0.75;4;2018;"2018-12-31";1237000;"C5.1 2019 S1, C5.1 2019 S2L";NA;NA;1031000;"C6 2019 S1, C6 2019 S2L";NA;NA;"-0ca-0za-7f-0zb-7f";NA;"64-int-S12L-2010-2020-1";"intensity"
"5";87;"A2A";"Investor";"public";"Italy";"Energy utility networks, Non-energy utilities, Renewable power generation, Thermal power generation";"Infrastructure, Power generation";"CCGT generation, Electricity networks, Gas utilities, Hydro generation, Waste management";"Thermal power generation";"Power generation";"CCGT generation";"Int 1";"Scope 1";87;18;2010;2018;438;2023;"No, but we anticipate setting one in the next 2 years";83;"Revised";"In a process of setting a target for decarbonization it could be taken into account either absolute target or intensity target. Both of these are relevant, by the way to actively contribute to emission reductions the intensity target seems more effective. The main source of A2A emissions come from electricity generation and for this reason the Group focuses its commitment on it. According to the industrial plan and the forecasts to 2030, the A2A emissions will increase until 2020, then they will start to drop down. Even if the intensity factor will decrease in the next years, between 2016 and 2021 the absolute emissions won't show a clear sign of decrease due to the growth of the electricity demand. However in all ETS period A2A will be compliant with emissions thresholds, except for year 2019-2020. These trends show how through the achievement of the intensity target there will be the realization of the absolute target. The target was revised with respect to the previous set in the last Sustainability Plans ( previous was -10% by 2022).";NA;"Likely inclusion of RECs, ETS, or offsets";NA;5;0;1.38461538461538;2018;"2018-12-31";5708737;"DWH 2011 S1";NA;NA;7491395;"C6 2019 S1";NA;NA;"-9cc-0fa-7a-0rcd-0rac-0rcb-0rca";"Organizational changes: Change in methodology: 0.1% decreased in 2017,  Mergers: 5.0% increased in 2017, Acquisitions: 0% increase in 2014, Divestment: 4% decrease in 2012";"87-int-S1-2010-2023-1";"intensity"
"6";87;"A2A";"Investor";"public";"Italy";"Energy utility networks, Non-energy utilities, Renewable power generation, Thermal power generation";"Infrastructure, Power generation";"CCGT generation, Electricity networks, Gas utilities, Hydro generation, Waste management";"Thermal power generation";"Power generation";"CCGT generation";"Int 2";"Scope 1";87;37;2010;2016;438;2030;"No, but we anticipate setting one in the next 2 years";41;"Underway";"In a process of setting a target for decarbonization it could be taken into account either absolute target or intensity target. Both of these are relevant, by the way to actively contribute to emission reductions the intensity target seems more effective. The main source of A2A emissions come from electricity generation and for this reason the Group focuses its commitment on it. According to the industrial plan and the forecasts to 2030, the A2A emissions will increase until 2020, then they will fall down (more than 2,6 million tonnes less). Even if the intensity factor will decrease in the next years, between 2016 and 2021 the absolute emissions won't show a clear sign of decrease due to the growth of the electricity demand. However in all ETS period A2A will be compliant with emissions thresholds, except for year 2019-2020. These trends show how through the achievement of the intensity target there will be the realization of the absolute target.";"Possible % achieved issue";"Likely inclusion of RECs, ETS, or offsets";NA;14;0.142857142857143;1.85;2018;"2018-12-31";5708737;"DWH 2011 S1";NA;NA;7491395;"C6 2019 S1";NA;NA;"-0hb-9cc-0db-7a-0za-7f-0rcd-0rac-0rcb-0rca-2ea";"Organizational changes: Change in methodology: 0.1% decreased in 2017,  Mergers: 5.0% increased in 2017, Acquisitions: 0% increase in 2014, Divestment: 4% decrease in 2012";"87-int-S1-2010-2030-1";"intensity"
"7";143;"ACC";"Investor";"public";"India";"Cement & concrete";"Materials";"Cement, Concrete products";"Cement & concrete";"Materials";"Cement";"Int 1";"Scope 1";100;34;1990;2015;0.796;2020;"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science Based Targets initiative";100;"Achieved";"Various CO2 reduction levers has helped us in achieving the CO2 reduction target during the previous year. Now are aspiring to set new target.";NA;NA;NA;5;0.6;1.13333333333333;2018;"2018-12-31";0.79;"C5.1 2019 S1";NA;NA;16781443;"C6 2019 S1";NA;NA;"-0ca-7a-0rec-0rec";"Organizational changes: Other: 1.49% decrease in 2013, Other: 2.69% decrease in 2012";"143-int-S1-1990-2020-1";"intensity"
"8";156;"AccorHotels";"Investor";"public";"France";"Bars, hotels & restaurants";"Hospitality";"Hotels & lodging";"Bars, hotels & restaurants";"Hospitality";"Hotels & lodging";"Int 1";"Scope 1+2 (location-based)";100;5;2015;2016;0.0171;2018;"No, but we anticipate setting one in the next 2 years";100;"Achieved";"Accor's strategy on climate is linked to 3 levers of performance:- decrease in energy consumptions and improved energy efficiency with training, maintenance, investment and renovation;- purchase of green energy by using greener utilities (avoid coal and fuel, prefer electricity), having green contracts and providers, producing own renewable energy;- offset carbon emissions with the Plant for the Planet program, renewable energy production and carbon certificates.";NA;"Likely inclusion of RECs, ETS, or offsets";NA;2;1;1.66666666666667;2018;"2018-12-31";1727196;"C5.1 2019 S1, C5.1 2019 S2L";NA;NA;2109984;"C6 2019 S1, C6 2019 S2L";NA;NA;"-0ca-9cb-0za-7f-0zb-7f-0rcb-0rcb-0rab";"Organizational changes: Acquisitions: 3.0% increased in 2018, Acquisitions: 4.0% increased in 2017, Acquisitions: 12% increase in 2016";"156-int-S12L-2015-2018-1";"intensity"
"9";156;"AccorHotels";"Investor";"public";"France";"Bars, hotels & restaurants";"Hospitality";"Hotels & lodging";"Bars, hotels & restaurants";"Hospitality";"Hotels & lodging";"Int 2";"Scope 1+2 (location-based) + 3 (upstream and downstream)";100;53;2017;2018;0.0286;2030;"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science Based Targets initiative";0;"New";"Following the completion of its first emissions intensity target in 2018, Accor set a new carbon strategy with new emissions target. This new climate strategy will elaborate on and reinforce the action drivers already described by Accor when it joined the French Climate pledge in 2017:- progressively aim for the carbon neutrality of buildings by reinforcing its ''carbon\" requirements during building and renovation phases;- continuously reduce energy consumption and greenhouse gas emissions in hotels;- reduce the carbon footprint over the value chain, especially from food.";NA;NA;NA;12;0;4.07692307692308;2018;"2018-12-31";1956327;"C6 2018 S1, C6 2018 S2L";NA;NA;2109984;"C6 2019 S1, C6 2019 S2L";NA;NA;"-0cb-0db-0rcb";"Organizational changes: Acquisitions: 3.0% increased in 2018";"156-int-S12L3-2017-2030-1";"intensity"
"10";169;"ACERINOX";"Investor";"public";"Spain";"Metal smelting, refining & forming";"Materials";"Iron & steel";"Metal smelting, refining & forming";"Materials";"Iron & steel";"Int 1";"Scope 1";100;20;2005;2011;300801;2020;"No, but we anticipate setting one in the next 2 years";69.53;"Underway";"Good evolution registered for this target.";NA;NA;NA;9;0.777777777777778;1.33333333333333;2018;"2018-12-31";300801;"C5.1 2018 S1";NA;NA;837861;"C5.1 2019 S1";NA;NA;"-0za-7f-0zb-7f";NA;"169-int-S1-2005-2020-1";"intensity"
