"";"company_name";"account_id";"incorporation_country";"Scope";"Target reference number";"% emissions in Scope";"Targeted % reduction from base year";"Base year";"Start year";"Base year emissions covered by target (metric tons CO2e)";"Target year";"Base year emissions (100% of scope)";"Base year emissions (100% of scope, excl. scope 3)";"MRY emissions (100% of scope)";"MRY emissions (100% of scope, excl. scope 3)";"target_type";"fin_sector"
"1";"ABN Amro Holding";135;"EU";"Scope 3 (downstream)";"Abs 4";80;0;2017;2017;4096;2030;4100730;NA;18398;NA;"absolute";"fin"
"2";"alstria office REIT-AG";625;"EU";"Scope 3: Downstream leased assets";"Abs 2";98;50;2013;2014;49696;2040;51737,27;NA;29741;NA;"absolute";"fin"
"3";"Legal and General";10629;"United Kingdom";"Scope 3: Investments";"Abs 1";100;40;2017;2017;11000000;2023;11000000000;NA;370,22;NA;"absolute";"fin"
"4";"Legal and General";10629;"United Kingdom";"Scope 3: Investments";"Abs 2";100;0;2016;2017;0;2017;0;NA;370,22;NA;"absolute";"fin"
"5";"Legal and General";10629;"United Kingdom";"Scope 3: Investments";"Abs 3";100;5;2017;2017;366900000000;2021;11000000000;NA;370,22;NA;"absolute";"fin"
"6";"Kilroy Realty";45126;"USA";"Scope 3: Downstream leased assets";"Abs 2";100;72;2017;2017;25080,2;2050;1044715053,5;NA;NA;NA;"absolute";"fin"
"7";"CNP Assurances";3545;"EU";"Scope 3: Investments";"Int 1";4;47;2014;2014;0,47;2021;0;NA;0,27;NA;"intensity";"fin"
"8";"CNP Assurances";3545;"EU";"Scope 3: Investments";"Int 2";3,1;40;2006;2015;22784541;2021;NA;NA;0,27;NA;"intensity";"fin"
"9";"Legal and General";10629;"United Kingdom";"Scope 3: Investments";"Int 3";100;100;2017;2017;486,87;2050;11000000000;NA;370,22;NA;"intensity";"fin"
"10";"Storebrand ASA";17834;"Norway";"Scope 3: Downstream leased assets";"Int 1";100;88;2013;2013;0,0102;2030;7363,3;NA;3761;NA;"intensity";"fin"
"11";"Storebrand ASA";17834;"Norway";"Scope 3: Downstream leased assets";"Int 2";100;94;2013;2013;0,0102;2050;7363,3;NA;3761;NA;"intensity";"fin"
"12";"Unibail-Rodamco-Westfield";19789;"EU";"Scope 3: Investments";"Int 4";100;35;2015;2016;0,861;2030;NA;NA;556776;NA;"intensity";"fin"
"13";"Mercialys";21722;"EU";"Scope 3: Downstream leased assets";"Int 2";100;47;2017;2017;0,0564;2030;59633;NA;46433;NA;"intensity";"fin"
"14";"Cegereal";22032;"EU";"Scope 3: Downstream leased assets";"Int 2";70;3;2013;2018;89;2030;NA;NA;2616;NA;"intensity";"fin"
