"Nr_companies";"Nr_targets";"MRY_inventory";"MRY_target";"primary_industry";"source_year";"Unit"
911;1396;2276.75239707625;2876.74836468672;"Total";2018;"MtCO2eq"
15;20;2.24103447;2.04407856584409;"Apparel";2018;"MtCO2eq"
39;60;13.60585742;15.9753767443613;"Biotech, health care & pharma";2018;"MtCO2eq"
50;71;36.401256487;119.514578724791;"Food, beverage & agriculture";2018;"MtCO2eq"
23;35;139.75872884375;240.079917253087;"Fossil Fuels";2018;"MtCO2eq"
9;11;2.4185890984;12.225658085;"Hospitality";2018;"MtCO2eq"
80;137;467.66547568862;369.776021568035;"Infrastructure";2018;"MtCO2eq"
226;385;164.671348873467;507.150227308176;"Manufacturing";2018;"MtCO2eq"
93;39;399.7578502979;398.117284060846;"Materials";2018;"MtCO2eq"
8;4;113.67833890602;107.8404313117;"Other";2018;"MtCO2eq"
23;50;699.4003813287;785.132242158;"Power generation";2018;"MtCO2eq"
58;59;49.83296255817;67.6270812203922;"Retail";2018;"MtCO2eq"
256;447;84.38654177665;153.228039892517;"Services";2018;"MtCO2eq"
31;48;102.934031327569;98.0374277939723;"Transportation services";2018;"MtCO2eq"
