"nr_countries";"account_id";"company_name";"Scope(s) (or Scope 3 category)";"Base year";"Target year";"Target coverage";"Targeted reduction from base year (%)";"BY_covered";"BY_100";"BY_100_excl_scope3";"MRY_100";"MRY_100_scope3"
8;53;"Abertis Infraestructuras";"Scope 1";2015;2020;"Company-wide";10;516008;516008;0;384584;0
8;53;"Abertis Infraestructuras";"Scope 2 (location-based)";2015;2020;"Company-wide";10;462008;462008;0;474160;0
3;97;"Aareal Bank AG";"Scope 2 (market-based)";2015;2020;"Company-wide";100;9747;9498;0;2247;0
2;119;"Resolute Forest Products Inc.";"Scope 1+2 (location-based)";2000;2015;"Company-wide";65;21712476;21712478;0;3857290;0
2;135;"ABN Amro Holding";"Scope 1";2013;2020;"Country/region";43;40180;20060;0;26580;0
2;135;"ABN Amro Holding";"Scope 1";2016;2019;"Country/region";100;6.74;38480;0;26580;0
2;135;"ABN Amro Holding";"Scope 1";2017;2022;"Country/region";83;28420;33140;0;26580;0
2;135;"ABN Amro Holding";"Scope 1+2 (location-based)";2013;2017;"Country/region";55;30740;30740;0;42920;0
2;135;"ABN Amro Holding";"Scope 3 (downstream)";2017;2030;NA;0;8192;8201460;0;0;0
2;135;"ABN Amro Holding";"Scope 3: Business travel";2017;2022;"Company-wide";41;23760;40480;0;20800;0
12;138;"Absa Group Limited";"Scope 1+2 (location-based) +3 (upstream & downstream)";2018;2030;"Company-wide";51;3557616;3734268;3112788;3031416;2624172
2;149;"Acbel Polytech Inc";"Scope 1+2 (location-based)";2014;2030;"Company-wide";35;96880.32;96995.2;0;74259.84;0
2;149;"Acbel Polytech Inc";"Scope 1+2 (location-based)";2018;2019;"Company-wide";2;72826.76;72826.74;0;74259.84;0
32;154;"ACCIONA S.A.";"Other, please specify: Scope 3 first 4 categories (purchased goods and services, capital goods, energy-related activities and upstream transportation and distribution)";2017;2030;"Company-wide";47;61705344;0;0;0;0
32;154;"ACCIONA S.A.";"Scope 1+2 (market-based)";2017;2030;"Company-wide";60;6819488;6819488;0;5300768;0
32;154;"ACCIONA S.A.";"Scope 3: Purchased goods & services";2017;2030;"Company-wide";47;30305056;30665568;0;30336992;0
4;169;"ACERINOX";"Scope 1+2 (location-based)";2019;2050;"Company-wide";100;11426056;11588540;0;11588540;0
12;220;"Adecco Group AG";"Scope 1";2012;2022;"Company-wide";12;618744;618744;0;668591.904;0
12;220;"Adecco Group AG";"Scope 2 (market-based)";2012;2022;"Company-wide";12;628464;628464;0;371323.932;0
12;220;"Adecco Group AG";"Scope 3 (upstream & downstream)";2012;2022;"Company-wide";12;542328;357348;0;798821.088;0
11;240;"ADVA Optical Networking SE";"Scope 1";2016;2032;"Company-wide";20;11110;14135;0;12221;0
11;240;"ADVA Optical Networking SE";"Scope 2 (location-based)";2016;2032;"Company-wide";20;66033;66033;0;59059;0
11;240;"ADVA Optical Networking SE";"Scope 3: Use of sold products";2016;2032;"Company-wide";3;2666213;3080000;0;2668996;0
10;246;"Advantest Corporation";"Scope 1+2 (market-based)";2018;2030;"Company-wide";30;373799.1;306351099.56;0;333845.74;0
7;258;"Aeon Co., Ltd.";"Scope 1+2 (location-based)";2010;2030;"Company-wide";35;24268860;0;0;22176406;0
1;261;"Aeon Mall Co., Ltd.";"Scope 1+2 (market-based)";2010;2030;"Company-wide";35;535798.92;0;0;269143.29;0
128;276;"A.P. Moller - Maersk";"Scope 1";2008;2050;"Business activity";100;3767920256;4921856000;0;4634112000;0
5;282;"ABB";"Scope 1+2 (market-based)";2013;2020;"Company-wide";40;7758000;7800000;0;4989515;0
8;285;"3M Company";"Scope 1+2 (location-based)";2002;2025;"Company-wide";50;146400000;146720000;0;46640000;0
4;304;"The AES Corporation";"Scope 2 (location-based)";2016;2019;"Business division";2;3202268;1225468;0;1435908;0
1;313;"ACEA SpA";"Scope 2 (location-based)";2011;2022;"Company-wide";21.75;480000;480000;0;407086;0
1;313;"ACEA SpA";"Scope 2 (market-based)";2016;2019;"Company-wide";39.55;494363;494363;0;298856;0
1;313;"ACEA SpA";"Scope 2 (market-based)";2017;2022;"Company-wide";54.69;494363;235812;0;298856;0
4;333;"Adobe, Inc.";"Scope 1+2 (market-based)";2015;2025;"Company-wide";25;258944;262863.74;0;221368;0
4;333;"Adobe, Inc.";"Scope 1+2 (market-based)";2015;2035;"Company-wide";80;258944;262863.74;0;221368;0
4;333;"Adobe, Inc.";"Scope 3 (downstream)";2013;2020;"Company-wide";100;41776;24680;0;0;0
7;334;"Advanced Micro Devices, Inc";"Scope 1+2 (location-based)";2014;2020;"Company-wide";20;365281;494704;0;435946;0
8;336;"ASE Technology Holding Co., Ltd.";"Scope 1+2 (market-based)";2016;2025;"Company-wide";19;15657008;15657008;0;14352824;0
8;336;"ASE Technology Holding Co., Ltd.";"Scope 1+2 (market-based)";2016;2035;"Company-wide";40;15657008;15657008;0;14352824;0
1;351;"AGL Energy";"Scope 1+2 (location-based)";2016;2024;"Business activity";100;7706248;43776410;0;43237345;0
1;351;"AGL Energy";"Scope 1+2 (location-based)";2016;2037;"Business activity";100;23731740;43776410;0;43237345;0
1;351;"AGL Energy";"Scope 1+2 (location-based)";2016;2050;"Business activity";100;42121649;43776410;0;43237345;0
1;362;"AFLAC Incorporated";"Scope 1+2 (market-based)";2007;2030;"Company-wide";71.5;34607;0;0;16893;0
1;365;"Affiliated Managers Group";"Scope 1+2 (location-based)";2017;2023;"Company-wide";5;1178.74;1178.74;0;921.39;0
6;394;"Ajinomoto Co.Inc.";"Scope 1+2 (market-based)";2018;2030;"Company-wide";50;13276152;13901544;0;11842140;0
5;399;"Aisin Seiki Co., Ltd.";"Scope 1+2 (location-based)";2013;2030;"Company-wide";35;11874290.95;0;0;14220652.94;0
5;399;"Aisin Seiki Co., Ltd.";"Scope 1+2 (location-based)";2016;2050;"Company-wide";100;13297505.8;0;0;14220652.94;0
5;399;"Aisin Seiki Co., Ltd.";"Scope 1+2 (location-based) +3 (upstream & downstream)";2015;2030;"Company-wide";25;77504942.3;0;0;74934815.23;14220652.94
6;403;"AIXTRON SE";"Scope 1+2 (location-based)";2015;2025;"Company-wide";80;44466;0;0;0;0
6;427;"Air Canada";"Scope 1";2005;2050;"Other, please specify: Industry target";50;51747840;52192548;0;79231122;0
2;429;"Air France - KLM";"Scope 1";2005;2050;"Company-wide";50;59113590;0;0;56577530;0
2;429;"Air France - KLM";"Scope 1+2 (location-based)";2018;2030;"Business activity";100;235694;55377350;0;56616696;0
1;453;"AK Steel Holding Corporation";"Scope 1";2015;2025;NA;10;8092985;8092985;0;6500198;0
10;454;"Akamai Technologies Inc";"Scope 1+2 (market-based)";2015;2020;"Company-wide";50;1902715.3;0;0;1444100;0
2;524;"Algonquin Power & Utilities Corporation";"Scope 1+2 (location-based)";2017;2023;"Company-wide";31.05;6440634;6440634.688;0;5585607.826;0
13;528;"Alfa Laval Corporate AB";"Scope 1+2 (market-based) +3 (downstream)";2015;2020;"Company-wide";15;2016196;0;1098227;1235559;583193
9;533;"Allergan plc";"Scope 1+2 (market-based)";2015;2020;"Other, please specify: Manufacturing and R&D operations";20;833715;1388268;0;1079064;0
2;550;"ANA Holdings Inc.";"Scope 1";2012;2020;"Business division";0;8800000;0;0;22940000;0
2;569;"Alma Media Corporation";"Scope 1+2 (market-based)";2016;2025;"Company-wide";21;7246;7246;0;3052;0
1;573;"Alpha Bank";"Scope 1+2 (location-based)";2018;2019;"Country/region";1;35620;39607;0;40930.87;0
5;582;"The Allstate Corporation";"Scope 1+2 (location-based)";2007;2020;"Company-wide";20;943575;1183530;0;630465;0
1;586;"Alliant Energy Corporation";"Scope 1";2005;2030;"Company-wide";40;21597490;21597490;0;14296482;0
1;586;"Alliant Energy Corporation";"Scope 1";2005;2050;"Company-wide";80;21597490;21597490;0;14296482;0
3;600;"AIB Group Plc";"Scope 1+2 (location-based)";2011;2025;"Company-wide";57;86567.1;86568;0;44427;0
3;600;"AIB Group Plc";"Scope 1+2 (location-based)";2011;2036;"Company-wide";78;86567.1;86568;0;44427;0
1;625;"alstria office REIT-AG";"Scope 1";2018;2030;"Company-wide";30;17.3;17.3;0;15.7;0
1;625;"alstria office REIT-AG";"Scope 3: Downstream leased assets";2018;2030;"Company-wide";30;64698;29741;0;32000;0
1;628;"Altria Group, Inc.";"Scope 1+2 (location-based)";2015;2025;"Company-wide";20;392172;392172;0;305766;0
1;628;"Altria Group, Inc.";"Scope 1+2 (market-based)";2017;2030;"Company-wide";55;337007;337007;0;302416;0
1;628;"Altria Group, Inc.";"Scope 3 (upstream & downstream)";2017;2030;"Company-wide";15;5264365;2407298;0;5568021;0
1;628;"Altria Group, Inc.";"Scope 3 (upstream & downstream)";2017;2030;"Company-wide";18;5264365;2407298;0;5568021;0
46;631;"ALPLA";"Scope 1+2 (location-based) +3 (upstream)";2018;2022;"Company-wide";10;219452798;200495869.1;27614536;199544324.6;21907546
7;638;"Alten";"Scope 1+2 (market-based)";2018;2025;"Country/region";16;88060;0;0;138775;0
7;638;"Alten";"Scope 1+2 (market-based)";2018;2035;"Country/region";36;88060;0;0;138775;0
7;638;"Alten";"Scope 3: Business travel";2018;2025;"Country/region";16;107709;0;0;71078;0
7;638;"Alten";"Scope 3: Business travel";2018;2030;"Country/region";26;107709;0;0;71078;0
7;638;"Alten";"Scope 3: Purchased goods & services";2018;2025;"Country/region";16;494774;0;0;235704;0
