"Scope_short";"account_id";"company_name";"incorporation_country";"Country/Region";"primary_sector";"primary_industry";"primary_activity";"Base year";"% reduction from base year";"Target year";"BY_EM_target";"BY_EM_100";"BY_EM_100_excl_scope3";"Most recent accounting year";"MRY_EM_100";"MRY_EM_100_excl_scope3";"Country impact (excl. scope 3)";"percent_alloc";"% emissions in Scope";"Scope_long";"Country S1";"Country S2L";"Country S2M";"Global S1";"Global S2L";"Global S2M";"T_ID";"Target coverage";"Year target was set";"Is this a science-based target?";"% of target achieved [auto-calculated]";"Scope";"Scope1";"Scope2";"target_type";"BY_tmp";"BaseYearEmissions_excl_scope3";"S1";"S2";"perc_scope1";"ratio_EM_excl_incl_scope3";"TargetYearEmissions_excl_scope3";"MRY_EM_excl_scope3_interpolated";"MRY_EM_excl_scope3"
"S12M";261;"Aeon Mall Co., Ltd.";"Japan";"Japan";"Land & property ownership & development";"Infrastructure";"Real estate owners & developers";2010;35;2030;535798.92;NA;NA;2020;269143.29;NA;NA;1;100;"Scope 1+2 (market-based)";NA;NA;NA;NA;NA;NA;"261-abs-S12M-2010-2030-1";"Company-wide";2018;"Yes, this target has been approved as science-based by the Science-Based Targets initiative";142.194026285618;"Scope 1+2";"S1";"S2M";"absolute";535798.92;535798.92;NA;NA;0.4;1;348269.298;442034.109;269143.29
"S12L";365;"Affiliated Managers Group";"United States of America";"United States of America";"Financial services";"Services";"Asset managers";2017;5;2023;1178.74;1178.74;NA;2019;921.39;NA;NA;1;100;"Scope 1+2 (location-based)";NA;NA;NA;NA;NA;NA;"365-abs-S12L-2017-2023-1";"Company-wide";2017;"No, and we do not anticipate setting one in the next 2 years";436.652696947588;"Scope 1+2";"S1";"S2L";"absolute";1178.74;1178.74;NA;NA;0.4;1;1119.803;1159.09433333333;921.39
"S1";453;"AK Steel Holding Corporation";"United States of America";"United States of America";"Metal smelting, refining & forming";"Materials";"Iron & steel";2015;10;2025;8092985;8092985;NA;2019;6500198;NA;809298.5;1;100;"Scope 1";6500198;2027094;1937844;6500198;2027094;1937844;"453-abs-S1-2015-2025-1";NA;2016;"No, but we anticipate setting one in the next 2 years";196.810818258035;"Scope 1";"S1";"";"absolute";8092985;8092985;6500198;0;1;1;7283686.5;7769265.6;6500198
"S1";689;"American Electric Power Company, Inc.";"United States of America";"United States of America";"Thermal power generation";"Power generation";"Coal generation";2010;10;2020;134000000;139508137.89;NA;2019;64128544.92;NA;13400000;1;99;"Scope 1";64776308;NA;NA;64776308;NA;NA;"689-abs-S1-2010-2020-1";NA;2010;"No, but we are reporting another target that is science-based";567.164179104478;"Scope 1";"S1";"";"absolute";134000000;134000000;64776308;0;1;1;120600000;121940000;64128544.92
"S12M3";1029;"de Volksbank N.V.";"Netherlands";"Netherlands";"Financial services";"Services";"Banks";2014;50;2020;9568;NA;2751;2019;4496;1750;1862.09964412811;1;100;"Scope 1+2 (market-based) +3 (upstream & downstream)";NA;NA;NA;NA;NA;NA;"1029-abs-S12M3-2014-2020-1";"Company-wide";2014;"No, and we do not anticipate setting one in the next 2 years";121.23745819398;"Scope 1+2+3";"S1";"S2M";"absolute";9568;3724.19928825622;NA;NA;0.4;0.38923487544484;1862.09964412811;2172.44958481613;1750
"S12M3";1458;"Banque Cantonale Vaudoise";"Switzerland";"Switzerland";"Financial services";"Services";"Banks";2010;11.3;2025;12369;NA;9307;2019;6443;2001;434.082212789073;1;100;"Scope 1+2 (market-based) +3 (upstream)";NA;NA;NA;NA;NA;NA;"1458-abs-S12M3-2010-2025-1";"Company-wide";2011;"No, but we anticipate setting one in the next 2 years";424.054712859797;"Scope 1+2+3";"S1";"S2M";"absolute";12369;3841.43551140773;NA;NA;0.4;0.310569610429924;3407.35329861865;3580.98618373428;2001
"S12M";1481;"The Bank of Yokohama, Ltd.";"Japan";"Japan";"Financial services";"Services";"Banks";2013;26;2030;24657;NA;NA;2020;20089;NA;6410.82;1;100;"Scope 1+2 (market-based)";NA;NA;NA;NA;NA;NA;"1481-abs-S12M-2013-2030-1";"Company-wide";2020;"No, but we anticipate setting one in the next 2 years";71.2545353012563;"Scope 1+2";"S1";"S2M";"absolute";24657;24657;NA;NA;0.4;1;18246.18;22017.2505882353;20089
"S12M";1650;"Berner Kantonalbank AG BEKB";"Switzerland";"Switzerland";"Financial services";"Services";"Banks";2004;70;2036;1643;NA;NA;2019;488;NA;1150.1;1;100;"Scope 1+2 (market-based)";NA;NA;NA;NA;NA;NA;"1650-abs-S12M-2004-2036-1";"Company-wide";2016;"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative";100.426049908704;"Scope 1+2";"S1";"S2M";"absolute";1643;1643;NA;NA;0.4;1;492.9;1103.890625;488
"S12L3";1680;"Bendigo and Adelaide Bank";"Australia";"Australia";"Financial services";"Services";"Banks";2017;0.65;2020;35229;33849.45;27737.99;2019;28279.99;22844.78;187.645020025879;1;100;"Scope 1+2 (location-based) +3 (upstream & downstream)";NA;NA;NA;NA;NA;NA;"1680-abs-S12L3-2017-2020-1";"Company-wide";2017;"No, but we anticipate setting one in the next 2 years";3034.65894575492;"Scope 1+2+3";"S1";"S2L";"absolute";35229;28868.464619366;NA;NA;0.4;0.819451719304154;28680.8195993401;28743.3679393488;22844.78
"S12M";3253;"China Steel Corporation";"Taiwan, Greater China";"Other: Japan";"Metal smelting, refining & forming";"Materials";"Iron & steel";2005;20;2030;20401443;NA;NA;2019;21533598.599;NA;NA;1;100;"Scope 1+2 (market-based)";NA;3;NA;20966413;1349200;NA;"3253-abs-S12M-2005-2030-1";"Company-wide";2019;"No, but we are reporting another target that is science-based";-27.7469588793302;"Scope 1+2";"S1";"S2M";"absolute";20401443;20401443;NA;NA;0.4;1;16321154.4;18116481.384;21533598.599
