"Scope_short";"account_id";"company_name";"incorporation_country";"Country/Region";"primary_sector";"primary_industry";"primary_activity";"Base year";"% reduction from base year";"Target year";"BY_EM_target";"BY_EM_100";"BY_EM_100_excl_scope3";"Most recent accounting year";"MRY_EM_100";"MRY_EM_100_excl_scope3";"Country impact (excl. scope 3)";"percent_alloc";"% emissions in Scope";"Scope_long";"Country S1";"Country S2L";"Country S2M";"Global S1";"Global S2L";"Global S2M";"T_ID";"Target coverage";"Year target was set";"Is this a science-based target?";"% of target achieved [auto-calculated]";"Scope";"Scope1";"Scope2";"target_type";"BY_tmp";"BaseYearEmissions_excl_scope3";"S1";"S2";"perc_scope1";"ratio_EM_excl_incl_scope3";"TargetYearEmissions_excl_scope3";"MRY_EM_excl_scope3_interpolated";"MRY_EM_excl_scope3"
"S12L";22341;"Ecopetrol S.A.";"Colombia";"Colombia";"Oil & gas extraction & production";"Fossil Fuels";"Oil & gas extraction";2010;20;2030;NA;NA;NA;2019;NA;NA;NA;1;NA;"Scope 1+2 (location-based)";10723525;301505;147939;10723525;301505;147939;"22341-abs-S12L-2010-2030-1";"Company-wide";2019;"No, but we anticipate setting one in the next 2 years";NA;"Scope 1+2";"S1";"S2L";"absolute";NA;0;10723525;301505;0.972652682124221;1;NA;NA;0
"S12L";22383;"Alk-Abello A/S";"Denmark";"Denmark";"Biotech & pharma";"Biotech, health care & pharma";"Pharmaceuticals";2017;25;2020;9658;NA;NA;2019;NA;NA;NA;1;NA;"Scope 1+2 (location-based)";NA;NA;NA;NA;NA;NA;"22383-abs-S12L-2017-2020-1";"Other, please specify: All production facilities: Hørsholm, Madrid, Varennes, Port Washington, Post Falls and Oklahoma";2018;"No, but we anticipate setting one in the next 2 years";87.2230275419341;"Scope 1+2";"S1";"S2L";"absolute";9658;9658;NA;NA;0.4;1;7243.5;8048.33333333333;8048.33333333333
"S12L";31416;"Aedifica SA";"Belgium";"Belgium";"Financial services";"Services";"REIT";2017;10;2025;NA;NA;NA;2019;NA;NA;NA;1;NA;"Scope 1+2 (location-based)";NA;NA;NA;12041;11396;NA;"31416-abs-S12L-2017-2025-1";"Company-wide";2018;"No, and we do not anticipate setting one in the next 2 years";NA;"Scope 1+2";"S1";"S2L";"absolute";NA;0;NA;NA;0.4;1;NA;NA;0
"S12M3";58002;"Blue Cross Blue Shield Massachusetts";"United States of America";"United States of America";"Other services";"Services";"Health care services";2010;30;2020;38070;NA;NA;2018;NA;NA;NA;1;NA;"Scope 1+2 (market-based) +3 (upstream & downstream)";NA;NA;NA;NA;NA;NA;"58002-abs-S12M3-2010-2020-1";"Company-wide";2010;"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative";NA;"Scope 1+2+3";"S1";"S2M";"absolute";38070;38070;NA;NA;0.4;1;26649;28933.2;28933.2
"S2L";828885;"SUZHOU RONGCHANG SOFTBAG CO., LTD.";"China";"China";"Leisure & home manufacturing";"Manufacturing";"Accessories";2019;0.1;2020;50.62;NA;NA;2019;NA;NA;NA;1;NA;"Scope 2 (location-based)";8.23;50.62;0;8.23;NA;NA;"828885-abs-S2L-2019-2020-1";"Company-wide";2020;"No, but we anticipate setting one in the next 2 years";0;"Scope 2";"";"S2L";"absolute";50.62;50.62;0;50.62;0;1;50.56938;50.62;50.62
"S2L";829451;"CASCADE ENGINEERING, INC.";"United States of America";"US, Latin America and Caribbean (USLAC)";"Plastic product manufacturing";"Manufacturing";"Plastic products";2006;50;2025;50.3;NA;NA;2019;NA;NA;25.15;1;NA;"Scope 2 (location-based)";NA;39.5;NA;NA;39.5;NA;"829451-abs-S2L-2006-2025-1";"Company-wide";2007;"No, and we do not anticipate setting one in the next 2 years";42.9423459244533;"Scope 2";"";"S2L";"absolute";50.3;50.3;0;39.5;0;1;25.15;33.0921052631579;33.0921052631579
"S2L";830600;"ORGANIZACION TERPEL S A";"Colombia";"Colombia";"Oil & gas retailing";"Fossil Fuels";"Oil & gas marketing & retailing";2016;10;2023;23560;NA;NA;2019;NA;NA;2356;1;NA;"Scope 2 (location-based)";2934;17365;NA;2934;17365;NA;"830600-abs-S2L-2016-2023-1";"Company-wide";2017;"No, and we do not anticipate setting one in the next 2 years";262.945670628183;"Scope 2";"";"S2L";"absolute";23560;23560;0;17365;0;1;21204;22550.2857142857;22550.2857142857
"S12L";8346;"Hitachi Capital Corporation";"Japan";"Belgium";"Specialized professional services";"Services";"Other financial";2016;50;2034;135.614341085271;NA;NA;2020;NA;NA;67.8071705426357;0.0144778841769266;NA;"Scope 1+2 (location-based)";119;8;8;3907;4865;NA;"8346-abs-S12L-2016-2034-1";"Company-wide";2019;"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative";12.7041742286751;"Scope 1+2";"S1";"S2L";"absolute";135.614341085271;135.614341085271;119;8;0.937007874015748;1;67.8071705426357;120.546080964686;120.546080964686
"S12L";8346;"Hitachi Capital Corporation";"Japan";"Canada";"Specialized professional services";"Services";"Other financial";2016;50;2034;107.850775193799;NA;NA;2020;NA;NA;53.9253875968992;0.0115139078887369;NA;"Scope 1+2 (location-based)";0;101;101;3907;4865;NA;"8346-abs-S12L-2016-2034-1";"Company-wide";2019;"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative";12.7041742286751;"Scope 1+2";"S1";"S2L";"absolute";107.850775193799;107.850775193798;0;101;0;1;53.9253875968992;95.8673557278208;95.8673557278208
"S12L";8346;"Hitachi Capital Corporation";"Japan";"China";"Specialized professional services";"Services";"Other financial";2016;50;2034;135.614341085271;NA;NA;2020;NA;NA;67.8071705426357;0.0144778841769266;NA;"Scope 1+2 (location-based)";54;73;73;3907;4865;NA;"8346-abs-S12L-2016-2034-1";"Company-wide";2019;"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative";12.7041742286751;"Scope 1+2";"S1";"S2L";"absolute";135.614341085271;135.614341085271;54;73;0.425196850393701;1;67.8071705426357;120.546080964686;120.546080964686
