"account_id";"company_name";"program_id";"access";"incorporation_country";"sectors";"industries";"activities";"primary_sector";"primary_industry";"primary_activity";"project_year";"Target reference number";"Year target was set";"Target coverage";"Scope(s) (or Scope 3 category)";"Base year";"Covered emissions in base year (metric tons CO2e)";"Covered emissions in base year as % of total base year emissions in selected Scope(s) (or Scope 3 category)";"Target year";"Targeted reduction from base year (%)";"Covered emissions in target year (metric tons CO2e) [auto-calculated]";"Covered emissions in reporting year (metric tons CO2e)";"% of target achieved [auto-calculated]";"Target status in reporting year";"Is this a science-based target?";"Target boundary accuracy";"Possible invalid formulation";"Keyword matches";"duration";"time_complete";"% reduction (annual linear)";"Most recent accounting year";"Most recent accounting year end date";"Base year emissions (100% of scope)";"Base year emissions data source";"access_BYE";"Base year emissions (100% of scope, excl. scope 3)";"Base year emissions data source (excl. scope 3)";"access_Base_excl_scope3";"MRY emissions (100% of scope)";"MRY year emissions data source";"access_MRY_specific";"MRY emissions (100% of scope, excl. scope 3)";"MRY emissions data source (excl. scope 3)";"Anticipated reduction in target year (tCO2e)";"Anticipated reduction in target year, excl. scope 3 (tCO2e)";"flag";"flag_notes";"T_ID";"priority_score";"priority_order";"Global S1";"Global S2M";"Global S2L";"Country/Region";"Country S1";"Country S2L";"Country S2M";"percent_alloc";"Country impact (excl. scope 3)";"Scope_short";"Scope_short_tmp";"percent_alloc_tmp"
53;"Abertis Infraestructuras";"Investor";"public";"Spain";"Construction, Land & property ownership & development, Specialized professional services";"Infrastructure, Services";"Engineering services, Infrastructure upkeep & management, Transportation infrastructure & other construction, Utility line construction";"Land & property ownership & development";"Infrastructure";"Infrastructure upkeep & management";2020;"Abs 1";2015;"Company-wide";"Scope 1";2015;64501;100;2020;10;58050.9;48073;254.693725678672;"Achieved";"No, but we anticipate setting one in the next 2 years";"excellent";NA;NA;5;0.8;2;2019;"2019-12-31";64501;"C5.1 2020 S1";"public";NA;NA;NA;48073;"C6 2020 S1";"public";NA;NA;6450.1;NA;"-0ca-0e-0fb-0zb-7f-0zc-7f-0zd-7f-0vk-0vm-0vo-0rce-0rcd-0rcb-0rca-0rcb-0rab-5aa";"Base year emissions check: -0vk: stated base year emissions are 100% of calculated base year emissions (C5.1 2020 | TOTAL 64501). -0vm: stated base year emissions are 100% of calculated base year emissions (C6 2019 | TOTAL 64501). -0vo: stated base year emissions are 101% of calculated base year emissions (DWH 2017 | TOTAL 65169).; Organizational changes: Change in boundary: 4.97% increased in 2019,  Change in methodology: 0.61% decreased in 2019, Acquisitions: 0.88% increased in 2018,  Divestment: 4.14% decreased in 2018, Acquisitions: 3.0% increased in 2017, Acquisitions: 6% increase in 2016";"53-abs-S1-2015-2020-1";2.41536585365854;1;48073;NA;59270;"Global";48073;59270;NA;1;NA;"S1";"S1";1
53;"Abertis Infraestructuras";"Investor";"public";"Spain";"Construction, Land & property ownership & development, Specialized professional services";"Infrastructure, Services";"Engineering services, Infrastructure upkeep & management, Transportation infrastructure & other construction, Utility line construction";"Land & property ownership & development";"Infrastructure";"Infrastructure upkeep & management";2020;"Abs 2";2015;"Company-wide";"Scope 2 (location-based)";2015;57751;100;2020;10;51975.9;59270;-26.3025748471888;"Underway";"No, but we anticipate setting one in the next 2 years";"excellent";NA;NA;5;0.8;2;2019;"2019-12-31";57751;"C5.1 2020 S2L";"public";NA;NA;NA;59270;"C6 2020 S2L";"public";NA;NA;5775.1;NA;"-0cb-0e-0fa-0zb-7f-0zc-7f-0zd-7f-0vk-0vm-0vo-0rce-0rcd-0rcb-0rca-0rcb-0rab-5aa";"Base year emissions check: -0vk: stated base year emissions are 100% of calculated base year emissions (C5.1 2020 | TOTAL 57751). -0vm: stated base year emissions are 100% of calculated base year emissions (C6 2019 | TOTAL 57751). -0vo: stated base year emissions are 94% of calculated base year emissions (DWH 2017 | TOTAL 54264).; Organizational changes: Change in boundary: 4.97% increased in 2019,  Change in methodology: 0.61% decreased in 2019, Acquisitions: 0.88% increased in 2018,  Divestment: 4.14% decreased in 2018, Acquisitions: 3.0% increased in 2017, Acquisitions: 6% increase in 2016";"53-abs-S2L-2015-2020-1";2.08536585365854;2;48073;NA;59270;"Global";48073;59270;NA;1;NA;"S2L";"S2L";1
97;"Aareal Bank AG";"Investor";"public";"Germany";"Financial services, Specialized professional services";"Services";"Banks, Other financial";"Financial services";"Services";"Banks";2020;"Abs 1";2013;"Company-wide";"Scope 2 (market-based)";2015;3249;88;2020;100;0;92;97.1683594952293;"Underway";"No, but we anticipate setting one in the next 2 years";"good";NA;NA;7;0.857142857142857;20;2019;"2019-12-31";3166;"C5.1 2020 S2M";"public";NA;NA;NA;749;"C6 2020 S2M";"public";NA;NA;3249;NA;"-0hb-0cd-0zd-7f-0wakq-0wamq-0waoq-0rca-0rcb-0rec-0rba-0rcb-0rca-0rec-0rcd-2ak-2am-2fakq-5ab";"Base year emissions check: -0wakq: stated base year emissions are 17% higher than calculated base year emissions (C5.1 2020 | TOTAL 2786.08). -0wamq: stated base year emissions are 17% higher than calculated base year emissions (C6 2019 | TOTAL 2786.08). -0waoq: stated base year emissions are 17% higher than calculated base year emissions (DWH 2016 | TOTAL 2786.08).; Organizational changes: Divestment: 0.01% decreased in 2019,  Acquisitions: 0.36% increased in 2019, Other: 2.54% increased in 2018,  Divestment: 24.18% decreased in 2018,  Acquisitions: 0.62% increased in 2018, Divestment: 0.72% decreased in 2017,  Other: 3.61% decreased in 2017,  Change in methodology: 3.61% decreased in 2017";"97-abs-S2M-2015-2020-1";2.86536585365854;1;3159;749;4942;"Global";3159;4942;749;1;NA;"S2M";"S2M";1
135;"ABN Amro Holding";"Investor";"public";"Netherlands";"Financial services";"Services";"Asset managers, Banks";"Financial services";"Services";"Banks";2020;"Abs 3";2016;"Country/region";"Scope 1";2013;20090;76;2020;43;11451.3;10049;116.232766504219;"Achieved";"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative";"poor";NA;"Netherlands (breakdown matches)";4;0.75;6.14285714285714;2019;"2019-12-31";10030;"C5.1 2020 S1";"public";NA;NA;NA;13290;"C6 2020 S1";"public";NA;NA;8638.7;NA;"-0ca-0fb-0db-0zd-7f-0wak-0ta-0rae-0reb-0rad-0rea-2ak-2fakz-2axt-5ac";"Base year emissions check: -0wak: stated base year emissions are 164% higher than calculated base year emissions (C5.1 2020 | TOTAL 7622.8).; Found keyword(s): Netherlands; Organizational changes: Change in boundary: 63.0% increased in 2019, Other: 39% decrease in 2016, Change in methodology: 71.8% increase in 2015,  Other: 18.7% increase in 2015";"135-abs-S1-2013-2020-1";2.50536585365854;5;7250;41190;41190;"Global";7250;41190;41190;1;NA;"S1";"S1";1
135;"ABN Amro Holding";"Investor";"public";"Netherlands";"Financial services";"Services";"Asset managers, Banks";"Financial services";"Services";"Banks";2020;"Abs 5";2019;"Country/region";"Scope 1";2017;14210;100;2022;83;2415.7;10490;31.5406594711004;"Underway";"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative";"poor";NA;"Netherlands (breakdown matches); annual";3;0;16.6;2019;"2019-12-31";16570;"C6 2020 S1";"public";NA;NA;NA;13290;"C6 2020 S1";"public";NA;NA;11794.3;NA;"-0ma-0db-0zd-7f-0wam-0wan-0ta-0rae-2am-2famz-2axt-5ac";"Base year emissions check: -0wam: stated base year emissions are 602019% higher than calculated base year emissions (C6 2019 | TOTAL 2.36). -0wan: stated base year emissions are 505% higher than calculated base year emissions (CCDS 2018 | TOTAL 2350).; Found keyword(s): Netherlands; Organizational changes: Change in boundary: 63.0% increased in 2019";"135-abs-S1-2017-2022-1";3.14634146341463;3;7250;41190;41190;"Global";7250;41190;41190;1;NA;"S1";"S1";1
138;"Absa Group Limited";"Investor";"public";"South Africa";"Financial services";"Services";"Banks";"Financial services";"Services";"Banks";2020;"Abs 1";2019;"Company-wide";"Scope 1+2 (location-based) +3 (upstream & downstream)";2018;296468;100;2030;51;145269.32;248529;31.7059646287917;"New";"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative";"excellent";"Likely inclusion of RECs, ETS, or offsets";NA;11;0;4.25;2019;"2019-09-30";311189;"C6 2020 S1, C6 2020 S2L, C6 2019 S3.01, C6 2019 S3.02, C6 2019 S3.03, C6 2019 S3.05, C6 2019 S3.06, C6 2019 S3.08, C6 2019 S3.09, C6 2019 S3.10, C6 2019 S3.11, C6 2019 S3.12, C6 2019 S3.13, C6 2019 S3.14: upstream completeness: 1 downstream completeness: 0.857142857142857";"public";259399;"C5.1 2020 S1, C5.1 2020 S2L";"public";252618;"C6 2020 S1, C6 2020 S2L, C6 2020 S3.01, C6 2020 S3.02, C6 2020 S3.03, C6 2020 S3.04, C6 2020 S3.05, C6 2020 S3.06, C6 2020 S3.08, C6 2020 S3.09, C6 2020 S3.10, C6 2020 S3.11, C6 2020 S3.12, C6 2020 S3.13, C6 2020 S3.14, C6 2020 S3.16, C6 2020 S3.17: upstream completeness: 0.888888888888889 downstream completeness: 1";"public";218681;"C6 2020 , C6 2020";151198.68;126035.259579612;"-9cb-0db-0zd-7f-0scm-0vm-5aa";"Base year emissions check: Base yr emissions for target scope, NA, has been calculated from the following scopes/categories: S1, S2L, S3.01, S3.02, S3.03, S3.05, S3.06, S3.08, S3.09, S3.10, S3.11, S3.12, S3.13, S3.14 (upstream completeness: 1 downstream completeness: 0.857142857142857). -0vm: stated base year emissions are 105% of calculated base year emissions (C6 2019 | TOTAL 311189).";"138-abs-S12L3-2018-2030-1";3.50024390243902;1;19139;NA;225543;"Global";19139;225543;NA;1;126035.259579612;"S12L3";"S12L";1
149;"Acbel Polytech Inc";"Supply Chain";"public";"Taiwan, Greater China";"Electrical & electronic equipment";"Manufacturing";"Electronic components";"Electrical & electronic equipment";"Manufacturing";"Electronic components";2020;"Abs 2";2018;"Company-wide";"Scope 1+2 (location-based)";2014;48440.16;100;2030;35;31486.104;37129.92;66.7111162072368;"Underway";"No, but we anticipate setting one in the next 2 years";"excellent";NA;"China, Taiwan (breakdown matches)";12;0.0833333333333333;2.1875;2019;"2019-12-31";48497.6;"C5.1 2020 S1, C5.1 2020 S2L";"public";NA;NA;NA;37129.92;"C6 2020 S1, C6 2020 S2L";"public";NA;NA;16954.056;NA;"-0e-0zc-7ga-0zd-7f-0vk-0vo-0ta-0tc-0rcd-5aa";"Base year emissions check: -0vk: stated base year emissions are 100% of calculated base year emissions (C5.1 2020 | TOTAL 48497.6). -0vo: stated base year emissions are 106% of calculated base year emissions (DWH 2015 | TOTAL 51558.73).; Found keyword(s): China, Taiwan; Organizational changes: Change in methodology: 0.62% decreased in 2019";"149-abs-S12L-2014-2030-1";3.00024390243902;1;1959.97;NA;49598.76;"Global";1959.97;49598.76;NA;1;NA;"S12L";"S12L";1
154;"ACCIONA S.A.";"Investor";"public";"Spain";"Construction, Financial services, Food & beverage processing, Light manufacturing, Marine transport, Other services, Renewable power generation";"Food, beverage & agriculture, Infrastructure, Manufacturing, Power generation, Services, Transportation services";"Alcoholic beverages, Asset managers, Cruise lines & ferries, Energy infrastructure construction, Other renewable generation, Pollution control equipment, Real estate services, Transportation infrastructure & other construction, Utility line construction";"Construction";"Infrastructure";"Transportation infrastructure & other construction";2020;"Abs 1";2017;"Company-wide";"Scope 1+2 (market-based)";2017;213109;100;2030;60;85243.6;165649;37.1171560093661;"Underway";"Yes, this target has been approved as science-based by the Science-Based Targets initiative";"excellent";"Likely inclusion of RECs, ETS, or offsets";NA;13;0.153846153846154;4.61538461538461;2019;"2019-12-31";213109;"C5.1 2020 S1, C5.1 2020 S2M";"public";NA;NA;NA;165649;"C6 2020 S1, C6 2020 S2M";"public";NA;NA;127865.4;NA;"-9cb-0zb-7ga-0zc-7ga-0zd-7f-0vk-0wbm-0wbn-5aa";"Base year emissions check: -0vk: stated base year emissions are 100% of calculated base year emissions (C5.1 2020 | TOTAL 213109). -0wbm: stated base year emissions are 83% lower than calculated base year emissions (C6 2018 | TOTAL 1228540). -0wbn: stated base year emissions are 83% lower than calculated base year emissions (CCDS 2018 | TOTAL 1228540).";"154-abs-S12M-2017-2030-1";3.25024390243902;1;570601;246603;395272;"Global";570601;395272;246603;1;NA;"S12M";"S12M";1
169;"ACERINOX";"Investor";"public";"Spain";"Metal smelting, refining & forming";"Materials";"Iron & steel";"Metal smelting, refining & forming";"Materials";"Iron & steel";2020;"Abs 1";2019;"Company-wide";"Scope 1+2 (location-based)";2019;2856514;100;2050;100;0;2856514;0;"New";"No, but we anticipate setting one in the next 2 years";"excellent";NA;NA;31;0;3.2258064516129;2019;"2019-12-31";2897135;"C5.1 2020 S1, C5.1 2020 S2L";"public";NA;NA;NA;2897135;"C5.1 2020 S1, C5.1 2020 S2L";"public";NA;NA;2856514;NA;"-0cb-0e-0cd-0zd-7f-0vk-5aa";"Base year emissions check: -0vk: stated base year emissions are 101% of calculated base year emissions (C5.1 2020 | TOTAL 2897135).";"169-abs-S12L-2019-2050-1";3.66;1;785771;NA;2111364;"Global";785771;2111364;NA;1;NA;"S12L";"S12L";1
220;"Adecco Group AG";"Investor";"public";"Switzerland";"Commercial & consumer services";"Services";"Commercial services";"Commercial & consumer services";"Services";"Commercial services";2020;"Abs 2";2012;"Company-wide";"Scope 2 (market-based)";2012;52372;100;2022;12;46087.36;30943.66;340.963682883984;"Achieved";"No, but we anticipate setting one in the next 2 years";"excellent";NA;NA;10;0.7;1.2;2019;"2019-12-31";52372;"C5.1 2020 S2M";"public";NA;NA;NA;30943.661;"C6 2020 S2M";"public";NA;NA;6284.64;NA;"-0ca-0fb-0fa-0fb-0e-0e-0fb-0zc-7f-0zd-7f-0vk-0rcd-0reb-0rec-0reb-5aa";"Base year emissions check: -0vk: stated base year emissions are 100% of calculated base year emissions (C5.1 2020 | TOTAL 52372).; Organizational changes: Change in methodology: 3.19% increased in 2018, Other: 16% decrease in 2016, Other: 4.4% decrease in 2015, Other: 8% decrease in 2014";"220-abs-S2M-2012-2022-1";2.10634146341463;2;51561.76;NA;64523.62;"Global";51561.76;64523.62;NA;1;NA;"S2M";"S2M";1
246;"Advantest Corporation";"Investor";"public";"Japan";"Electrical & electronic equipment, Trading, wholesale, distribution, rental & leasing";"Manufacturing, Retail";"Electronic components, Vehicles & machinery rental & leasing";"Electrical & electronic equipment";"Manufacturing";"Electronic components";2020;"Abs 1";2019;"Company-wide";"Scope 1+2 (market-based)";2018;37379.91;100;2030;30;26165.937;33384.57;35.6282291744416;"Replaced";"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative";"excellent";NA;NA;11;0;2.5;2020;"2020-03-31";30635109.956;"C6 2020 S1, C6 2020 S2M";"public";NA;NA;NA;33384.574;"C6 2020 S1, C6 2020 S2M";"public";NA;NA;11213.973;NA;"-0fb-0zd-7f-0vm-0vn-0td-5aa";"Base year emissions check: -0vm: stated base year emissions are 94% of calculated base year emissions (C6 2019 | TOTAL 35268). -0vm: stated base year emissions are 94% of calculated base year emissions (C6 2018 | TOTAL 35268). -0vn: stated base year emissions are 94% of calculated base year emissions (CCDS 2018 | TOTAL 35268).; Found keyword(s): ??? ???? ???????? ?????? ??, ?? ??????????? ?? ?????";"246-abs-S12M-2018-2030-1";2.95024390243902;1;3565.24;30720.1;NA;"Global";3565.24;NA;30720.1;1;NA;"S12M";"S12M";1
