"Scope_short";"account_id";"company_name";"incorporation_country";"Country/Region";"primary_sector";"primary_industry";"primary_activity";"Base year";"% reduction from base year";"Target year";"BY_EM_target";"BY_EM_100";"BY_EM_100_excl_scope3";"Most recent accounting year";"MRY_EM_100";"MRY_EM_100_excl_scope3";"Country impact (excl. scope 3)";"percent_alloc";"% emissions in Scope";"Scope_long";"Country S1";"Country S2L";"Country S2M";"Global S1";"Global S2L";"Global S2M";"T_ID";"Target coverage";"Year target was set";"Is this a science-based target?";"% of target achieved [auto-calculated]";"Scope";"Scope1";"Scope2";"target_type";"BY_tmp";"BaseYearEmissions_excl_scope3";"S1";"S2";"perc_scope1";"ratio_EM_excl_incl_scope3";"TargetYearEmissions_excl_scope3";"MRY_EM_excl_scope3_interpolated";"MRY_EM_excl_scope3"
"S1";453;"AK Steel Holding Corporation";"United States of America";"Global";"Metal smelting, refining & forming";"Materials";"Iron & steel";2015;10;2025;8092985;8092985;NA;2019;6500198;NA;NA;1;100;"Scope 1";6500198;2027094;1937844;6500198;2027094;1937844;"453-abs-S1-2015-2025-1";NA;2016;"No, but we anticipate setting one in the next 2 years";196.810818258035;"Scope 1";"S1";"";"absolute";8092985;8092985;6500198;0;1;1;7283686.5;7769265.6;6500198
"S1";689;"American Electric Power Company, Inc.";"United States of America";"Global";"Thermal power generation";"Power generation";"Coal generation";2010;10;2020;134000000;139508137.89;NA;2019;64128544.92;NA;NA;1;99;"Scope 1";64776308;NA;NA;64776308;NA;NA;"689-abs-S1-2010-2020-1";NA;2010;"No, but we are reporting another target that is science-based";567.164179104478;"Scope 1";"S1";"";"absolute";134000000;134000000;64776308;0;1;1;120600000;121940000;64128544.92
"S1";706;"American Tower Corp.";"United States of America";"Global";"Construction";"Infrastructure";"Utility line construction";2017;60;2027;651065;169276.9;NA;2019;144633.06;NA;NA;1;26;"Scope 1";556281;1780621;NA;556281;1780621;NA;"706-abs-S1-2017-2027-1";NA;2018;"No, but we anticipate setting one in the next 2 years";24.2638343841757;"Scope 1";"S1";"";"absolute";651065;651065;556281;0;1;1;260426;572937.2;144633.06
"S1";5584;"Endesa";"Spain";"Global";"Renewable power generation";"Power generation";"Hydro generation";2010;100;2050;23839360;38631310;NA;2019;17476358;NA;NA;1;100;"Scope 1";38631310;660575;NA;38631310;660575;NA;"5584-abs-S1-2010-2050-1";NA;2015;"Yes, this target has been approved as science-based by the Science-Based Targets initiative";26.691161172112;"Scope 1";"S1";"";"absolute";23839360;23839360;38631310;0;1;1;0;18475504;17476358
"S12L";8346;"Hitachi Capital Corporation";"Japan";"Global";"Specialized professional services";"Services";"Other financial";2016;50;2034;9367;NA;NA;2020;NA;NA;NA;1;NA;"Scope 1+2 (location-based)";3907;4865;NA;3907;4865;NA;"8346-abs-S12L-2016-2034-1";"Company-wide";2019;"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative";12.7041742286751;"Scope 1+2";"S1";"S2L";"absolute";9367;9367;3907;4865;0.445394436844505;1;4683.5;8326.22222222222;8326.22222222222
"S12L";8351;"Hitachi Chemical Company, Ltd.";"Japan";"Global";"Chemicals";"Materials";"Specialty chemicals";2010;80;2050;704908;263728.07;NA;2020;606881.95;NA;NA;1;79;"Scope 1+2 (location-based)";182483;585722;568171;182483;585722;568171;"8351-abs-S12L-2010-2050-1";NA;2017;"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative";-8.11187417365103;"Scope 1+2";"S1";"S2L";"absolute";704908;704908;182483;585722;0.23754466581186;1;140981.6;563926.4;606881.95
"S12L";10666;"Lexmark International, Inc.";"United States of America";"Global";"Electrical & electronic equipment";"Manufacturing";"Electronic equipment";2015;37.5;2030;122938;120479.24;NA;2019;94997.28;NA;NA;1;98;"Scope 1+2 (location-based)";20996;112737;NA;20996;112737;NA;"10666-abs-S12L-2015-2030-1";NA;2018;"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative";56.4013296675289;"Scope 1+2";"S1";"S2L";"absolute";122938;122938;20996;112737;0.156999394315539;1;76836.25;110644.2;94997.28
"S12M";11765;"Merck & Co., Inc.";"United States of America";"Global";"Biotech & pharma";"Biotech, health care & pharma";"Pharmaceuticals";2015;40;2025;1458970;1458970;NA;2019;1071970;NA;NA;1;100;"Scope 1+2 (market-based)";864600;588300;638400;864600;588300;638400;"11765-abs-S12M-2015-2025-1";NA;2016;"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative";66.313906386012;"Scope 1+2";"S1";"S2M";"absolute";1458970;1458970;864600;638400;0.575249500998004;1;875382;1225534.8;1071970
"S12L";13166;"Nidec Corporation";"Japan";"Global";"Electrical & electronic equipment";"Manufacturing";"Electronic components";2018;10;2021;649840.81;NA;NA;2020;NA;NA;NA;1;NA;"Scope 1+2 (location-based)";68705.56;612486.46;NA;68705.56;612486.46;NA;"13166-abs-S12L-2018-2021-1";"Site/facility";2019;"No, but we anticipate setting one in the next 2 years";29.4126957031216;"Scope 1+2";"S1";"S2L";"absolute";649840.81;649840.81;68705.56;612486.46;0.100860782250503;1;584856.729;606518.089333333;606518.089333333
"S12M";13889;"OMRON Corporation";"Japan";"Global";"Powered machinery";"Manufacturing";"Industrial machinery";2016;100;2050;250378;278415;NA;2020;120823;NA;NA;1;100;"Scope 1+2 (market-based)";72485;NA;205930;72485;NA;205930;"13889-abs-S12M-2016-2050-1";NA;2018;"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative";33.6642995790365;"Scope 1+2";"S1";"S2M";"absolute";250378;250378;72485;205930;0.260348759944687;1;0;220921.764705882;120823
"S12M";15980;"Royal Bank of Canada";"Canada";"Global";"Financial services";"Services";"Banks";2018;15;2023;121465;121465;NA;2019;99136;NA;NA;1;100;"Scope 1+2 (market-based)";23230;85049;82216;23230;85049;82216;"15980-abs-S12M-2018-2023-1";NA;2018;"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative";122.553822088668;"Scope 1+2";"S1";"S2M";"absolute";121465;121465;23230;82216;0.220302334844375;1;103245.25;117821.05;99136
"S12L";16168;"Samsung Heavy Industries Co Ltd";"Republic of Korea";"Global";"Transportation equipment";"Manufacturing";"Shipbuilding";2009;10;2020;452710;468663;NA;2019;326919;NA;NA;1;100;"Scope 1+2 (location-based)";231561;234981;NA;231561;234981;NA;"16168-abs-S12L-2009-2020-1";NA;2015;"No, and we do not anticipate setting one in the next 2 years";NA;"Scope 1+2";"S1";"S2L";"absolute";452710;452710;231561;234981;0.496334735136386;1;407439;411554.545454545;326919
"S12M";16919;"Siemens AG";"Germany";"Global";"Electrical & electronic equipment";"Manufacturing";"Electrical equipment";2014;100;2050;2180000;1979003;NA;2019;1281034;NA;NA;1;100;"Scope 1+2 (market-based)";899250;1280768;NA;899250;1280768;NA;"16919-abs-S12M-2014-2050-1";NA;2015;"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative";41.2385321100917;"Scope 1+2";"S1";"S2M";"absolute";2180000;2180000;899250;NA;1;1;0;1877222.22222222;1281034
"S12L";18377;"Tecan Group Ltd";"Switzerland";"Global";"Medical equipment & supplies";"Biotech, health care & pharma";"Medical equipment";2019;33;2022;1344.46;NA;NA;2019;NA;NA;NA;1;NA;"Scope 1+2 (location-based)";235.77;1108.69;NA;235.77;1108.69;NA;"18377-abs-S12L-2019-2022-1";"Company-wide";2019;"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative";0;"Scope 1+2";"S1";"S2L";"absolute";1344.46;1344.46;235.77;1108.69;0.175364086696518;1;900.7882;1344.46;1344.46
"S12L";18526;"Telus Corporation";"Canada";"Global";"Media, telecommunications & data center services";"Services";"Telecommunications services";2010;25;2020;413422;423591;NA;2019;317890;NA;NA;1;100;"Scope 1+2 (location-based)";61393;256497;NA;61393;256497;NA;"18526-abs-S12L-2010-2020-1";NA;2010;"No, but we anticipate setting one in the next 2 years";123.138101020265;"Scope 1+2";"S1";"S2L";"absolute";413422;413422;61393;256497;0.19312655321023;1;310066.5;320402.05;317890
