"Scope_short";"account_id";"company_name";"incorporation_country";"Country/Region";"primary_sector";"primary_industry";"primary_activity";"Base year";"% reduction from base year";"Target year";"BY_EM_target";"BY_EM_100";"BY_EM_100_excl_scope3";"Most recent accounting year";"MRY_EM_100";"MRY_EM_100_excl_scope3";"Country impact (excl. scope 3)";"percent_alloc";"% emissions in Scope";"Scope_long";"Country S1";"Country S2L";"Country S2M";"Global S1";"Global S2L";"Global S2M";"T_ID";"Target coverage";"Year target was set";"Is this a science-based target?";"% of target achieved [auto-calculated]";"Scope";"Scope1";"Scope2";"target_type";"BY_tmp";"BaseYearEmissions_excl_scope3";"S1";"S2";"perc_scope1";"ratio_EM_excl_incl_scope3";"TargetYearEmissions_excl_scope3";"MRY_EM_excl_scope3_interpolated";"MRY_EM_excl_scope3"
"S12L";8346;"Hitachi Capital Corporation";"Japan";"Global";"Specialized professional services";"Services";"Other financial";2016;50;2034;9367;NA;NA;2020;NA;NA;NA;1;NA;"Scope 1+2 (location-based)";3907;4865;NA;3907;4865;NA;"8346-abs-S12L-2016-2034-1";"Company-wide";2019;"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative";12.7041742286751;"Scope 1+2";"S1";"S2L";"absolute";9367;9367;3907;4865;0.445394436844505;1;4683.5;8326.22222222222;8326.22222222222
"S12L";13166;"Nidec Corporation";"Japan";"Global";"Electrical & electronic equipment";"Manufacturing";"Electronic components";2018;10;2021;649840.81;NA;NA;2020;NA;NA;NA;1;NA;"Scope 1+2 (location-based)";68705.56;612486.46;NA;68705.56;612486.46;NA;"13166-abs-S12L-2018-2021-1";"Site/facility";2019;"No, but we anticipate setting one in the next 2 years";29.4126957031216;"Scope 1+2";"S1";"S2L";"absolute";649840.81;649840.81;68705.56;612486.46;0.100860782250503;1;584856.729;606518.089333333;606518.089333333
"S12L";18377;"Tecan Group Ltd";"Switzerland";"Global";"Medical equipment & supplies";"Biotech, health care & pharma";"Medical equipment";2019;33;2022;1344.46;NA;NA;2019;NA;NA;NA;1;NA;"Scope 1+2 (location-based)";235.77;1108.69;NA;235.77;1108.69;NA;"18377-abs-S12L-2019-2022-1";"Company-wide";2019;"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative";0;"Scope 1+2";"S1";"S2L";"absolute";1344.46;1344.46;235.77;1108.69;0.175364086696518;1;900.7882;1344.46;1344.46
"S1";21419;"Axiata Group Berhad";"Malaysia";"Global";"Media, telecommunications & data center services";"Services";"Telecommunications services";2013;60;2020;256435;NA;NA;2019;NA;NA;NA;1;NA;"Other, please specify: Life Cycle Assessment - Cradle to Gate";45948;1028256;NA;45948;1028256;NA;"21419-abs-SX-2013-2020-1";"Business division";2013;"No, but we anticipate setting one in the next 2 years";73.9414146534859;"Scope 1";"S1";"";"absolute";256435;256435;45948;0;1;1;102574;124554.142857143;124554.142857143
"S12L";22341;"Ecopetrol S.A.";"Colombia";"Global";"Oil & gas extraction & production";"Fossil Fuels";"Oil & gas extraction";2010;20;2030;NA;NA;NA;2019;NA;NA;NA;1;NA;"Scope 1+2 (location-based)";10723525;301505;147939;10723525;301505;147939;"22341-abs-S12L-2010-2030-1";"Company-wide";2019;"No, but we anticipate setting one in the next 2 years";NA;"Scope 1+2";"S1";"S2L";"absolute";NA;0;10723525;301505;0.972652682124221;1;NA;NA;0
"S12L";22383;"Alk-Abello A/S";"Denmark";"Global";"Biotech & pharma";"Biotech, health care & pharma";"Pharmaceuticals";2017;25;2020;9658;NA;NA;2019;NA;NA;NA;1;NA;"Scope 1+2 (location-based)";NA;NA;NA;NA;NA;NA;"22383-abs-S12L-2017-2020-1";"Other, please specify: All production facilities: Hørsholm, Madrid, Varennes, Port Washington, Post Falls and Oklahoma";2018;"No, but we anticipate setting one in the next 2 years";87.2230275419341;"Scope 1+2";"S1";"S2L";"absolute";9658;9658;NA;NA;1;1;7243.5;8048.33333333333;8048.33333333333
"S12L";31416;"Aedifica SA";"Belgium";"Global";"Financial services";"Services";"REIT";2017;10;2025;NA;NA;NA;2019;NA;NA;NA;1;NA;"Scope 1+2 (location-based)";12041;11396;NA;12041;11396;NA;"31416-abs-S12L-2017-2025-1";"Company-wide";2018;"No, and we do not anticipate setting one in the next 2 years";NA;"Scope 1+2";"S1";"S2L";"absolute";NA;0;12041;11396;0.513760293552929;1;NA;NA;0
"S12M3";44164;"Bertelsmann";"Germany";"Global";"Media, telecommunications & data center services";"Services";"Media";2018;50;2030;NA;NA;NA;2019;NA;NA;NA;1;NA;"Scope 1+2 (market-based) +3 (upstream & downstream)";246397;185494;239798;246397;185494;239798;"44164-abs-S12M3-2018-2030-1";"Company-wide";2019;"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative";NA;"Scope 1+2+3";"S1";"S2M";"absolute";NA;0;246397;239798;0.50678637172328;1;NA;NA;0
"S12L";51726;"LITENS AUTOMOTIVE PARTNER";"Canada";"Global";"Transportation equipment";"Manufacturing";"Automobiles";2014;6;2020;1347.89;NA;NA;2019;NA;NA;NA;1;NA;"Scope 1+2 (location-based)";2494.08;2236.65;NA;2494.08;2236.65;NA;"51726-abs-S12L-2014-2020-1";"Country/region";2014;"No, but we are reporting another target that is science-based";745.374869858322;"Scope 1+2";"S1";"S2L";"absolute";1347.89;1347.89;2494.08;2236.65;0.527208274410081;1;1267.0166;1280.4955;1280.4955
"S12M3";58002;"Blue Cross Blue Shield Massachusetts";"United States of America";"Global";"Other services";"Services";"Health care services";2010;30;2020;38070;NA;NA;2018;NA;NA;NA;1;NA;"Scope 1+2 (market-based) +3 (upstream & downstream)";NA;NA;NA;NA;NA;NA;"58002-abs-S12M3-2010-2020-1";"Company-wide";2010;"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative";NA;"Scope 1+2+3";"S1";"S2M";"absolute";38070;38070;NA;NA;1;1;26649;28933.2;28933.2
"S2L";73955;"GlobalWafers Co. Ltd";"Taiwan, Greater China";"Global";"Electrical & electronic equipment";"Manufacturing";"Semiconductors";2019;10;2030;1906.24;NA;NA;2019;NA;NA;NA;1;NA;"Scope 2 (location-based)";19663.14;1886580;NA;19663.14;1886580;NA;"73955-abs-S2L-2019-2030-1";"Company-wide";2019;"No, but we anticipate setting one in the next 2 years";0;"Scope 2";"";"S2L";"absolute";1906.24;1906.24;0;1886580;0;1;1715.616;1906.24;1906.24
"S2L";828885;"SUZHOU RONGCHANG SOFTBAG CO., LTD.";"China";"Global";"Leisure & home manufacturing";"Manufacturing";"Accessories";2019;0.1;2020;50.62;NA;NA;2019;NA;NA;NA;1;NA;"Scope 2 (location-based)";8.23;NA;NA;8.23;NA;NA;"828885-abs-S2L-2019-2020-1";"Company-wide";2020;"No, but we anticipate setting one in the next 2 years";0;"Scope 2";"";"S2L";"absolute";50.62;50.62;0;NA;0;1;50.56938;50.62;50.62
"S2L";829451;"CASCADE ENGINEERING, INC.";"United States of America";"Global";"Plastic product manufacturing";"Manufacturing";"Plastic products";2006;50;2025;50.3;NA;NA;2019;NA;NA;NA;1;NA;"Scope 2 (location-based)";NA;39.5;NA;NA;39.5;NA;"829451-abs-S2L-2006-2025-1";"Company-wide";2007;"No, and we do not anticipate setting one in the next 2 years";42.9423459244533;"Scope 2";"";"S2L";"absolute";50.3;50.3;0;39.5;0;1;25.15;33.0921052631579;33.0921052631579
"S2L";830600;"ORGANIZACION TERPEL S A";"Colombia";"Global";"Oil & gas retailing";"Fossil Fuels";"Oil & gas marketing & retailing";2016;10;2023;23560;NA;NA;2019;NA;NA;NA;1;NA;"Scope 2 (location-based)";2934;17365;NA;2934;17365;NA;"830600-abs-S2L-2016-2023-1";"Company-wide";2017;"No, and we do not anticipate setting one in the next 2 years";262.945670628183;"Scope 2";"";"S2L";"absolute";23560;23560;0;17365;0;1;21204;22550.2857142857;22550.2857142857
"S2L";47249;"RFS";"China";"Global";"Electrical & electronic equipment";"Manufacturing";"Communications equipment";2019;5;2020;NA;NA;NA;2019;NA;NA;NA;1;NA;"Scope 2 (location-based)";1056;9834;NA;1056;9834;NA;"47249-abs-S2L-2019-2020-2";"Site/facility";2020;NA;NA;"Scope 2";"";"S2L";"absolute";NA;0;0;9834;0;1;NA;NA;0
"S2L";47249;"RFS";"China";"Global";"Electrical & electronic equipment";"Manufacturing";"Communications equipment";2019;5;2020;NA;NA;NA;2019;NA;NA;NA;1;NA;"Scope 2 (location-based)";1056;9834;NA;1056;9834;NA;"47249-abs-S2L-2019-2020-1";"Site/facility";2020;NA;NA;"Scope 2";"";"S2L";"absolute";NA;0;0;9834;0;1;NA;NA;0
