"Scope_short";"account_id";"company_name";"incorporation_country";"Country/Region";"primary_sector";"primary_industry";"primary_activity";"Base year";"% reduction from base year";"Target year";"BY_EM_target";"BY_EM_100";"BY_EM_100_excl_scope3";"Most recent accounting year";"MRY_EM_100";"MRY_EM_100_excl_scope3";"Country impact (excl. scope 3)";"percent_alloc";"% emissions in Scope";"Scope_long";"Country S1";"Country S2L";"Country S2M";"Global S1";"Global S2L";"Global S2M";"T_ID";"Target coverage";"Year target was set";"Is this a science-based target?";"% of target achieved [auto-calculated]";"Scope";"Scope1";"Scope2";"target_type";"BY_tmp";"BaseYearEmissions_excl_scope3";"S1";"S2";"perc_scope1";"ratio_EM_excl_incl_scope3";"TargetYearEmissions_excl_scope3";"MRY_EM_excl_scope3_interpolated";"MRY_EM_excl_scope3"
"S1";53;"Abertis Infraestructuras";"Spain";"Global";"Land & property ownership & development";"Infrastructure";"Infrastructure upkeep & management";2015;10;2020;64501;64501;NA;2019;48073;NA;NA;1;100;"Scope 1";48073;59270;NA;48073;59270;NA;"53-abs-S1-2015-2020-1";"Company-wide";2015;"No, but we anticipate setting one in the next 2 years";254.693725678672;"Scope 1";"S1";"";"absolute";64501;64501;48073;0;1;1;58050.9;59340.92;48073
"S2L";53;"Abertis Infraestructuras";"Spain";"Global";"Land & property ownership & development";"Infrastructure";"Infrastructure upkeep & management";2015;10;2020;57751;57751;NA;2019;59270;NA;NA;1;100;"Scope 2 (location-based)";48073;59270;NA;48073;59270;NA;"53-abs-S2L-2015-2020-1";"Company-wide";2015;"No, but we anticipate setting one in the next 2 years";-26.3025748471888;"Scope 2";"";"S2L";"absolute";57751;57751;0;59270;0;1;51975.9;53130.92;59270
"S2M";97;"Aareal Bank AG";"Germany";"Global";"Financial services";"Services";"Banks";2015;100;2020;3249;2786.08;NA;2019;659.12;NA;NA;1;88;"Scope 2 (market-based)";3159;4942;749;3159;4942;749;"97-abs-S2M-2015-2020-1";"Company-wide";2013;"No, but we anticipate setting one in the next 2 years";97.1683594952293;"Scope 2";"";"S2M";"absolute";3249;3249;0;749;0;1;0;649.8;659.12
"S1";135;"ABN Amro Holding";"Netherlands";"Global";"Financial services";"Services";"Banks";2013;43;2020;20090;7622.8;NA;2019;10100.4;NA;NA;1;76;"Scope 1";7250;41190;41190;7250;41190;41190;"135-abs-S1-2013-2020-1";"Country/region";2016;"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative";116.232766504219;"Scope 1";"S1";"";"absolute";20090;20090;7250;0;1;1;11451.3;12685.4;10100.4
"S1";135;"ABN Amro Holding";"Netherlands";"Global";"Financial services";"Services";"Banks";2017;83;2022;14210;16570;NA;2019;13290;NA;NA;1;100;"Scope 1";7250;41190;41190;7250;41190;41190;"135-abs-S1-2017-2022-1";"Country/region";2019;"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative";31.5406594711004;"Scope 1";"S1";"";"absolute";14210;14210;7250;0;1;1;2415.7;9492.28;13290
"S12L3";138;"Absa Group Limited";"South Africa";"Global";"Financial services";"Services";"Banks";2018;51;2030;296468;311189;259399;2019;252618;218681;126035.259579612;1;100;"Scope 1+2 (location-based) +3 (upstream & downstream)";19139;225543;NA;19139;225543;NA;"138-abs-S12L3-2018-2030-1";"Company-wide";2019;"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative";31.7059646287917;"Scope 1+2+3";"S1";"S2L";"absolute";296468;247127.959960024;19139;225543;0.0782198935761519;0.833573808842858;121092.700380412;236625.021661723;218681
"S12L";149;"Acbel Polytech Inc";"Taiwan, Greater China";"Global";"Electrical & electronic equipment";"Manufacturing";"Electronic components";2014;35;2030;48440.16;48497.6;NA;2019;37129.92;NA;NA;1;100;"Scope 1+2 (location-based)";1959.97;49598.76;NA;1959.97;49598.76;NA;"149-abs-S12L-2014-2030-1";"Company-wide";2018;"No, but we anticipate setting one in the next 2 years";66.7111162072368;"Scope 1+2";"S1";"S2L";"absolute";48440.16;48440.16;1959.97;49598.76;0.0380143188166194;1;31486.104;43142.0175;37129.92
"S12M";154;"ACCIONA S.A.";"Spain";"Global";"Construction";"Infrastructure";"Transportation infrastructure & other construction";2017;60;2030;213109;213109;NA;2019;165649;NA;NA;1;100;"Scope 1+2 (market-based)";570601;395272;246603;570601;395272;246603;"154-abs-S12M-2017-2030-1";"Company-wide";2017;"Yes, this target has been approved as science-based by the Science-Based Targets initiative";37.1171560093661;"Scope 1+2";"S1";"S2M";"absolute";213109;213109;570601;246603;0.698235691455255;1;85243.6;193437.4;165649
"S12L";169;"ACERINOX";"Spain";"Global";"Metal smelting, refining & forming";"Materials";"Iron & steel";2019;100;2050;2856514;2897135;NA;2019;2897135;NA;NA;1;100;"Scope 1+2 (location-based)";785771;2111364;NA;785771;2111364;NA;"169-abs-S12L-2019-2050-1";"Company-wide";2019;"No, but we anticipate setting one in the next 2 years";0;"Scope 1+2";"S1";"S2L";"absolute";2856514;2856514;785771;2111364;0.271223467322027;1;0;2856514;2897135
"S2M";220;"Adecco Group AG";"Switzerland";"Global";"Commercial & consumer services";"Services";"Commercial services";2012;12;2022;52372;52372;NA;2019;30943.661;NA;NA;1;100;"Scope 2 (market-based)";51561.76;64523.62;NA;51561.76;64523.62;NA;"220-abs-S2M-2012-2022-1";"Company-wide";2012;"No, but we anticipate setting one in the next 2 years";340.963682883984;"Scope 2";"";"S2M";"absolute";52372;52372;0;NA;0;1;46087.36;47972.752;30943.661
