"account_id";"company_name";"primary_sector";"primary_industry";"primary_activity";"target_type";"Scope";"Scope_short";"perc_scope1";"Base year_Target_1";"Target year_Target_1";"Most recent accounting year_Target_1";"BaseYearEmissions_excl_scope3_Target_1";"MRY_EM_excl_scope3_Target_1";"% reduction from base year_Target_1";"Base year_Target_2";"Target year_Target_2";"Most recent accounting year_Target_2";"BaseYearEmissions_excl_scope3_Target_2";"MRY_EM_excl_scope3_Target_2";"% reduction from base year_Target_2";"Base year_Target_3";"Target year_Target_3";"Most recent accounting year_Target_3";"BaseYearEmissions_excl_scope3_Target_3";"MRY_EM_excl_scope3_Target_3";"% reduction from base year_Target_3";"Base year_Target_4";"Target year_Target_4";"Most recent accounting year_Target_4";"BaseYearEmissions_excl_scope3_Target_4";"MRY_EM_excl_scope3_Target_4";"% reduction from base year_Target_4";"Base year_Target_5";"Target year_Target_5";"Most recent accounting year_Target_5";"BaseYearEmissions_excl_scope3_Target_5";"MRY_EM_excl_scope3_Target_5";"% reduction from base year_Target_5";"Base year_Target_6";"Target year_Target_6";"Most recent accounting year_Target_6";"BaseYearEmissions_excl_scope3_Target_6";"MRY_EM_excl_scope3_Target_6";"% reduction from base year_Target_6";"Base year_Target_7";"Target year_Target_7";"Most recent accounting year_Target_7";"BaseYearEmissions_excl_scope3_Target_7";"MRY_EM_excl_scope3_Target_7";"% reduction from base year_Target_7";"Base year_Target_8";"Target year_Target_8";"Most recent accounting year_Target_8";"BaseYearEmissions_excl_scope3_Target_8";"MRY_EM_excl_scope3_Target_8";"% reduction from base year_Target_8";"Base year_Target_9";"Target year_Target_9";"Most recent accounting year_Target_9";"BaseYearEmissions_excl_scope3_Target_9";"MRY_EM_excl_scope3_Target_9";"% reduction from base year_Target_9"
847157;"37 Interactive Entertainment";"IT & software development";"Services";"Software";"absolute";"Scope 2";"S2L";0;2019;2025;2019;2701.36;1718.5206174;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
285;"3M Company";"Chemicals";"Materials";"Specialty chemicals";"absolute";"Scope 1+2";"S12L";0.656686626746507;2002;2025;2019;18300000;5830000;50;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1535;"A.G. Barr Plc";"Food & beverage processing";"Food, beverage & agriculture";"Non-alcoholic beverages";"absolute";"Scope 1+2";"S12L";0.488750088277546;2015;2025;2020;17522;14367;40;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
97;"Aareal Bank AG";"Financial services";"Services";"Banks";"absolute";"Scope 2";"S2M";0;2015;2020;2019;3249;659.12;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
282;"ABB";"Electrical & electronic equipment";"Manufacturing";"Electrical equipment";"absolute";"Scope 1+2";"S12M";0.397185898829846;2013;2020;2019;1551600;997903;40;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
282;"ABB";"Electrical & electronic equipment";"Manufacturing";"Electrical equipment";"absolute";"Scope 1+2";"S12M";1;NA;NA;NA;NA;NA;NA;2013;2020;2019;1551600;997903;40;2013;2020;2019;1551600;997903;40;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
45103;"AbbVie Inc";"Biotech & pharma";"Biotech, health care & pharma";"Pharmaceuticals";"absolute";"Scope 1+2";"S12M";0.477582397417791;2015;2025;2019;665467;564198;25;2015;2035;2019;665467;564198;50;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
32498;"Abengoa";"Specialized professional services";"Services";"Engineering services";"absolute";"Scope 1+2";"S12L";0.906481115849529;2017;2023;2019;2070630;2577982;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
32498;"Abengoa";"Specialized professional services";"Services";"Engineering services";"absolute";"Scope 1+2";"S12L";1;NA;NA;NA;NA;NA;NA;2017;2023;2019;2070630;2577982;5;2017;2023;2019;2070630;2577982;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
53;"Abertis Infraestructuras";"Land & property ownership & development";"Infrastructure";"Infrastructure upkeep & management";"absolute";"Scope 1";"S1";1;2015;2020;2019;64501;48073;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
53;"Abertis Infraestructuras";"Land & property ownership & development";"Infrastructure";"Infrastructure upkeep & management";"absolute";"Scope 2";"S2L";0;2015;2020;2019;57751;59270;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
138;"Absa Group Limited";"Financial services";"Services";"Banks";"absolute";"Scope 1+2+3";"S12L3";0.0782198935761519;2018;2030;2019;247127.959960024;218681;51;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
