"company_name";"incorporation_country";"Country/Region";"primary_sector";"primary_industry";"primary_activity";"Base year";"% reduction from base year";"Target year";"Base year emissions covered by target (metric tons CO2e)";"BY_EM_100";"BY_EM_100_excl_scope3";"Most recent accounting year";"MRY_EM_100";"MRY_EM_100_excl_scope3";"Country impact (excl. scope 3)";"percent_alloc";"% emissions in Scope";"Scope_long";"Country S1";"Country S2L";"Country S2M";"Global S1";"Global S2L";"Global S2M";"T_ID";"Scope_short";"Scope";"Scope1";"Scope2";"target_type";"BY_tmp";"BaseYearEmissions_excl_scope3";"S1";"S2";"perc_scope1";"ratio_EM_excl_incl_scope3";"TargetYearEmissions_excl_scope3";"MRY_EM_excl_scope3_interpolated";"MRY_EM_excl_scope3"
"Österreichische Post AG";"Austria";"Austria";"Intermodal transport & logistics";"Transportation services";"Logistics - 3rd party";2013;14;2025;70383;51455;58302;2017;83555;65848;7765.43797211418;1;100;"Scope 1+2 (location-based) +3 (upstream)";43025;22823;6337;43025;22823;6337;"13793-abs-S12L3-2013-2025-1";"S12L3";"Scope 1+2+3";"S1";"S2L";"absolute";70383;55467.4140865299;43025;22823;0.653398736484024;1.13306772908367;47701.9761144157;52878.9347624918;65848
"Aurubis AG";"Germany";"Germany";"Metallic mineral mining";"Mineral extraction";"Other non-ferrous ore mining";2013;8.6;2018;1162321;NA;NA;2017;1634694;NA;NA;1;100;"Scope 1 +2 (market-based)";357632;650592;650592;503678;1162321;1162321;"1177-abs-S12M-2013-2018-1";"S12M";"Scope 1+2";"S1";"S2M";"absolute";1162321;1162321;357632;650592;0.354714825276923;1;1062361.394;1082353.3152;1634694
"Hannover Rück SE";"Germany";"Germany";"Financial services";"Services";"Insurance";2007;100;2020;4031;4031;NA;2017;245;NA;4031;1;100;"Scope 2 (location-based)";NA;4033;4033;NA;4033;4033;"8082-abs-S2L-2007-2020-1";"S2L";"Scope 2";"";"S2L";"absolute";4031;4031;0;4033;0;1;0;930.230769230769;245
"ENTEGA AG";"Germany";"Germany";"Trading, wholesale, distribution, rental & leasing";"Services";"Dealers, wholesalers & distributors";2009;80;2020;11993;NA;NA;2017;1182168;97816;793.868409904514;1;6;"Scope 1+2 (market-based) +3 (upstream & downstream)";43841;67759;53975;43841;67759;53975;"46599-abs-S12M3-2009-2020-1";"S12M3";"Scope 1+2+3";"S1";"S2M";"absolute";11993;992.335512380643;43841;53975;0.448198658706142;0.0827428927191397;198.467102476128;414.976668813723;97816
"Alma Media Corporation";"Finland";"Finland";"Print & publishing services";"Services";"Print publishing";2016;21;2025;5404;5771;NA;2017;5447.7;NA;1088.79390829694;1;98;"Scope 1 +2 (market-based)";359;4178;4914;359;4364;5137;"569-abs-S12M-2016-2025-1";"S12M";"Scope 1+2";"S1";"S2M";"absolute";5404;5184.73289665209;359;4914;0.0680826853783425;1;4095.93898835515;5063.75579573021;5447.7
"Wärtsilä Corporation";"Finland";"Finland";"Powered machinery";"Manufacturing";"Industrial machinery";2015;7;2025;113466;123758;NA;2017;114000;NA;1535.15304384363;1;100;"Scope 1+2 (location-based)";14445;9475;9475;63441;60317;60317;"20408-abs-S12L-2015-2025-1";"S12L";"Scope 1+2";"S1";"S2L";"absolute";113466;21930.7577691947;14445;9475;0.603887959866221;1;20395.6047253511;21623.727160426;114000
"DNA Plc";"Finland";"Finland";"Media, telecommunications & data center services";"Services";"Telecommunications services";2014;15;2020;210000;NA;30940;2017;208458;14680;2218.28857611605;1;100;"Scope 1+2 (market-based) +3 (upstream & downstream)";680;21100;14000;680;21100;14000;"52905-abs-S12M3-2014-2020-1";"S12M3";"Scope 1+2+3";"S1";"S2M";"absolute";210000;14788.5905074403;680;14000;0.0463215258855586;0.0704218595592398;12570.3019313243;13679.4462193823;14680
"ADP (Aeroports de Paris)";"France";"France";"Industrial support services";"Services";"Transportation support services";2009;100;2030;177641;177641;NA;2017;66380;NA;177641;1;100;"Scope 1+2 (location-based)";49461;16919;3974;49461;16919;3974;"173-abs-S12L-2009-2030-1";"S12L";"Scope 1+2";"S1";"S2L";"absolute";177641;177641;49461;16919;0.745119011750527;1;0;109968.238095238;66380
"Natixis SA";"France";"France";"Financial services";"Services";"Banks";2010;20;2020;5087;14962;NA;2017;3948;NA;1017.4;1;63;"Scope 2 (location-based)";NA;0;0;NA;0;0;"12874-abs-S2L-2010-2020-1";"S2L";"Scope 2";"";"S2L";"absolute";5087;5087;0;0;0;1;4069.6;4374.82;3948
"Groupe PSA";"France";"France";"Transportation equipment";"Manufacturing";"Automobiles";2012;26;2025;681409;681410;NA;2017;609285;NA;112069.951114712;1;90;"Scope 1+2 (location-based)";366349;148542;148542;492992;320976;320976;"22991-abs-S12L-2012-2025-1";"S12L";"Scope 1+2";"S1";"S2L";"absolute";681409;431038.273518123;366349;148542;0.711507872540013;1;318968.322403411;387934.446166311;609285
