"company_name";"Country/Region";"sectors";"industries";"activities";"target_type";"Scope";"perc_scope1";"Base year_Target_1";"Target year_Target_1";"BaseYearEmissions_excl_scope3_Target_1";"MRY_excl_scope3_Target_1";"% reduction from base year_Target_1";"Base year_Target_2";"Target year_Target_2";"BaseYearEmissions_excl_scope3_Target_2";"MRY_excl_scope3_Target_2";"% reduction from base year_Target_2";"Base year_Target_3";"Target year_Target_3";"BaseYearEmissions_excl_scope3_Target_3";"MRY_excl_scope3_Target_3";"% reduction from base year_Target_3";"Base year_Target_4";"Target year_Target_4";"BaseYearEmissions_excl_scope3_Target_4";"MRY_excl_scope3_Target_4";"% reduction from base year_Target_4"
"A2A";"France";"Energy utility networks, Non-energy utilities, Renewable power generation, Thermal power generation";"Infrastructure, Power generation";"CCGT generation, Electricity networks, Gas utilities, Hydro generation, Waste management";"absolute";"Scope 1";1;2012;2022;384363.947443929;327107.693908957;34;2012;2030;384363.947443931;327107.693908957;62;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A2A";"Italy";"Energy utility networks, Non-energy utilities, Renewable power generation, Thermal power generation";"Infrastructure, Power generation";"CCGT generation, Electricity networks, Gas utilities, Hydro generation, Waste management";"absolute";"Scope 1";1;2012;2022;9082926.05255606;7729900.30609104;34;2012;2030;9082926.05255606;7729900.30609104;62;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Abertis Infraestructuras";"Brazil";"Construction, Land & property ownership & development, Specialized professional services";"Infrastructure, Services";"Engineering services, Infrastructure upkeep & management, Transportation infrastructure & other construction, Utility line construction";"absolute";"Scope 1";1;2015;2020;33810.7777743474;38685.22;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Abertis Infraestructuras";"France";"Construction, Land & property ownership & development, Specialized professional services";"Infrastructure, Services";"Engineering services, Infrastructure upkeep & management, Transportation infrastructure & other construction, Utility line construction";"absolute";"Scope 1";1;2015;2020;16781.3074906966;19200.64;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Abertis Infraestructuras";"India";"Construction, Land & property ownership & development, Specialized professional services";"Infrastructure, Services";"Engineering services, Infrastructure upkeep & management, Transportation infrastructure & other construction, Utility line construction";"absolute";"Scope 1";1;2015;2020;71.5891187253632;81.9099999999999;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Abertis Infraestructuras";"Italy";"Construction, Land & property ownership & development, Specialized professional services";"Infrastructure, Services";"Engineering services, Infrastructure upkeep & management, Transportation infrastructure & other construction, Utility line construction";"absolute";"Scope 1";1;2015;2020;1336.90996774816;1529.65;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Abertis Infraestructuras";"Puerto Rico";"Construction, Land & property ownership & development, Specialized professional services";"Infrastructure, Services";"Engineering services, Infrastructure upkeep & management, Transportation infrastructure & other construction, Utility line construction";"absolute";"Scope 1";1;2015;2020;644.371988312154;737.269999999998;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Abertis Infraestructuras";"Spain";"Construction, Land & property ownership & development, Specialized professional services";"Infrastructure, Services";"Engineering services, Infrastructure upkeep & management, Transportation infrastructure & other construction, Utility line construction";"absolute";"Scope 1";1;2015;2020;3310.4483077432;3787.71;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ABN Amro Holding";"France";"Financial services";"Services";"Asset managers, Banks";"absolute";"Scope 1";1;2016;2019;134.8;94;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ABN Amro Holding";"Netherlands";"Financial services";"Services";"Asset managers, Banks";"absolute";"Scope 1";1;2016;2019;3235.2;2256;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ACEA SpA";"Italy";"Energy utility networks, Non-energy utilities, Renewable power generation, Thermal power generation";"Infrastructure, Power generation";"Biomass generation, CCGT generation, Electricity networks, Water supply networks";"absolute";"Scope 1";1;2009;2022;105737;380883;45;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Adecco Group AG";"Belgium";"Commercial & consumer services";"Services";"Commercial services";"absolute";"Scope 1";1;2012;2022;386.001796680331;447.785141546758;12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Adecco Group AG";"France";"Commercial & consumer services";"Services";"Commercial services";"absolute";"Scope 1";1;2012;2022;6961.03240075591;8075.21339457766;12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Adecco Group AG";"Germany";"Commercial & consumer services";"Services";"Commercial services";"absolute";"Scope 1";1;2012;2022;6693.03115331983;7764.31593878875;12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Adecco Group AG";"Italy";"Commercial & consumer services";"Services";"Commercial services";"absolute";"Scope 1";1;2012;2022;2400.01117106941;2784.15632049798;12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Adecco Group AG";"Japan";"Commercial & consumer services";"Services";"Commercial services";"absolute";"Scope 1";0;2012;2022;0;0;12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Adecco Group AG";"Netherlands";"Commercial & consumer services";"Services";"Commercial services";"absolute";"Scope 1";1;2012;2022;3457.01609099457;4010.34516665063;12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Adecco Group AG";"Spain";"Commercial & consumer services";"Services";"Commercial services";"absolute";"Scope 1";1;2012;2022;2420.01126416166;2807.3576231688;12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Adecco Group AG";"Sweden";"Commercial & consumer services";"Services";"Commercial services";"absolute";"Scope 1";1;2012;2022;1164.00541796867;1350.31581544152;12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
