"company_name";"incorporation_country";"Country/Region";"sectors";"industries";"activities";"Base year";"% reduction from base year";"Target year";"Base year emissions covered by target (metric tons CO2e)";"BY_EM_100";"BY_EM_100_excl_scope3";"Inventory accounting year";"Inventory reporting year";"MRY_EM_100";"MRY_EM_100_excl_scope3";"Country impact (excl. scope 3)";"percent_alloc";"% emissions in Scope";"Scope_long";"Country S1";"Country S2L";"Country S2M";"T_ID";"Scope_short";"Scope";"Scope1";"Scope2";"target_type";"BY_tmp";"BaseYearEmissions_excl_scope3";"S1";"S2";"perc_scope1";"ratio_EM_excl_incl_scope3";"TargetYearEmissions_excl_scope3";"MRY_excl_scope3_interpolated";"MRY_excl_scope3"
"Asics Corporation";"Japan";"Austria";"Accessories, Leisure & home manufacturing";"Apparel, Manufacturing";"Accessories, Accessories manufacture";2015;5;2020;30381;30858;NA;2017;2018;25396;NA;3.64868680107103;0.00240195306347456;100;"Scope 1 +2 (market-based)";61;14;0;"1046-abs-S12M-2015-2020-1";"S12M";"Scope 1+2";"S1";"S2M";"absolute";72.9737360214206;72.9737360214206;61;0;1;1;69.3250492203496;71.5142613009922;60.9999999999999
"Asics Corporation";"Japan";"Austria";"Accessories, Leisure & home manufacturing";"Apparel, Manufacturing";"Accessories, Accessories manufacture";2015;33;2030;30381;30858;NA;2017;2018;25396;NA;24.0813328870688;0.00240195306347456;100;"Scope 1 +2 (market-based)";61;14;0;"1046-abs-S12M-2015-2030-1";"S12M";"Scope 1+2";"S1";"S2M";"absolute";72.9737360214206;72.9737360214206;61;0;1;1;48.8924031343518;69.7628916364781;60.9999999999999
"Astellas Pharma Inc.";"Japan";"Austria";"Biotech & pharma";"Biotech, health care & pharma";"Pharmaceuticals";2015;30;2030;222724;226297;NA;2015;2016;206929;NA;58.4621342748689;0.000874956362656155;100;"Scope 1 +2 (market-based)";198;0;0;"1051-abs-S12M-2015-2030-1";"S12M";"Scope 1+2";"S1";"S2M";"absolute";194.873780916229;194.87378091623;198;0;1;1;136.411646641361;194.87378091623;181.053845168075
"Atos SE";"France";"Austria";"Financial services, IT & software development, Specialized professional services";"Services";"Banks, IT services, Other professional services";2012;3.09;2021;384913;NA;NA;2017;2018;NA;NA;0.256617087896876;0.0000215756810658837;100;"Other, please specify: S 1+2 (L+M), + S3 Upstream Cats 3&6";762;20;0;"1149-abs-S12X3-2012-2021-1";"S12X3";"Scope 1+2+3";"S1";"max";"absolute";8.30476012611249;8.30476012611249;762;20;0.974424552429668;1;8.04814303821562;8.16219507728089;8.16219507728089
"Atos SE";"France";"Austria";"Financial services, IT & software development, Specialized professional services";"Services";"Banks, IT services, Other professional services";2012;40.62;2050;384913;NA;NA;2017;2018;NA;NA;3.37339356322689;0.0000215756810658837;100;"Other, please specify: S 1+2 (L+M), + S3 Upstream Cats 3&6";762;20;0;"1149-abs-S12X3-2012-2050-1";"S12X3";"Scope 1+2+3";"S1";"max";"absolute";8.30476012611249;8.30476012611248;762;20;0.974424552429668;1;4.93136656288559;7.86089255200368;7.86089255200368
"Ball Corporation";"United States of America";"Austria";"Electrical & electronic equipment, Metal products manufacturing";"Manufacturing";"Electrical equipment, Metal containers & packaging";2017;27;2030;1410117;1410117;NA;2017;2018;1410117;NA;2132.19;0.00560024451871724;100;"Scope 1 +2 (market-based)";5860;5687;2037;"1328-abs-S12M-2017-2030-1";"S12M";"Scope 1+2";"S1";"S2M";"absolute";7897;7897;5860;2037;0.7420539445359;1;5764.81;7897;7897
"Baxter International Inc.";"United States of America";"Austria";"Medical equipment & supplies";"Biotech, health care & pharma";"Health care supplies, Medical equipment";2015;10;2020;691000;691000;NA;2015;2016;573000;NA;3.76728837876614;0.000054519368723099;100;"Scope 1 +2 (market-based)";0;0;38;"1574-abs-S12M-2015-2020-1";"S12M";"Scope 1+2";"S1";"S2M";"absolute";37.6728837876614;37.6728837876614;0;38;0;1;33.9055954088953;37.6728837876614;31.2395982783357
"Biogen Inc.";"United States of America";"Austria";"Biotech & pharma";"Biotech, health care & pharma";"Biotechnology";2013;35;2030;379288;NA;98258;2017;2018;543914;61677;4.39318421662248;0.000291842988472202;100;"Scope 1+2 (market-based) +3 (upstream & downstream)";18;17;0;"1857-abs-S12M3-2013-2030-1";"S12M3";"Scope 1+2+3";"S1";"S2M";"absolute";110.692543411645;12.5519549046357;18;0;1;0.113394764613523;8.15877068801318;11.5182645007245;18
"BMW AG";"Germany";"Austria";"Financial services, Transportation equipment";"Manufacturing, Services";"Automobiles, Banks";2015;20;2020;1267485;1459481;NA;2015;2016;1135983;NA;2634.17989134494;0.0103913651496662;82;"Scope 1 +2 (market-based)";10663;74764;4503;"1932-abs-S12M-2015-2020-1";"S12M";"Scope 1+2";"S1";"S2M";"absolute";13170.8994567247;13170.8994567247;10663;4503;0.703085849927469;1;10536.7195653798;13170.8994567247;11804.4141568133
"BMW AG";"Germany";"Austria";"Financial services, Transportation equipment";"Manufacturing, Services";"Automobiles, Banks";2015;100;2050;1440000;1459481;NA;2015;2016;1135983;NA;14963.5658155194;0.0103913651496662;94;"Scope 1 +2 (market-based)";10663;74764;4503;"1932-abs-S12M-2015-2050-1";"S12M";"Scope 1+2";"S1";"S2M";"absolute";14963.5658155193;14963.5658155194;10663;4503;0.703085849927469;1;0;14963.5658155194;11804.4141568133
