"company_name";"Country/Region";"sectors";"industries";"activities";"target_type";"Scope";"perc_scope1";"Base year_Target_1";"Target year_Target_1";"BaseYearEmissions_excl_scope3_Target_1";"MRY_excl_scope3_Target_1";"% reduction from base year_Target_1";"Base year_Target_2";"Target year_Target_2";"BaseYearEmissions_excl_scope3_Target_2";"MRY_excl_scope3_Target_2";"% reduction from base year_Target_2";"Base year_Target_3";"Target year_Target_3";"BaseYearEmissions_excl_scope3_Target_3";"MRY_excl_scope3_Target_3";"% reduction from base year_Target_3";"Base year_Target_4";"Target year_Target_4";"BaseYearEmissions_excl_scope3_Target_4";"MRY_excl_scope3_Target_4";"% reduction from base year_Target_4"
"Abertis Infraestructuras";"Brazil";"Construction, Land & property ownership & development, Specialized professional services";"Infrastructure, Services";"Engineering services, Infrastructure upkeep & management, Transportation infrastructure & other construction, Utility line construction";"absolute";"Scope 2";0;2015;2020;5538.40655947582;5377.79;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Abertis Infraestructuras";"France";"Construction, Land & property ownership & development, Specialized professional services";"Infrastructure, Services";"Engineering services, Infrastructure upkeep & management, Transportation infrastructure & other construction, Utility line construction";"absolute";"Scope 2";0;2015;2020;4383.28753005309;4256.17;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Abertis Infraestructuras";"India";"Construction, Land & property ownership & development, Specialized professional services";"Infrastructure, Services";"Engineering services, Infrastructure upkeep & management, Transportation infrastructure & other construction, Utility line construction";"absolute";"Scope 2";0;2015;2020;2405.44923042776;2335.69;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Abertis Infraestructuras";"Italy";"Construction, Land & property ownership & development, Specialized professional services";"Infrastructure, Services";"Engineering services, Infrastructure upkeep & management, Transportation infrastructure & other construction, Utility line construction";"absolute";"Scope 2";0;2015;2020;384.7272835911;373.57;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Abertis Infraestructuras";"Puerto Rico";"Construction, Land & property ownership & development, Specialized professional services";"Infrastructure, Services";"Engineering services, Infrastructure upkeep & management, Transportation infrastructure & other construction, Utility line construction";"absolute";"Scope 2";0;2015;2020;1644.54255642168;1596.85;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Abertis Infraestructuras";"Spain";"Construction, Land & property ownership & development, Specialized professional services";"Infrastructure, Services";"Engineering services, Infrastructure upkeep & management, Transportation infrastructure & other construction, Utility line construction";"absolute";"Scope 2";0;2015;2020;19128.2487788767;18573.52;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ACEA SpA";"Italy";"Energy utility networks, Non-energy utilities, Renewable power generation, Thermal power generation";"Infrastructure, Power generation";"Biomass generation, CCGT generation, Electricity networks, Water supply networks";"absolute";"Scope 2";0;2011;2022;480000;398287;21;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Adecco Group AG";"Belgium";"Commercial & consumer services";"Services";"Commercial services";"absolute";"Scope 2";0;2012;2022;600316.489682383;378779.851858902;12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Adecco Group AG";"France";"Commercial & consumer services";"Services";"Commercial services";"absolute";"Scope 2";0;2012;2022;1421603.31010567;896984.674681922;12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Adecco Group AG";"Germany";"Commercial & consumer services";"Services";"Commercial services";"absolute";"Scope 2";0;2012;2022;1220967.79188768;770390.297925007;12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
