"Scope_Target_1";"Scope_Target_2";"TwoTargets";"Country";"Actor name";"Action description";"Included in aggregation";"Sufficient data";"Actor type";"Target type";"Action or initiative";"Sector targeted";"Subsector";"Subsector 2";"Smaller actor types included";"Geographic coverage";"Action status";"Base Year";"BY Scope 1 emissions (tCO2e)";"BY Scope 2 emissions (tCO2e)";"MRY Year";"MRY Scope 1 emissions (tCO2e)";"MRY Scope 2 emissions (tCO2e)";"Target Year 1";"Target Year 1 Scope 1 emissions reduction (perc)";"Target Year 1 Scope 2 emissions reduction (perc)";"Target Year 2";"Target Year 2 Scope 1 emissions reduction (perc)";"Target Year 2 Scope 2 emissions reduction (perc)"
"Scope 1+2";NA;FALSE;"France";"3i Group";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2017;5.7968306010929;24.0868306010929;2018;4.64950819672131;19.3195081967213;2019;0.25;0.25;"";"";""
"Scope 1+2";NA;FALSE;"Germany";"3i Group";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2017;0;10.6941530054645;2018;0;8.57754098360655;2019;0.25;0.25;"";"";""
"Scope 1+2";NA;FALSE;"India";"3i Group";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2017;1.89896174863388;52.4713114754097;2018;1.52311475409836;42.0860655737706;2019;0.25;0.25;"";"";""
"Scope 1+2";NA;FALSE;"Luxembourg";"3i Group";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2017;0;3.6979781420765;2018;0;2.96606557377049;2019;0.25;0.25;"";"";""
"Scope 1+2";NA;FALSE;"Netherlands";"3i Group";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2017;13.6925136612022;15.8913114754099;2018;10.9824590163934;12.7460655737705;2019;0.25;0.25;"";"";""
"Scope 1+2";NA;FALSE;"Spain";"3i Group";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2017;5.29710382513661;18.4898907103825;2018;4.24868852459016;14.8303278688525;2019;0.25;0.25;"";"";""
"Scope 1+2";NA;FALSE;"Sweden";"3i Group";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2017;14.5920218579235;7.29601092896175;2018;11.7039344262295;5.85196721311475;2019;0.25;0.25;"";"";""
"Scope 1+2";NA;FALSE;"United Kingdom";"3i Group";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2017;29.9936850805896;118.725003444;2018;24.0572640859622;95.2266703402672;2019;0.25;0.25;"";"";""
"Scope 1+2";NA;FALSE;"United States of America";"3i Group";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2017;0;44.5756284153004;2018;0;35.7531147540984;2019;0.25;0.25;"";"";""
"Scope 1+2";NA;FALSE;"Belgium";"3M Company";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2002;2330419.16167665;62826.3473053894;2017;743696.606786425;20049.5009980039;2025;0.5;0.5;"";"";""
"Scope 1+2";NA;FALSE;"China";"3M Company";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2002;118712.574850299;250209.580838323;2017;37884.2315369262;79848.3033932137;2025;0.5;0.5;"";"";""
"Scope 1+2";NA;FALSE;"Germany";"3M Company";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2002;467544.91017964;300982.035928144;2017;149205.588822355;96051.0978043911;2025;0.5;0.5;"";"";""
"Scope 1+2";NA;FALSE;"Japan";"3M Company";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2002;213682.634730538;117616.766467066;2017;68191.6167664672;37534.5309381238;2025;0.5;0.5;"";"";""
"Scope 1+2";NA;FALSE;"United Kingdom";"3M Company";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2002;153413.173652695;133688.622754491;2017;48958.0838323353;42663.4730538922;2025;0.5;0.5;"";"";""
"Scope 1+2";NA;FALSE;"United States of America";"3M Company";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2002;7962874.25149701;4565868.26347305;2017;2541157.68463074;1457085.82834331;2025;0.5;0.5;"";"";""
"Scope 1+2";NA;FALSE;"United Kingdom of Great Britain and Northern Ireland";"A.G. Barr Plc";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2016;3619.66941015089;10747.3305898491;2018;3348.19420438957;9941.28079561042;2020;0.15;0.15;"";"";""
"Scope 1";"Scope 1";TRUE;"France";"A2A";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2012;384363.947443931;0;2017;327107.693908957;0;2022;0.340000000000002;0.340000000000002;"2030";"0.62";"0.62"
"Scope 1";"Scope 1";TRUE;"Italy";"A2A";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2012;9082926.05255606;0;2017;7729900.30609104;0;2022;0.340000000000001;0.340000000000001;"2030";"0.62";"0.62"
"Scope 1+2";"Scope 1+2";TRUE;"Austria";"AbbVie Inc";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2015;544.358986398579;188.893148812451;2017;481.802452226571;167.185964741291;2025;0.249999999999998;0.249999999999998;"2035";"0.5";"0.5"
"Scope 1+2";"Scope 1+2";TRUE;"Belgium";"AbbVie Inc";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2015;778.823908554772;255.444152757661;2017;689.323182624231;226.089074086607;2025;0.25;0.25;"2035";"0.5";"0.5"
"Scope 1+2";"Scope 1+2";TRUE;"Brazil";"AbbVie Inc";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2015;1243.16955076054;70.3444812343106;2017;1100.3072477089;62.2606485905991;2025;0.249999999999999;0.249999999999999;"2035";"0.5";"0.5"
"Scope 1+2";"Scope 1+2";TRUE;"Bulgaria";"AbbVie Inc";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2015;175.140542492596;86.1489684097481;2017;155.013777609321;76.2489189555048;2025;0.249999999999999;0.249999999999999;"2035";"0.5";"0.5"
"Scope 1+2";"Scope 1+2";TRUE;"Canada";"AbbVie Inc";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2015;1487.29332670033;264.042034001296;2017;1316.37685771527;233.698905779739;2025;0.25;0.25;"2035";"0.5";"0.5"
"Scope 1+2";"Scope 1+2";TRUE;"China";"AbbVie Inc";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2015;90.0025007482812;1677.3575489767;2017;79.659611856384;1484.59931874072;2025;0.249999999999999;0.249999999999999;"2035";"0.5";"0.5"
"Scope 1+2";"Scope 1+2";TRUE;"Croatia";"AbbVie Inc";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2015;180.30527674372;37.023937974632;2017;159.584991990759;32.7692286762417;2025;0.249999999999997;0.249999999999997;"2035";"0.5";"0.5"
"Scope 1+2";"Scope 1+2";TRUE;"Denmark";"AbbVie Inc";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2015;252.601547084561;314.177991101845;2017;223.573134388297;278.073349261571;2025;0.249999999999997;0.249999999999997;"2035";"0.5";"0.5"
"Scope 1+2";"Scope 1+2";TRUE;"Estonia";"AbbVie Inc";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2015;78.6420872307879;45.5317366441204;2017;69.6047120057397;40.2993298859756;2025;0.25;0.25;"2035";"0.5";"0.5"
"Scope 1+2";"Scope 1+2";TRUE;"Finland";"AbbVie Inc";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2015;328.591202965449;117.848025334771;2017;290.830226605119;104.305190168713;2025;0.25;0.25;"2035";"0.5";"0.5"
"Scope 1+2";"Scope 1+2";TRUE;"France";"AbbVie Inc";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2015;1946.70444567779;68.1124352304329;2017;1722.99346409829;60.285104390869;2025;0.249999999999998;0.249999999999998;"2035";"0.5";"0.5"
"Scope 1+2";"Scope 1+2";TRUE;"Germany";"AbbVie Inc";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2015;29124.9573779324;827.408443545004;2017;25777.9815090764;732.324490003114;2025;0.25;0.25;"2035";"0.5";"0.5"
"Scope 1+2";"Scope 1+2";TRUE;"Greece";"AbbVie Inc";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2015;56.0313611197596;258.536987803392;2017;49.592360673047;228.826487349911;2025;0.25;0.25;"2035";"0.5";"0.5"
"Scope 1+2";"Scope 1+2";TRUE;"Hungary";"AbbVie Inc";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2015;281.628154309875;58.183333724395;2017;249.264067927389;51.4970333319797;2025;0.250000000000002;0.250000000000002;"2035";"0.5";"0.5"
"Scope 1+2";"Scope 1+2";TRUE;"India";"AbbVie Inc";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2015;30.4278917120523;49.2751680586953;2017;26.931185503048;43.6125744182583;2025;0.25;0.25;"2035";"0.5";"0.5"
