"Scope_Target_1";"Scope_Target_2";"TwoTargets";"Country";"Actor name";"Action description";"Included in aggregation";"Sufficient data";"Actor type";"Target type";"Action or initiative";"Sector targeted";"Subsector";"Subsector 2";"Smaller actor types included";"Geographic coverage";"Action status";"Base Year";"BY Scope 1 emissions (tCO2e)";"BY Scope 2 emissions (tCO2e)";"MRY Year";"MRY Scope 1 emissions (tCO2e)";"MRY Scope 2 emissions (tCO2e)";"Target Year 1";"Target Year 1 Scope 1 emissions reduction (perc)";"Target Year 1 Scope 2 emissions reduction (perc)";"Target Year 2";"Target Year 2 Scope 1 emissions reduction (perc)";"Target Year 2 Scope 2 emissions reduction (perc)"
"Scope 2";NA;FALSE;"China";"37 Interactive Entertainment";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2019;0;2701.36;2019;0;1718.5206174;2025;1;1;"";"";""
"Scope 1+2";NA;FALSE;"Belgium";"3M Company";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2002;2330419.16167665;62826.3473053894;2019;742423.153692612;20015.1696606786;2025;0.5;0.5;"";"";""
"Scope 1+2";NA;FALSE;"China";"3M Company";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2002;118712.574850299;250209.580838323;2019;37819.3612774452;79711.5768463076;2025;0.5;0.5;"";"";""
"Scope 1+2";NA;FALSE;"Germany";"3M Company";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2002;467544.91017964;300982.035928144;2019;148950.099800399;95886.6267465069;2025;0.5;0.5;"";"";""
"Scope 1+2";NA;FALSE;"Japan";"3M Company";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2002;213682.634730538;117616.766467066;2019;68074.8502994014;37470.259481038;2025;0.5;0.5;"";"";""
"Scope 1+2";NA;FALSE;"Other: Rest of world";"3M Company";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2002;737844.311377245;785329.341317365;2019;235061.876247505;250189.620758483;2025;0.5;0.5;"";"";""
"Scope 1+2";NA;FALSE;"Taiwan";"3M Company";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2002;36526.9461077844;80359.2814371258;2019;11636.7265469062;25600.7984031936;2025;0.5;0.5;"";"";""
"Scope 1+2";NA;FALSE;"United Kingdom";"3M Company";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2002;153413.173652695;133688.622754491;2019;48874.2514970059;42590.4191616766;2025;0.5;0.5;"";"";""
"Scope 1+2";NA;FALSE;"United States of America";"3M Company";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2002;7962874.25149701;4565868.26347305;2019;2536806.38722555;1454590.81836327;2025;0.5;0.5;"";"";""
"Scope 1+2";NA;FALSE;"United Kingdom of Great Britain and Northern Ireland";"A.G. Barr Plc";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2015;8563.39346933887;8958.12095320084;2020;7021.6689612015;7345.3310387985;2025;0.4;0.4;"";"";""
"Scope 1";NA;FALSE;"Angola";"A.P. Moller - Maersk";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2008;6885.19153784112;0;2019;8468.00000000001;0;2050;1;1;"";"";""
"Scope 1";NA;FALSE;"Argentina";"A.P. Moller - Maersk";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2008;6120.07991324163;0;2019;7527;0;2050;1;1;"";"";""
"Scope 1";NA;FALSE;"Australia";"A.P. Moller - Maersk";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2008;46652.2950952657;0;2019;57376.9999999999;0;2050;1;1;"";"";""
"Scope 1";NA;FALSE;"Bahamas";"A.P. Moller - Maersk";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2008;2694.55889896144;0;2019;3314;0;2050;1;1;"";"";""
"Scope 1";NA;FALSE;"Bahrain";"A.P. Moller - Maersk";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2008;12253.9822469064;0;2019;15071;0;2050;1;1;"";"";""
"Scope 1";NA;FALSE;"Bangladesh";"A.P. Moller - Maersk";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2008;36.5887599436526;0;2019;44.9999999999999;0;2050;1;1;"";"";""
"Scope 1";NA;FALSE;"Benin";"A.P. Moller - Maersk";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2008;2813.26909788974;0;2019;3460;0;2050;1;1;"";"";""
"Scope 1";NA;FALSE;"Brazil";"A.P. Moller - Maersk";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2008;631754.538523975;0;2019;776986;0;2050;1;1;"";"";""
"Scope 1";NA;FALSE;"British Virgin Islands";"A.P. Moller - Maersk";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2008;10444.0582550271;0;2019;12845;0;2050;1;1;"";"";""
"Scope 1";NA;FALSE;"Cambodia";"A.P. Moller - Maersk";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2008;1895286.38191145;0;2019;2330986;0;2050;1;1;"";"";""
"Scope 1";NA;FALSE;"Cameroon";"A.P. Moller - Maersk";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2008;20.3270888575848;0;2019;25;0;2050;1;1;"";"";""
"Scope 1";NA;FALSE;"Canada";"A.P. Moller - Maersk";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2008;4043.46451555077;0;2019;4973.00000000001;0;2050;1;1;"";"";""
"Scope 1";NA;FALSE;"Chile";"A.P. Moller - Maersk";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2008;12.1962533145509;0;2019;15;0;2050;1;1;"";"";""
"Scope 1";NA;FALSE;"China";"A.P. Moller - Maersk";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2008;49056.5831653408;0;2019;60334;0;2050;1;1;"";"";""
"Scope 1";NA;FALSE;"Colombia";"A.P. Moller - Maersk";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2008;2865.30644536515;0;2019;3524;0;2050;1;1;"";"";""
"Scope 1";NA;FALSE;"Congo";"A.P. Moller - Maersk";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2008;28.4579244006187;0;2019;35;0;2050;1;1;"";"";""
"Scope 1";NA;FALSE;"Costa Rica";"A.P. Moller - Maersk";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2008;5472.86540401613;0;2019;6731;0;2050;1;1;"";"";""
"Scope 1";NA;FALSE;"Côte d'Ivoire";"A.P. Moller - Maersk";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2008;1507.45690967849;0;2019;1854;0;2050;1;1;"";"";""
"Scope 1";NA;FALSE;"Czechia";"A.P. Moller - Maersk";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2008;513.05572276544;0;2019;630.999999999998;0;2050;1;1;"";"";""
"Scope 1";NA;FALSE;"Denmark";"A.P. Moller - Maersk";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2008;26423513.7309811;0;2019;32497907;0;2050;1;1;"";"";""
"Scope 1";NA;FALSE;"Djibouti";"A.P. Moller - Maersk";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2008;0.813083554303392;0;2019;1;0;2050;1;1;"";"";""
"Scope 1";NA;FALSE;"Egypt";"A.P. Moller - Maersk";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2008;21516.6300975307;0;2019;26463;0;2050;1;1;"";"";""
"Scope 1";NA;FALSE;"France";"A.P. Moller - Maersk";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2008;258.560570268479;0;2019;318;0;2050;1;1;"";"";""
"Scope 1";NA;FALSE;"Gambia";"A.P. Moller - Maersk";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2008;4.87850132582035;0;2019;5.99999999999999;0;2050;1;1;"";"";""
"Scope 1";NA;FALSE;"Georgia";"A.P. Moller - Maersk";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2008;15311.1764110872;0;2019;18831;0;2050;1;1;"";"";""
"Scope 1";NA;FALSE;"Germany";"A.P. Moller - Maersk";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2008;9198.41424983427;0;2019;11313;0;2050;1;1;"";"";""
"Scope 1";NA;FALSE;"Ghana";"A.P. Moller - Maersk";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2008;0.813083554303392;0;2019;1;0;2050;1;1;"";"";""
"Scope 1";NA;FALSE;"Guinea";"A.P. Moller - Maersk";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2008;2.43925066291018;0;2019;3;0;2050;1;1;"";"";""
"Scope 1";NA;FALSE;"India";"A.P. Moller - Maersk";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2008;12092.9917031543;0;2019;14873;0;2050;1;1;"";"";""
"Scope 1";NA;FALSE;"Ireland";"A.P. Moller - Maersk";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2008;4.87850132582035;0;2019;5.99999999999999;0;2050;1;1;"";"";""
"Scope 1";NA;FALSE;"Italy";"A.P. Moller - Maersk";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2008;126.841034471329;0;2019;156;0;2050;1;1;"";"";""
"Scope 1";NA;FALSE;"Jordan";"A.P. Moller - Maersk";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2008;5756.63156446802;0;2019;7080;0;2050;1;1;"";"";""
"Scope 1";NA;FALSE;"Lebanon";"A.P. Moller - Maersk";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2008;0.813083554303392;0;2019;1;0;2050;1;1;"";"";""
"Scope 1";NA;FALSE;"Liberia";"A.P. Moller - Maersk";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2008;12544.2530757927;0;2019;15428;0;2050;1;1;"";"";""
"Scope 1";NA;FALSE;"Madagascar";"A.P. Moller - Maersk";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2008;4.06541777151696;0;2019;5;0;2050;1;1;"";"";""
"Scope 1";NA;FALSE;"Malaysia";"A.P. Moller - Maersk";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2008;75.6167705502154;0;2019;93.0000000000001;0;2050;1;1;"";"";""
"Scope 1";NA;FALSE;"Mauritania";"A.P. Moller - Maersk";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2008;1957.09211520826;0;2019;2407;0;2050;1;1;"";"";""
"Scope 1";NA;FALSE;"Mexico";"A.P. Moller - Maersk";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2008;5024.85636559496;0;2019;6180;0;2050;1;1;"";"";""
"Scope 1";NA;FALSE;"Morocco";"A.P. Moller - Maersk";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2008;9448.84398455972;0;2019;11621;0;2050;1;1;"";"";""
"Scope 1";NA;FALSE;"Myanmar";"A.P. Moller - Maersk";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2008;66.6728514528781;0;2019;81.9999999999999;0;2050;1;1;"";"";""
"Scope 1";NA;FALSE;"Netherlands";"A.P. Moller - Maersk";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2008;8008.87300988841;0;2019;9850;0;2050;1;1;"";"";""
"Scope 1";NA;FALSE;"Nigeria";"A.P. Moller - Maersk";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2008;27861.12107176;0;2019;34266;0;2050;1;1;"";"";""
"Scope 1";NA;FALSE;"Pakistan";"A.P. Moller - Maersk";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2008;8.13083554303392;0;2019;10;0;2050;1;1;"";"";""
"Scope 1";NA;FALSE;"Papua New Guinea";"A.P. Moller - Maersk";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2008;10220.4602775936;0;2019;12570;0;2050;1;1;"";"";""
"Scope 1";NA;FALSE;"Peru";"A.P. Moller - Maersk";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2008;6903.0793760358;0;2019;8490.00000000001;0;2050;1;1;"";"";""
"Scope 1";NA;FALSE;"Philippines";"A.P. Moller - Maersk";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2008;32348.5292079604;0;2019;39785.0000000001;0;2050;1;1;"";"";""
"Scope 1";NA;FALSE;"Poland";"A.P. Moller - Maersk";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2008;378.896936305381;0;2019;466.000000000001;0;2050;1;1;"";"";""
"Scope 1";NA;FALSE;"Portugal";"A.P. Moller - Maersk";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2008;3614.15639887858;0;2019;4445.00000000002;0;2050;1;1;"";"";""
"Scope 1";NA;FALSE;"Republic of Korea";"A.P. Moller - Maersk";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2008;15.4485875317644;0;2019;19;0;2050;1;1;"";"";""
"Scope 1";NA;FALSE;"Sierra Leone";"A.P. Moller - Maersk";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2008;13.8224204231577;0;2019;17;0;2050;1;1;"";"";""
"Scope 1";NA;FALSE;"Singapore";"A.P. Moller - Maersk";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2008;3.25233421721357;0;2019;4.00000000000001;0;2050;1;1;"";"";""
"Scope 1";NA;FALSE;"South Africa";"A.P. Moller - Maersk";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2008;361.822181665009;0;2019;445.000000000001;0;2050;1;1;"";"";""
"Scope 1";NA;FALSE;"Spain";"A.P. Moller - Maersk";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2008;27782.2519669926;0;2019;34169;0;2050;1;1;"";"";""
"Scope 1";NA;FALSE;"Sudan";"A.P. Moller - Maersk";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2008;12.1962533145509;0;2019;15;0;2050;1;1;"";"";""
"Scope 1";NA;FALSE;"Sweden";"A.P. Moller - Maersk";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2008;8815.45189575737;0;2019;10842;0;2050;1;1;"";"";""
"Scope 1";NA;FALSE;"Togo";"A.P. Moller - Maersk";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2008;85.3737732018562;0;2019;105;0;2050;1;1;"";"";""
"Scope 1";NA;FALSE;"Turkey";"A.P. Moller - Maersk";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2008;12.1962533145509;0;2019;15;0;2050;1;1;"";"";""
