"company_name";"Country/Region";"percent_alloc"
"Aeon Mall Co., Ltd.";"Japan";NA
"AFLAC Incorporated";"United States of America";NA
"Affiliated Managers Group";NA;NA
"Alpha Bank";"Greece";NA
"Aoyama Trading Co., Ltd.";"Japan";NA
"de Volksbank N.V.";"Netherlands";NA
"Banco do Brasil S/A";"Brazil";NA
"Banque Cantonale Vaudoise";"Switzerland";NA
"The Bank of Yokohama, Ltd.";"Japan";NA
"Bendigo and Adelaide Bank";"Australia";NA
"BRQ IT Service";"Brazil";NA
"Charles Schwab Corporation";"United States of America";NA
"China Development Financial Holdings";"Taiwan, Greater China";NA
"China Petroleum & Chemical Corporation";"China";NA
"Companhia Energetica Minas Gerais - CEMIG";"Brazil";NA
"MIRAE ASSET DAEWOO CO., LTD";"Republic of Korea";NA
"American Sugar Refining, Inc.";NA;NA
"ERG S.p.A";"Italy";NA
"Fifth Third Bancorp";"United States of America";NA
"FINGERPRINT PROC DE DADOS GRAF EDIT";"Brazil";NA
"The Hachijuni Bank, Ltd.";"Japan";NA
"Hannover Rück SE";"Germany";NA
"Kobayashi Pharmaceutical Co., Ltd.";"Japan";NA
"Kissei Pharmaceutical Co., Ltd.";"Japan";NA
"Korea Electric Power Corp";"Republic of Korea";NA
"Medibank Private";"Australia";NA
"Morrison Utility Services";"United Kingdom";NA
"MphasiS";"India";NA
"MTR Corporation Limited";"China, Hong Kong Special Administrative Region";NA
"Netcare Limited";"South Africa";NA
"Nissan Chemical Corporation";"Japan";NA
"Eversource Energy";"United States of America";NA
"Philips & Lite-On Digital Solutions Corp.";"Taiwan";NA
"Ping An Insurance Group Company of China Ltd";"China";NA
"Pinnacle West Capital Corporation";"United States of America";NA
"Platinum Asset Management";"Australia";NA
"Principal Financial Group, Inc.";"United States of America";NA
"PTT";"Thailand";NA
"Prudential Financial, Inc.";"United States of America";NA
"Regions Financial Corporation";"United States of America";NA
"Resona Holdings, Inc.";"Japan";NA
"Santen Pharmaceutical Co., Ltd.";"Japan";NA
"SimCorp A/S";"Denmark";NA
"Sixt SE";"Germany";NA
"SKY Perfect JSAT Holdings Inc.";"Japan";NA
"STRATEC SE";NA;NA
"The Tokyo Electric Power Company Holdings, Inc (TEPCO)";"Japan";NA
"Terna";"Italy";NA
"Topdanmark";"Denmark";NA
"Tyson Foods, Inc.";"United States of America";NA
"Unum Group";"United States of America";NA
"West Japan Railway Company";"Japan";NA
"NH Investment & Securities Co., Ltd.";"Republic of Korea";NA
"YAPI VE KREDI BANKASI A.S.";"Turkey";NA
"Seoul Semiconductor";"Republic of Korea";NA
"Sul América S/A";"Brazil";NA
"Mercialys";"France";NA
"Devoteam Sa";"France";NA
"KYORIN Holdings, Inc.";"Japan";NA
"Credito Emiliano";"Italy";NA
"BPER Banca";NA;NA
"MEGMILK SNOW BRAND Co.,Ltd.";"Japan";NA
"Coca-Cola Bottlers Japan Holdings Inc.";"Japan";NA
"Alk-Abello A/S";NA;NA
"Nexen Tire";"Republic of Korea";NA
"Organizacion Soriana";"Mexico";NA
"D-Link Corp";"Taiwan, Greater China";NA
"Kinsus Interconnect Tech";NA;NA
"Orion Oyj";"Finland";NA
"Unipart";"United Kingdom of Great Britain and Northern Ireland";NA
"ENCIRC";"United Kingdom of Great Britain and Northern Ireland";NA
"Accurate Box";"United States of America";NA
"Fiege";"Other: Germany";NA
"COOPERATIVA DE TRANSPORTE DE CARGAS";"Brazil";NA
"Genfoot America Inc";"Canada";NA
"Islam Garments Ltd";"Bangladesh";NA
"Calson Investment Limit";"China";NA
"DW Morgan, LLC";"United States of America";NA
"Crown Prince";"United States of America";NA
"COFCO Malt (Dalian) Co., Ltd";"China";NA
"Life Healthcare Group Holdings Ltd";"South Africa";NA
"Aedifica SA";"Belgium";NA
"Jupiter Fund Management";NA;NA
"Mando Corp.";"Republic of Korea";NA
"Korea District Heating Corp.";"Republic of Korea";NA
"Talanx AG";NA;NA
"Shaoguan Hongda Gear Co., Ltd";"China";NA
"Data Mail Inc.";"United States of America";NA
"Hamilton Safe Company";"United States of America";NA
"Cumberland Packing Corp";"United States of America";NA
"DG3 NORTH AMERICA INC";"United States of America";NA
"Lam Soon";"Thailand";NA
"Panamericana Formas e Impresos S.A.";"Colombia";NA
"RA.M oil";"Italy";NA
"C-Pack";"Brazil";NA
"Sunrex";"China";NA
"Sonavox";"China";NA
"Enel Distribuição São Paulo";"Brazil";NA
"Bernhardt Design a Division of Bernhardt Furniture Company";"United States of America";NA
"APOLLO TYRES LTD";NA;NA
"Calbee, Inc.";"Japan";NA
"SCSK Corporation";"Japan";NA
"Korea East-West Power";"Republic of Korea";NA
"Trans-Expedite Inc.";"United States of America";NA
"Hoffmann Neopac AG";NA;NA
"Sethness";"United States of America";NA
"GRONINGER";"Germany";NA
"SAIFU CHEMICAL DEVELOPMENT CO";"China";NA
"SHENGDA";"China";NA
"American Cleaning Supply, Inc.";"Mexico";NA
"Bradshaw International, Inc.";"United States of America";NA
"Clifford W Estes Co Inc";"United States of America";NA
"Tree Top, Inc.";"United States of America";NA
"Meihua Holdings Group Co., Ltd";"China";NA
"TRANSFORMACIONES AGRICOLAS DE BADAJOZ S A";"Spain";NA
"ROLLS WOOD GROUP";"United Kingdom of Great Britain and Northern Ireland";NA
"Beijing Wingain Electronic Equipment Co Ltd";"China";NA
"Airsys";"China";NA
"Ningbo Weilinma Electronic";"China";NA
"Panjit International Inc";"Taiwan, Greater China";NA
"Byelorussian Steel Works";"Belarus";NA
"Ningbo Violet Lighting Electric Co.,Ltd";"China";NA
"Blue Ocean Innovation Limited";"China";NA
"Direct Line Insurance Group";"United Kingdom of Great Britain and Northern Ireland";NA
"WESTERN CARRIERS";"United States of America";NA
"BOYD";"China";NA
"Brady Corporation";"China";NA
"GOODWELL";"China";NA
"M J QUINN INTEGRATED SERVICES LTD";"United Kingdom of Great Britain and Northern Ireland";NA
"FUJIAN FUNO MOBILE";"China";NA
"MTI MICROELECTRONICS";"Taiwan, Greater China";NA
"OE SOLUTIONS";"Republic of Korea";NA
"Atlasbx Co Ltd";"Republic of Korea";NA
"HANDS CORPORATION LTD";"Republic of Korea";NA
"3NOD";"China";NA
"Yangzhou Fuping Living Supplies Factory";"China";NA
"EVERIS SPAIN S L";"Spain";NA
"North Denmark";"Denmark";NA
"Tokyo Ohka Kogyo Co Ltd";"United States of America";NA
"Voya Financial";"United States of America";NA
"Grupo Aeroportuario del Sureste SAB de CV";"Mexico";NA
"CE (CETARSA)";"Spain";NA
"Girteka";NA;NA
"DYNAMIC ELECTRONICS";"China";NA
"JESS LINK PRODUCTS";"China";NA
"ZEOBUILDER Co., Ltd";NA;NA
"SIP ADVANCE PRINTING CO.";"China";NA
"CUORI ELECTRICAL APPLIA";"China";NA
"FUJIKIKO CO. LTD.";"Japan";NA
"MITSUIKE CORPORATION";"Japan";NA
"MURAKAMI CORPORATION";"Japan";NA
"NAVARRA DE ESTAMPACION E INYECCION S.A.";"United Kingdom of Great Britain and Northern Ireland";NA
"PEASA AUTOPARTES S.A. DE C.V.";"Mexico";NA
"PRESS KOGYO CO. LTD.";"Japan";NA
"TECHNO STATE CO. LTD.";"Japan";NA
"YAMADA MANUFACTURING CO. LTD.";NA;NA
"Data Techniques";"United Kingdom of Great Britain and Northern Ireland";NA
"XIAN OZ TELECOM";"China";NA
"Electro Componentes de Mexico, S.A. de C.V.";NA;NA
"GUANGDONG HONGTU TECHNOLOGY HOLDING";"China";NA
"SERVICIOS LOGISTICOS VENEZUELA CA";"Venezuela (Bolivarian Republic of)";NA
"Korea South-East Power";"Republic of Korea";NA
"HOROS INDUSTRIA DE TINTAS LTDA";"Brazil";NA
"WAGON AUTOMOTIVE NAG";"Germany";NA
"INDO COUNT INDUSTRIES L";"India";NA
"DONG YANG PISTON Co., Ltd.";"Republic of Korea";NA
"SEIDO CHEMICAL INDUSTRY CO., LTD.";"Japan";NA
"NINGBO DEVELOPMENT ZONE BOTAI";"China";NA
"BEIJING INDSERVE";"China";NA
"RADIO DESIGN";"United Kingdom of Great Britain and Northern Ireland";NA
"PANALON";"Spain";NA
"BEBIDAS PURIFICADAS S RL CV";NA;NA
"GRUPO AGUAVIENTO SA DE CV";"Mexico";NA
"PASTAS ALIMENT LAZIALI SA CV";"Mexico";NA
"Extra Light Electrical";"China";NA
"GLOBAL HARVEST";"Singapore";NA
"HOI LUNG";"China";NA
"Spread Profit";"China";NA
"Elega Garden Solution (Ningbo) Co.";"China";NA
"Yue Wah";"China";NA
"DESIGN LABORATORY INC";"United States of America";NA
"Artec Co., Ltd";NA;NA
"VAPZA ALIMENTOS S/A";"Brazil";NA
"Ningbo SANHUAN";"Other, please specify: There is no facility outside of China";NA
"NIHON KAJITSU KOGYO CO., LTD";"Japan";NA
"RENGO NONWOVEN PRODUCTS CO.LTD.";"Japan";NA
"Koei Chemical Industry, Co., Ltd.";"Japan";NA
"Blue Cross Blue Shield Massachusetts";"United States of America";NA
"Fuyo General Lease Co Ltd";"Japan";NA
"Dustin Group AB";NA;NA
"CBB INDÚSTRIA E COMÉRCIO DE ASFALTO";"Brazil";NA
"Convergint Technologies";"Europe, Middle East and Africa (EMEA)";NA
"CENTRAL NAC UNIMED COOP CENTRA";"Brazil";NA
"SINORGCHEM CO.";"China";NA
"SAAROTEC";"Germany";NA
"SHANGHAI FUYUN INFORMATION TECHNOLOGY";"China";NA
"Namics";"Japan";NA
"Hortalizas Zamorano";"Ecuador";NA
"COSBOND";NA;NA
"SHANGHAI ZHENHENG INTERNATIONAL";"China";NA
"COMPLEMENTOS ALIMENTICIOS SA DE CV";"Mexico";NA
"JACOBS CHUCK MANUFACTURING (SUZHOU) CO., LTD.";"China";NA
"Global Power Synergy Public Company Limited";"Thailand";NA
"TÜRKIYE KALKINMA BANKASI A.S.";"Turkey";NA
"Groupe BPCE";"France";NA
"Moneta Money Bank AS";"Czechia";NA
"AH Hyea Aromatics";"China";NA
"CITROFRUT";"Mexico";NA
"Hemlines Textile";"India";NA
"COSMOS Group";"China";NA
"FACI";"Italy";NA
"FUJISAWA";"Japan";NA
"Top Polymer Enterprise Limited";"China";NA
"AER STAFFORD LIMITED";"United Kingdom of Great Britain and Northern Ireland";NA
"Supreme Group";"India";NA
"AimValley B.V.";"Netherlands";NA
"MARCHESI";"China";NA
"PROTOPAJA";"Finland";NA
"NISSEI CO.,LTD.";"Japan";NA
"DAEYONG INDUSTRY CO";"Republic of Korea";NA
"Aichi Rikuun Co., Ltd.";"Japan";NA
"Honda Printing";"China";NA
"EL OSO SA CV";"Mexico";NA
"DETERSOL SA CV";"Mexico";NA
"INDUSTRIAS TAMER SA DE CV";"Mexico";NA
"CHENG SHIN RUBBER INDUSTRY CO., LTD";"Taiwan, Greater China";NA
"Grauel";"Netherlands";NA
"SWATYCOMET, umetni brusi in nekovine, d.o.o.";"Slovenia";NA
"Terveystalo Oyj";"Finland";NA
"SPECIALTY PRINTING LLC";"United States of America";NA
"ZHONGSHAN SHANGYANG TECHNOLOGY";"China";NA
"MACROCARE";"Republic of Korea";NA
"MULIA AGUNG CHEMINDO, PT";"Indonesia";NA
"KUN SHAN RIHUI";"China";NA
"LNP";"Republic of Korea";NA
"FRITZ";"Germany";NA
"FOOD AGRO AND ALLIED INDUSTRIES LTD";"Nigeria";NA
"M & X UTILITY";"United States of America";NA
"PUBLIC UTILITIES MAINTENANCE";"United States of America";NA
"Asahi Forge Corporation";"Japan";NA
"Kusaka Gear";"Japan";NA
"Keihin metal";"Japan";NA
"SanwaKogyo";"Japan";NA
"TRIX";"Japan";NA
"Tokyo Printing Ink Mfg. Co., Ltd.";"Japan";NA
"Fuji Industrial";"Japan";NA
"Fujikoshi";"Japan";NA
"Honda Lock";NA;NA
"Masuda Manufacturing";"Japan";NA
"ENCZ a.s";"Czechia";NA
"JINHUA RONGSHENG TOOLS FACTORY";"China";NA
"MARS INTERNATIONAL INC.";"United States of America";NA
"NINGBO YAOSHENG ELECTRICAL CO., LTD.";"China";NA
"Pengda";"China";NA
"SHANGHAI YUEDA NAILS CO., LTD";"China";NA
"SHANGHAI XINPENG METAL PRODUCTS CO., LTD.";"China";NA
"Suzhong Lakel Metals";"China";NA
"SUZHOU UNICORN PRINTING PACKAGING CO.,LTD";"China";NA
"Daika Kogyo Co., Ltd.";"Japan";NA
"AMCOL(TIANJIN) INDUSTRIAL MINERALS CO., LTD";"China";NA
"Knowles";"China";NA
"SUZHOU NEW DISTRICT FENGQIAO SANYUAN PACKAGING";"China";NA
"SUZHOU RONGCHANG SOFTBAG CO., LTD.";"China";NA
"Sarena Industries & Embroidery Mills (Pvt.) Ltd";"Pakistan";NA
"Suzhou Radiant Automatic Equipment";"China";NA
"PML INC.";"United States of America";NA
"CAOE";"China";NA
"CIRPROTEC";"Spain";NA
"GULF SEMICONDUCTOR";"China";NA
"SHANGHAI SHUNFU DIECASTING";"China";NA
"CDGM";"China";NA
"KARIZIA SPA";"Italy";NA
"NEWSEGA TEXTILE NANTONG CO.,LTD";"China";NA
"CRYSTAL ART OF FLORIDA  INC";"China";NA
"GILBERT DE CLERCQ";"Belgium";NA
"SERTRANS CATALUNYA SA";"Spain";NA
"JIAHUA";"China";NA
"SHANDONG TOPSCIENCE BIOTECH";"China";NA
"Vidriera Guatemalteca, S.A.";"Guatemala";NA
"Lens Technology Co., Ltd.";"China";NA
"HUBEI GREENHOME MATERIALS TECHONLOG";"China";NA
"FUJIAN GREEN PINE CO. LTD";"China";NA
"ROSEN EUROPE B.V.";"Italy";NA
"SHANGHAI RONG QING";"China";NA
"CoAsia";"Viet Nam";NA
"MCI GROUP CANADA INC";"Canada";NA
"ASOCIADOS UNDURRAGA IMPRESORES LTDA";"Chile";NA
"HAMARI CHEMICALS, LTD.";"Japan";NA
"ALIMENTOS CENTRALIZADOS DE MEXICO S DE RL DE CV  (axionlog cuautitlan)";"Mexico";NA
"KUNSHAN CHENGTAI ELECTRIC CO.,LTD";"China";NA
"DURABOX";"Mexico";NA
"HAUCK HEAT AND SURFACE TREATMENT";"Netherlands";NA
"NANJING YUSHENG ELECTRONIC";"China";NA
"SHUNDA MACHINERY MANUFACTURING";"China";NA
"Superlink Technology Inc.";"China";NA
"PETER'S TECHNOLOGY";"China";NA
"COSDA MANUFACTURING COMPANY";"Other, please specify: ??";NA
"GREAT KNIVES MANUFACTURE CO., LTD.";"Taiwan, Greater China";NA
"JIANGMEN AND PARTNER' S MAGNETIC";"China";NA
"KING MOUNT INTERNATIONAL";"China";NA
"KERN LIEBERS";NA;NA
"LANCHAM INTERNATIONAL TRADE CO., LIMITED";"China";NA
"NEW FOCUS LIGHTING & POWER TECHNOLOGY(SHANGHAI)CO., LTD.";"China";NA
"RHODIUS SCHLEIFWERKZEUGE";"Germany";NA
"SKY ACHIEVER";"China";NA
"TEST RITE INTERNATIONAL CO., LTD";"China";NA
"YANGZHOU SHENGYE MACHINERY";"China";NA
"AMOTECH CO.,LTD.";"Republic of Korea";NA
"WISDOM WISE ENTERPRISES LTD.";"China";NA
"WING FAT";"China, Hong Kong Special Administrative Region";NA
"Jiashan Tailuo Manufacture Industry";"China";NA
"LIHUA COLOR PRINTED COMPANY LTD";"China";NA
"PAISHING INC";"China";NA
"NEWPORT IP LLC";"United States of America";NA
"SUNG WOO PRINTEC CO., LTD.";"China";NA
"CHEQUERS ELECTRONIC";NA;NA
"MITEC";"China";NA
"TWO WING";"China";NA
"Designco";"India";NA
"Luckytown";"China";NA
"Ankyo Development Ltd";"China";NA
"Universal Mobile Technical Services Inc.";"Taiwan, Greater China";NA
"Joanne Kveton";"China";NA
"ZhangJiaGang Sunrise Textile Co";"China";NA
"SHIN SUNG VINA CO.,LTD";"Viet Nam";NA
"VIETHUNG PACKAGING CO LTD";"Viet Nam";NA
"MiraeNanoTech.Co.,Ltd";"Republic of Korea";NA
"Strong Tower Consulting";"United States of America";NA
"Pearl";"India";NA
"PINNACLE INVESTMENT MANAGEMENT";NA;NA
"Elevate Textiles";NA;NA
"EL CORTE INGLES SA";NA;NA
"Three Stars";"China";NA
"TUBES INTERNATIONAL GMBH";NA;NA
"TAIJI SEMICONDUCTOR";"China";NA
"CHAOLI";"China";NA
"Yuhuan Baojie Machinery Co Ltd (GVG)";"China";NA
"Suzhou Mecq Technology Co,,LTD";"China";NA
"Kunshan Intelligence Precision Casting Co., Ltd.";"China";NA
"ALLSTATES AIR CARGO";"United States of America";NA
"SHANGHAI LIBA SCIENCE & TECHNOLOGY CO";"China";NA
"COPAMEX CORRUGADOS SA DE CV";"Mexico";NA
"TRANSPORTADORA MOSCATO";"Brazil";NA
"STE TRANSPORTES S.A";"Brazil";NA
"Cabletech";"China";NA
"NANJING SPECIAL LAMPS";"China";NA
"WINSAFE TECHNOLOGIES";"China";NA
"CHANGXING KERUI";"China";NA
"Nominet";"United Kingdom of Great Britain and Northern Ireland";NA
"Cosmosupplylab Ltd";"China";NA
"WINSTON SUPPORT SERVICES NJ";"United States of America";NA
"INDEPLO S DE RL DE CV";"Mexico";NA
"HENAN KELONG";"China";NA
"ATE";"Italy";NA
"Aquitex S.A.";"Portugal";NA
"Mammut sports Group AG";NA;NA
"GANT AB";"Sweden";NA
"Lever Style Inc.";"China";NA
"Trimax Apparel (Wuxi) Company Ltd.";"China";NA
"Sterling Styles Ltd";"Bangladesh";NA
"Haiyang Yingtong Wollen Sweater Co. Ltd.";"China";NA
"Orkuveita Reykjavíkur (Reykjavik Energy)";"Iceland";NA
"37 Interactive Entertainment";"China";NA
