"dataset_year";"Account number";"Organization";"Target reference number";"Scope(s) (or Scope 3 category)";"Target coverage";"Targeted reduction from base year (%)";"Base year";"Year target was set";"Covered emissions in base year (metric tons CO2e)";"Target year";"% of target achieved ";"Target status in reporting year";"Covered emissions in reporting year (metric tons CO2e)"
"2018";44;"3i Group";"Abs 1";"Scope 1 +2 (market-based)";"100.0";25;"2017.0";"2017.0";365.8;2019;20;"Underway";347.51
"2018";285;"3M Company";"Abs 1";"Scope 1+2 (location-based)";"100.0";50;"2002.0";"2015.0";18300000;2025;20;"Underway";16470000
"2018";1535;"A.G. Barr Plc";"Abs 1";"Scope 1 +2 (market-based)";"100.0";15;"2016.0";"2017.0";14367;2020;23.8;"Underway";13854.0981
"2018";87;"A2A";"Abs 1";"Scope 1";"87.0";34;"2012.0";"2016.0";9467290;2022;97;"Underway";6344977.758
"2018";87;"A2A";"Abs 2";"Scope 1";"87.0";62;"2012.0";"2016.0";9467290;2030;53;"Underway";6356338.506
"2018";97;"Aareal Bank AG";"Abs 1";"Scope 2 (market-based)";"84.0";100;"2013.0";"2013.0";3249;2020;99;"Underway";32.49
"2018";282;"ABB";"Abs 1";"Scope 1 +2 (market-based)";"100.0";40;"2013.0";"2013.0";1550000;2020;33;"Replaced";1345400
"2018";45103;"AbbVie Inc";"Abs 1";"Scope 1 +2 (market-based)";"100.0";25;"2015.0";"2016.0";665467;2025;47.1;"Underway";587108.26075
"2018";45103;"AbbVie Inc";"Abs 2";"Scope 1 +2 (market-based)";"100.0";50;"2015.0";"2016.0";665467;2035;23.6;"Underway";586941.894
"2018";53;"Abertis Infraestructuras";"Abs 3";"Scope 2 (location-based)";"100.0";10;"2015.0";"2015.0";57999;2020;30;"Underway";56259.03
"2018";135;"ABN Amro Holding";"Abs 1";"Scope 1+2 (location-based)";"100.0";55;"2013.0";"2013.0";15370;2017;72;"Expired";9283.48
"2018";135;"ABN Amro Holding";"Abs 2";"Scope 1";"100.0";100;"2016.0";"2016.0";3370;2019;30;"Underway";2359
"2018";135;"ABN Amro Holding";"Abs 3";"Scope 3: Business travel";"76.0";43;"2013.0";"2016.0";20090;2020;29;"Underway";17584.777
"2018";31422;"Acacia Mining";"Abs 1";"Scope 1+2 (location-based)";"78.0";10;"2015.0";"2017.0";22318;2022;100;"Underway";20086.2
"2018";21318;"Accenture";"Abs 1";"Scope 1 +2 (market-based)";"100.0";55;"2016.0";"2016.0";290253;2025;12;"New";271096.302
"2018";21318;"Accenture";"Abs 2";"Scope 1 +2 (market-based)";"100.0";65;"2016.0";"2016.0";290253;2035;12;"New";267613.266
"2018";313;"ACEA SpA";"Abs 1";"Scope 2 (location-based)";"100.0";21;"2011.0";"2011.0";480000;2022;82;"Underway";397344
"2018";313;"ACEA SpA";"Abs 2";"Scope 2 (market-based)";"100.0";52;"2016.0";"2016.0";494363;2017;100;"Underway";237294.24
"2018";169;"ACERINOX";"Abs 1";"Scope 1+2 (location-based)";"100.0";20;"2005.0";"2011.0";566788;2020;100;"Underway";453430.4
"2018";220;"Adecco Group AG";"Abs 2";"Scope 2 (location-based)";"100.0";12;"2012.0";"2012.0";52372;2022;100;"Underway";46087.36
"2018";21380;"adidas AG";"Abs 1";"Scope 1 +2 (market-based)";"85.0";29;"2015.0";"2015.0";59132;2020;100;"Underway";41983.72
"2018";333;"Adobe";"Abs 3";"Scope 3 (downstream)";"100.0";100;"2013.0";"2014.0";10444;2018;99;"Underway";104.44
"2018";173;"ADP (Aeroports de Paris)";"Abs 1";"Scope 1+2 (location-based)";"100.0";100;"2009.0";"2009.0";177641;2030;63;"Underway";65727.17
"2018";246;"Advantest Corporation";"Abs 1";"Scope 1 +2 (market-based)";"100.0";2.54;"2015.0";"2015.0";36163;2017;85;"Underway";35382.24083
"2018";252;"Aegon";"Abs 1";"Scope 1 +2 (market-based)";"100.0";100;"2014.0";"2017.0";77448;2017;100;"Underway";0
"2018";258;"Aeon Co., Ltd.";"Abs 1";"Scope 1 +2 (market-based)";"100.0";35;"2010.0";"2012.0";3466980;2030;8.2;"Underway";3367477.674
"2018";258;"Aeon Co., Ltd.";"Abs 2";"Scope 1+2 (location-based)";"100.0";100;"2010.0";"2012.0";3466980;2050;8.2;"Underway";3182687.64
"2018";64076;"AES Brasil Energia S.A.";"Abs 1";"Scope 2 (location-based)";"100.0";12;"2016.0";"2017.0";688;2017;100;"New";605.44
"2018";362;"AFLAC Incorporated";"Abs 1";"Scope 2 (location-based)";"100.0";50;"2007.0";"2008.0";29765;2025;100;"Replaced";14882.5
"2018";372;"African Rainbow Minerals";"Abs 1";"Scope 1+2 (location-based)";"100.0";5;"2014.0";"2015.0";1228656;2018;100;"Underway";1167223.2
"2018";372;"African Rainbow Minerals";"Abs 2";"Scope 1+2 (location-based)";"100.0";5;"2014.0";"2015.0";2475491;2020;33;"Underway";2434645.3985
"2018";993;"AGC Inc.";"Abs 1";"Scope 1 +2 (market-based)";"21.0";18;"2006.0";"2013.0";2200000;2020;98;"Underway";1811920
"2018";64650;"Ahlsell";"Abs 1";"Scope 1+2 (location-based) +3 (downstream)";"98.0";20;"2015.0";"2015.0";37877;2020;5;"Underway";37498.23
"2018";600;"AIB Group Plc";"Abs 1";"Scope 1+2 (location-based)";"76.27";33;"2009.0";"2011.0";25008;2020;100;"Retired";16755.36
"2018";600;"AIB Group Plc";"Abs 2";"Scope 1+2 (location-based)";"94.16";56;"2011.0";"2017.0";27172.7;2025;48.88;"Underway";19734.7711744
"2018";600;"AIB Group Plc";"Abs 3";"Scope 1+2 (location-based)";"94.16";78;"2011.0";"2017.0";27172.7;2036;35.09;"Underway";19735.4776646
"2018";600;"AIB Group Plc";"Abs 4";"Scope 3: Purchased goods & services";"42.18";15;"2014.0";"2015.0";180.27;2020;100;"Retired";153.2295
"2018";7814;"Aimia Inc.";"Abs 1";"Scope 1+2 (location-based)";"100.0";100;"2017.0";"2017.0";2194;2017;100;"Retired";0
