"primary_industry";"number_of_targets";"number_of_companies";"total_GHG_emissions";"data_source_year";"on_track_perc";"ambition_BY_2C_perc";"ambition_BY_1_5C_perc";"ambition_MRY_2C_perc";"ambition_MRY_1_5C_perc";"ambition_BY_potential_perc";"ambition_MRY_potential_perc";"progress_average";"progress_median";"progress_5p";"progress_95p";"progress_min";"progress_max";"ambition_BY_average";"ambition_BY_median";"ambition_BY_5p";"ambition_BY_95p";"ambition_BY_min";"ambition_BY_max";"ambition_MRY_average";"ambition_MRY_median";"ambition_MRY_5p";"ambition_MRY_95p";"ambition_MRY_min";"ambition_MRY_max";"diff_required_achieved_median";"maturity_expired_BY_median";"nr_targets_per_year_group_1";"nr_targets_per_year_group_2";"nr_targets_per_year_group_3";"median_progress_per_year_group_1";"median_progress_per_year_group_2";"median_progress_per_year_group_3";"number_of_net_zero_targets"
"Total";2093;1480;5271.589366564;2021;74.2952699474439;69.1352126134735;42.7615862398471;53.4639273769709;37.1715241280459;1.23457544288332;1.25534514355528;9.66702310608783;5.82118764904142;-2.51887329672565;36.7782946391284;-79.6296296296296;99.9956166266611;3.66855025454908;2.92307692307692;0.6;9.09090909090909;0;33.3333333333333;1.71198177206249;2.60634270882255;-10.1609046242601;11.0136796704004;-97.4584837545127;86.5128724327452;0.15518718293905;2;635;1109;349;7.1535359414626;5.64102564102564;4.36681222707424;435
"Apparel";45;42;5.00336347;2021;82.2222222222222;77.7777777777778;48.8888888888889;53.3333333333333;42.2222222222222;1.18181818181818;1.29545454545455;10.831783851733;8.25269560409179;-2.89576525379543;29.1759005185819;-5.75601374570447;29.6602175781332;4.17384767728246;3.75;1.71019047619048;11;1.22307692307692;15.8333333333333;2.19606974616036;3.46644675552145;-16.8833513777528;15.7300336869454;-48.9871599771733;69.5463559742191;0.477408551488867;2;14;30;1;13.3580111489356;6.98496560805188;15.657747479682;4
"Biotech, health care & pharma";79;56;23.41346777;2021;68.3544303797468;78.4810126582279;55.6962025316456;58.2278481012658;44.3037974683544;1.27941176470588;1.33823529411765;9.54915282036619;5.45437057705685;0.0824262196954346;36.2435939424761;-6.30449947680502;66.3335895465027;4.450226543185;3.88888888888889;1.40571428571429;11.0111111111111;0.163636363636364;16.6666666666667;3.35353888660293;2.97896010617535;-6.06369508139733;14.0567332465453;-8.48371635737987;20;0.0717439293598234;2;27;44;8;6.29879167165912;5.87658112435799;3.92873498455577;18
"Food, beverage & agriculture";118;84;199.65269157;2021;58.4745762711864;67.7966101694915;36.4406779661017;65.2542372881356;38.9830508474576;1.18279569892473;1.27956989247312;4.72324326686066;3.44026512024484;-6.73493308325162;13.5364711990891;-13.1395280925126;44.1193680514921;3.24808864660801;2.72727272727273;1.25;6.3125;0;14.2857142857143;2.85361783140311;2.8616105994996;-1.07913506403842;8.88272362113528;-61.0575916230367;33.3333333333333;-0.136979718069519;3;30;66;22;6.16391649309759;3.39695339204357;2.31920133424536;17
"Fossil Fuels";54;31;814.49684096;2021;66.6666666666667;51.8518518518519;24.0740740740741;57.4074074074074;37.037037037037;1.17647058823529;1.17647058823529;6.47660758670183;3.35438123034401;-1.01797952923239;21.2238046264184;-9.56552651919684;51.8122476525139;3.0294611339906;2.22222222222222;0.873888888888888;7.05303030303029;0.315384615384615;19;2.1416035090695;2.80306360628877;-5.3647162021171;10;-37.8876286916278;31.6417801153802;-0.10752688172043;4.5;13;25;16;4.36681222707424;3.39550944863982;3.22657400430711;13
"Hospitality";28;22;32.9974728;2021;89.2857142857143;82.1428571428571;50;39.2857142857143;25;1.12;1.12;17.9552111366438;22.5455099453554;1.29289794677655;33.5093972167879;-9.58104867655369;34.6807859032358;3.96230247343693;3.72459893048128;1.54107142857143;6.79047619047619;1.25;17;0.000663291920209833;1.1139584753355;-9.03945282301845;8.40300853009226;-26.8063753399223;18.4511343804538;2.0649779223755;2;11;16;1;21.1430988160146;24.0891416670458;4.01259879111324;4
"Infrastructure";178;114;450.78683936;2021;69.6629213483146;72.4719101123596;50.561797752809;64.0449438202247;47.1910112359551;1.2578125;1.3359375;7.09522717762481;4.80424166540308;-7.91595489028237;35.8400608976378;-46.8874383060022;82.6502040816327;3.97344472196514;3.27956989247312;0.99934375;9.09090909090909;0.272727272727273;33.3333333333333;2.75856931261229;3.33333333333333;-6.21022788243285;10.1278325123153;-93.6928389324555;50;-0.208466255316945;2;43;94;41;5.50553583355292;4.09130581427564;4.72983562225511;56
"Manufacturing";549;399;1283.76750826;2021;74.3169398907104;60.2914389799636;33.5154826958106;45.9016393442623;29.8724954462659;1.16997792494481;1.18543046357616;8.3323425598218;4.67665327000366;-3.58124637207403;32.6524895869655;-49.31581769437;93.9911605502309;3.14879076239392;2.53846153846154;0.341176470588236;8;0;33.3333333333333;1.10534943891594;2.02736000963893;-11.4557507972735;10;-85.9052263065766;86.5128724327452;0.286467273191211;2;176;302;71;5.9203196158745;4.94994260986445;3.64836058745412;81
"Materials";209;158;749.24542772;2021;69.377990430622;57.4162679425837;25.3588516746411;47.8468899521531;25.8373205741627;1.07831325301205;1.10843373493976;5.67023719479922;3.60648779151092;-1.60545353987467;18.1285710905583;-15.0677086357;76.8937242652279;2.58694052201835;2.5;0.367666666666667;4.99257142857143;0;11.1111111111111;2.14145833033363;2.24326168672884;-2.08075418582206;5.70243376498572;-49.2452569321761;50;0.0586628079846463;3;46;132;31;3.5894422838768;3.89907205762696;2.77505634171908;27
"Other";2;2;0.074855;2021;50;100;100;100;100;2;2;4.07025255053499;4.07025255053499;-6.45269780334505;14.593202904415;-7.62191450933173;15.7624196104017;7.125;7.125;6.7125;7.5375;6.66666666666667;7.58333333333333;16.8428273918902;16.8428273918902;9.50137204459145;24.184282739189;8.68565478378047;25;-9.71782739189024;6.5;1;1;NA;-7.62191450933173;15.7624196104017;NA;2
"Power generation";63;42;1016.59053395;2021;76.1904761904762;68.2539682539683;28.5714285714286;55.5555555555556;41.2698412698413;1.16279069767442;1.23255813953488;7.0885604276547;3.87772095195786;0.691241458742095;18.7679606551031;-1.63982287966523;29.4973713760719;3.12021705671399;2.75;1.03333333333333;6.9;0.4;9;1.91442986637424;3.08133799560908;-8.69364817758515;9.90909090909091;-53.4668163217213;53.3527315770362;-0.10752688172043;5;12;36;15;9.04783838723455;3.56273449637345;3.10632060518732;20
"Retail";127;92;136.17722308;2021;78.740157480315;74.0157480314961;44.0944881889764;55.9055118110236;38.5826771653543;1.21904761904762;1.28571428571429;9.13841606558854;6.39176052026188;-0.0234128027439027;27.9611954469694;-25.3528267679246;92.1059074754577;3.81087636729833;3.125;1.50882352941177;8.79999999999999;0.6;15;3.06633305140267;2.72341587184352;-2.72445247014659;11.3718922216146;-58.4055828229991;50.5820830479985;0.328506420014627;4;35;76;16;5.49387464650576;6.66188565360973;5.89378000962857;26
"Services";565;387;312.26507473;2021;80.5309734513274;81.4159292035398;59.2920353982301;56.4601769911504;43.3628318584071;1.39393939393939;1.34965034965035;13.9244979270614;8.88438133874239;-0.954852904782574;52.5702658662198;-79.6296296296296;99.9956166266611;4.63471804461477;4.16666666666667;1.21414141414141;10;0;33.3333333333333;1.55090736805582;3.02410257323285;-16.2241965327864;14.2282072112554;-97.4584837545127;50;0.411302851383122;2;212;252;101;11.0543262506268;8.76305470598591;6.37266789086419;147
"Transportation services";76;51;247.118067894;2021;69.7368421052632;52.6315789473684;27.6315789473684;48.6842105263158;35.5263157894737;1.14893617021277;1.21276595744681;14.1620332904246;4.0032930003325;-3.87171588178025;62.6444535946366;-34.5246905274489;67.7180756221489;2.51347740785948;2.29915433403806;0.167727272727273;5.83333333333333;0;9.09090909090909;-2.61020519678626;2.21381715497317;-22.5121920445508;10;-96.0073488390959;15.4739898635478;0.0310829570928235;2;15;35;26;8.25752373995617;3.96339633963396;3.73854403340567;20
