primary_industry;number_of_targets;number_of_companies;total_GHG_emissions;data_source_year;on_track_tmp;on_track_n;ambition_BY_2C_n;ambition_BY_1_5C_n;ambition_MRY_2C_n;ambition_MRY_1_5C_n;progress_average;progress_median;progress_5p;progress_95p;progress_min;progress_max;ambition_BY_average;ambition_BY_median;ambition_BY_5p;ambition_BY_95p;ambition_BY_min;ambition_BY_max;ambition_MRY_average;ambition_MRY_median;ambition_MRY_5p;ambition_MRY_95p;ambition_MRY_min;ambition_MRY_max;diff_required_achieved_median;nr_targets_per_year_group_1;nr_targets_per_year_group_2;nr_targets_per_year_group_3;median_progress_per_year_group_1;median_progress_per_year_group_2;median_progress_per_year_group_3;number_of_net_zero_targets
Total;2096;1480;5271.591425;2021;74.24;74.24;74.67;55.06;57.44;48.38;9.69;5.83;-2.54;37.04;-79.63;100.00;3.67;2.92;0.60;9.09;0.00;33.33;1.72;2.61;-10.15;11.11;-97.46;86.51;0.16;637;1110;349;7.200652887;5.630244311;4.366812227;310
Apparel;45;42;5.00336347;2021;82.22;82.22;91.11;60.00;57.78;53.33;10.83;8.25;-2.90;29.18;-5.76;29.66;4.17;3.75;1.71;11.00;1.22;15.83;2.20;3.47;-16.88;15.73;-48.99;69.55;0.48;14;30;1;13.35801115;6.984965608;15.65774748;NA
Biotech, health care & pharma;79;56;23.41346777;2021;68.35;68.35;83.54;65.82;62.03;55.70;9.55;5.45;0.08;36.24;-6.30;66.33;4.45;3.89;1.41;11.01;0.16;16.67;3.35;2.98;-6.06;14.06;-8.48;20.00;0.07;27;44;8;6.298791672;5.876581124;3.928734985;16
Food, beverage & agriculture;118;84;199.6526916;2021;58.47;58.47;76.27;51.69;73.73;55.08;4.72;3.44;-6.73;13.54;-13.14;44.12;3.25;2.73;1.25;6.31;0.00;14.29;2.85;2.86;-1.08;8.88;-61.06;33.33;-0.14;30;66;22;6.163916493;3.396953392;2.319201334;14
Fossil Fuels;54;31;814.496841;2021;66.67;66.67;59.26;33.33;68.52;50.00;6.48;3.35;-1.02;21.22;-9.57;51.81;3.03;2.22;0.87;7.05;0.32;19.00;2.14;2.80;-5.36;10.00;-37.89;31.64;-0.11;13;25;16;4.366812227;3.395509449;3.226574004;10
Hospitality;28;22;32.9974728;2021;89.29;89.29;89.29;57.14;46.43;35.71;17.96;22.55;1.29;33.51;-9.58;34.68;3.96;3.72;1.54;6.79;1.25;17.00;0.00;1.11;-9.04;8.40;-26.81;18.45;2.06;11;16;1;21.14309882;24.08914167;4.012598791;2
Infrastructure;178;114;450.7868394;2021;69.66;69.66;75.84;60.11;67.98;59.55;7.10;4.80;-7.92;35.84;-46.89;82.65;3.97;3.28;1.00;9.09;0.27;33.33;2.76;3.33;-6.21;10.13;-93.69;50.00;-0.21;43;94;41;5.505535834;4.091305814;4.729835622;41
Manufacturing;549;399;1283.767508;2021;74.32;74.32;65.76;44.81;49.91;40.80;8.33;4.68;-3.58;32.65;-49.32;93.99;3.15;2.54;0.34;8.00;0.00;33.33;1.11;2.03;-11.46;10.00;-85.91;86.51;0.29;176;302;71;5.920319616;4.94994261;3.648360587;61
Materials;210;158;749.2454277;2021;69.52;69.52;62.86;40.48;52.86;40.00;5.72;3.61;-1.58;18.13;-15.07;76.89;2.58;2.50;0.37;4.99;0.00;11.11;2.13;2.24;-2.07;5.70;-49.25;50.00;0.06;47;132;31;3.643590013;3.899072058;2.775056342;24
Other;2;2;0.074855;2021;50.00;50.00;100.00;100.00;100.00;100.00;4.07;4.07;-6.45;14.59;-7.62;15.76;7.13;7.13;6.71;7.54;6.67;7.58;16.84;16.84;9.50;24.18;8.69;25.00;-9.72;1;1;NA;-7.621914509;15.76241961;NA;1
Power generation;63;42;1016.590534;2021;76.19;76.19;77.78;53.97;60.32;53.97;7.09;3.88;0.69;18.77;-1.64;29.50;3.12;2.75;1.03;6.90;0.40;9.00;1.91;3.08;-8.69;9.91;-53.47;53.35;-0.11;12;36;15;9.047838387;3.562734496;3.106320605;14
Retail;127;92;136.1772231;2021;78.74;78.74;83.46;61.42;62.20;50.39;9.14;6.39;-0.02;27.96;-25.35;92.11;3.81;3.13;1.51;8.80;0.60;15.00;3.07;2.72;-2.72;11.37;-58.41;50.58;0.33;35;76;16;5.493874647;6.661885654;5.89378001;14
Services;567;387;312.2671336;2021;80.25;80.25;85.54;70.55;57.67;52.38;13.97;8.88;-1.03;52.74;-79.63;100.00;4.63;4.17;1.22;10.00;0.00;33.33;1.59;3.03;-16.21;16.05;-97.46;50.00;0.41;213;253;101;11.07711697;8.641728073;6.372667891;94
Transportation services;76;51;247.1180679;2021;69.74;69.74;53.95;36.84;52.63;43.42;14.16;4.00;-3.87;62.64;-34.52;67.72;2.51;2.30;0.17;5.83;0.00;9.09;-2.61;2.21;-22.51;10.00;-96.01;15.47;0.03;15;35;26;8.25752374;3.96339634;3.738544033;19
