"account_id";"company_name";"primary_industry";"Scope";"% emissions in Scope";"BY_covered";"BY_Scope_exclS3";"BY_Scope";"MRY_Scope";"MRY_Scope_exclS3";"% reduction from base year";"Target year";"Target status";"% achieved (emissions)";"Target coverage";"MRY_inventory";"MRY_target";"TargetActive";"Quantifiable";"Scope1_2";"Include"
44;"3i Group";"Services";"Scope 1 +2 (market-based)";100;365.8;NA;366;293.4;NA;25;2019;"Underway";20;"Unknown";293.4;347.51;TRUE;TRUE;TRUE;TRUE
53;"Abertis Infraestructuras";"Infrastructure";"Scope 1";100;63412;NA;66412;72554;NA;10;2020;"Underway";0;"Unknown";72554;63412;TRUE;TRUE;TRUE;TRUE
53;"Abertis Infraestructuras";"Infrastructure";"Scope 2 (location-based)";100;57999;NA;57999;56317;NA;10;2020;"Underway";30;"Unknown";56317;56259.03;TRUE;TRUE;TRUE;TRUE
53;"Abertis Infraestructuras";"Infrastructure";"Scope 1+2 (location-based)";18;23456.81;NA;124411;128871;NA;1.5;2018;"Underway";0;"Unknown";23196.78;23456.81;TRUE;TRUE;TRUE;TRUE
87;"A2A";"Power generation";"Scope 1";87;9467290;NA;5124047;8057008;NA;34;2022;"Underway";97;"Unknown";7009596.96;6344977.758;TRUE;TRUE;TRUE;TRUE
87;"A2A";"Power generation";"Scope 1";87;9467290;NA;5124047;8057008;NA;62;2030;"Underway";53;"Unknown";7009596.96;6356338.506;TRUE;TRUE;TRUE;TRUE
97;"Aareal Bank AG";"Services";"Scope 2 (market-based)";84;3249;NA;NA;2728;NA;100;2020;"Underway";99;"Unknown";2291.52;32.49;TRUE;TRUE;TRUE;TRUE
119;"Resolute Forest Products Inc.";"Materials";"Scope 1+2 (location-based)";100;11856979;NA;11856980;2868747;NA;65;2015;"Expired";100;"Unknown";2868747;4149942.65;FALSE;TRUE;TRUE;FALSE
135;"ABN Amro Holding";"Services";"Scope 1+2 (location-based)";100;15370;NA;15370;4370;NA;55;2017;"Expired";72;"Unknown";4370;9283.48;FALSE;TRUE;TRUE;FALSE
135;"ABN Amro Holding";"Services";"Scope 1";100;3370;NA;7250;2350;NA;100;2019;"Underway";30;"Unknown";2350;2359;TRUE;TRUE;TRUE;TRUE
154;"ACCIONA S.A.";"Infrastructure";"Scope 1 +2 (market-based)";100;1228540;NA;1228540;1228540;NA;16;2030;"New";0;"Unknown";1228540;1228540;TRUE;TRUE;TRUE;TRUE
154;"ACCIONA S.A.";"Infrastructure";"Scope 1 +2 (market-based)";100;817204;NA;817204;1228540;NA;2.1;2017;"Expired";0;"Unknown";1228540;817204;FALSE;TRUE;TRUE;FALSE
169;"ACERINOX";"Materials";"Scope 1+2 (location-based)";100;566788;NA;566788;597726;NA;20;2020;"Underway";100;"Unknown";597726;453430.4;TRUE;TRUE;TRUE;TRUE
173;"ADP (Aeroports de Paris)";"Services";"Scope 1+2 (location-based)";100;177641;NA;177641;66380;NA;100;2030;"Underway";63;"Unknown";66380;65727.17;TRUE;TRUE;TRUE;TRUE
220;"Adecco Group AG";"Services";"Scope 1";100;51562;NA;51562;59815;NA;12;2022;"Underway";0;"Unknown";59815;51562;TRUE;TRUE;TRUE;TRUE
220;"Adecco Group AG";"Services";"Scope 2 (location-based)";100;52372;NA;52372;33045;NA;12;2022;"Underway";100;"Unknown";33045;46087.36;TRUE;TRUE;TRUE;TRUE
246;"Advantest Corporation";"Manufacturing";"Scope 1 +2 (market-based)";100;36163;NA;35144;35268;NA;2.54;2017;"Underway";85;"Unknown";35268;35382.24083;FALSE;TRUE;TRUE;FALSE
252;"Aegon";"Services";"Scope 1 +2 (market-based)";100;77448;NA;NA;45688;NA;100;2017;"Underway";100;"Unknown";45688;0;FALSE;TRUE;TRUE;FALSE
258;"Aeon Co., Ltd.";"Retail";"Scope 1 +2 (market-based)";100;3466980;NA;NA;NA;NA;35;2030;"Underway";8.2;"Unknown";0;3367477.674;TRUE;TRUE;TRUE;TRUE
