"account_id";"company_name";"primary_industry";"Scope";"% emissions in Scope";"BY_covered";"BY_Scope_exclS3";"BY_Scope";"MRY_Scope";"MRY_Scope_exclS3";"MRY_Covered";"% reduction from base year";"Target year";"Target status";"Target coverage";"MRY_inventory";"MRY_target";"TargetActive";"Quantifiable";"Scope1_2";"Full_coverage";"Include"
53;"Abertis Infraestructuras";"Infrastructure";"Scope 1";100;70240.92;NA;70240.92;68013.83;NA;68013.83;10;2021;"Underway";"Company-wide";68013.83;68013.83;TRUE;TRUE;TRUE;TRUE;TRUE
53;"Abertis Infraestructuras";"Infrastructure";"Scope 2 (location-based)";100;60489.13;NA;60489.13;52383.15;NA;52383.15;10;2021;"Achieved";"Company-wide";52383.15;52383.15;TRUE;TRUE;TRUE;TRUE;TRUE
58;"ABM INDUSTRIES INC";"Services";"Scope 1+2 (location-based) +3 (upstream)";100;93174;52532;55972.63;44835.74;42640.73;44835.74;27.5;2030;"Underway";"Company-wide";42640.73;44835.74;TRUE;TRUE;TRUE;TRUE;TRUE
64;"Abbott Laboratories";"Biotech, health care & pharma";"Scope 1+2 (market-based)";100;980000;NA;980000;906000;NA;906000;30;2030;"New";"Company-wide";906000;906000;TRUE;TRUE;TRUE;TRUE;TRUE
97;"Aareal Bank AG";"Services";"Scope 2 (market-based)";88;3249;NA;3166;633;NA;51.65;100;2022;"Underway";"Company-wide";557.04;51.65;TRUE;TRUE;TRUE;FALSE;FALSE
119;"Resolute Forest Products Inc.";"Materials";"Scope 1+2 (location-based)";100;10104222;NA;10104222;1586276;NA;1490933;65;2015;"New";"Company-wide";1586276;1490933;FALSE;TRUE;TRUE;TRUE;FALSE
119;"Resolute Forest Products Inc.";"Materials";"Scope 1+2 (market-based)";100;2273000;NA;NA;1490933;NA;1584000;30;2025;"Achieved";"Company-wide";1490933;1584000;TRUE;TRUE;TRUE;TRUE;TRUE
134;"Aboitiz Equity Ventures";"Infrastructure";"Scope 2 (location-based)";100;261724;NA;192695;192695;NA;192695;10;2021;"Achieved";"Company-wide";192695;192695;TRUE;TRUE;TRUE;TRUE;TRUE
135;"ABN Amro Holding";"Services";"Scope 1";76;20090;NA;10030;5980;NA;5540;43;2020;"Achieved";"Country/region";4544.8;5540;FALSE;TRUE;TRUE;FALSE;FALSE
135;"ABN Amro Holding";"Services";"Scope 1";100;14210;NA;17580;5980;NA;5540;83;2022;"Underway";"Country/region";5980;5540;TRUE;TRUE;TRUE;TRUE;TRUE
138;"Absa Group Limited";"Services";"Scope 1+2 (location-based) +3 (upstream & downstream)";100;296468;259399;311189;196146;176544;196146;51;2030;"Achieved";"Company-wide";176544;196146;TRUE;TRUE;TRUE;TRUE;TRUE
149;"Acbel Polytech Inc";"Manufacturing";"Scope 1+2 (location-based)";100;37129.91;NA;37129.92;38876.691;NA;38876.69;2;2020;"Achieved";"Company-wide";38876.691;38876.69;FALSE;TRUE;TRUE;TRUE;FALSE
149;"Acbel Polytech Inc";"Manufacturing";"Scope 1+2 (location-based)";100;48440.16;NA;48497.6;38876.691;NA;38876.69;35;2030;"Underway";"Company-wide";38876.691;38876.69;TRUE;TRUE;TRUE;TRUE;TRUE
154;"ACCIONA S.A.";"Infrastructure";"Scope 1+2 (market-based)";100;213109;NA;213109;133146;NA;133146;60;2030;"Underway";"Company-wide";133146;133146;TRUE;TRUE;TRUE;TRUE;TRUE
156;"Accor";"Hospitality";"Scope 1+2 (location-based)";100;1946092;NA;3471000;1271172;NA;1271172;46;2030;"Underway";"Company-wide";1271172;1271172;TRUE;TRUE;TRUE;TRUE;TRUE
169;"ACERINOX";"Materials";"Scope 1+2 (location-based)";100;2897135;NA;2897135;2736760;NA;2736760;100;2050;"Underway";"Company-wide";2736760;2736760;TRUE;TRUE;TRUE;TRUE;TRUE
220;"Adecco Group AG";"Services";"Scope 1";100;64163.78;NA;64163.78;32407.907;NA;32407.91;50;2030;"New";"Company-wide";32407.907;32407.91;TRUE;TRUE;TRUE;TRUE;TRUE
220;"Adecco Group AG";"Services";"Scope 2 (market-based)";100;31662.9;NA;31662.93;25154.358;NA;25154.35;50;2030;"New";"Company-wide";25154.358;25154.35;TRUE;TRUE;TRUE;TRUE;TRUE
240;"ADVA Optical Networking SE";"Manufacturing";"Scope 2 (market-based)";100;6003;NA;6003;5151;NA;5151;67;2032;"Underway";"Company-wide";5151;5151;TRUE;TRUE;TRUE;TRUE;TRUE
240;"ADVA Optical Networking SE";"Manufacturing";"Scope 1";79;1010;NA;1285;933;NA;626;67;2032;"Underway";"Company-wide";737.07;626;TRUE;TRUE;TRUE;FALSE;FALSE
246;"Advantest Corporation";"Manufacturing";"Scope 1+2 (market-based)";100;37379.91;NA;30635109.956;28730.09;NA;28730.1;60;2030;"Revised";"Company-wide";28730.09;28730.1;TRUE;TRUE;TRUE;TRUE;TRUE
248;"AECI Ltd Ord";"Materials";"Scope 1";100;402531;NA;356712;334225;NA;334225;20;2025;"Underway";"Company-wide";334225;334225;TRUE;TRUE;TRUE;TRUE;TRUE
248;"AECI Ltd Ord";"Materials";"Scope 2 (location-based)";100;273548;NA;290624;241150;NA;241150;8;2025;"Underway";"Company-wide";241150;241150;TRUE;TRUE;TRUE;TRUE;TRUE
256;"Aeroflot";"Transportation services";"Scope 1";100;4314314;NA;4242450.349;4242450.349;NA;4238446;1.79;2020;"Achieved";"Company-wide";4242450.349;4238446;FALSE;TRUE;TRUE;TRUE;FALSE
257;"Dentsu Aegis Network";"Services";"Scope 1+2 (market-based)";100;9416;NA;9416;5728;NA;5728;46.2;2030;"New";"Company-wide";5728;5728;TRUE;TRUE;TRUE;TRUE;TRUE
258;"Aeon Co., Ltd.";"Retail";"Scope 1+2 (location-based)";100;3466980;NA;811197;3016844;NA;3016844;51.5;2030;"New";"Company-wide";3016844;3016844;TRUE;TRUE;TRUE;TRUE;TRUE
258;"Aeon Co., Ltd.";"Retail";"Scope 1+2 (location-based)";100;3466980;NA;811197;3016844;NA;3016844;51.5;2030;"Underway";"Company-wide";3016844;3016844;TRUE;TRUE;TRUE;TRUE;TRUE
261;"Aeon Mall Co., Ltd.";"Infrastructure";"Scope 1+2 (market-based)";100;535798.92;NA;NA;257032.428;NA;257032.43;100;2050;"Achieved";"Company-wide";257032.428;257032.43;TRUE;TRUE;TRUE;TRUE;TRUE
276;"A.P. Moller - Maersk";"Transportation services";"Scope 1";100;29436877;NA;38452000;33902000;NA;32184089;100;2050;"Underway";"Business activity";33902000;32184089;TRUE;TRUE;TRUE;TRUE;TRUE
282;"ABB";"Manufacturing";"Scope 1+2 (market-based)";100;1167004;NA;1560000;560817;NA;487410;40;2020;"Achieved";"Company-wide";560817;487410;FALSE;TRUE;TRUE;TRUE;FALSE
282;"ABB";"Manufacturing";"Scope 1+2 (market-based)";100;680257;NA;997903;560817;NA;560818;80;2030;"Underway";"Company-wide";560817;560818;TRUE;TRUE;TRUE;TRUE;TRUE
285;"3M Company";"Materials";"Scope 1+2 (market-based)";100;5370000;NA;5370000;4850000;NA;4850000;50;2030;"Underway";"Company-wide";4850000;4850000;TRUE;TRUE;TRUE;TRUE;TRUE
313;"ACEA SpA";"Infrastructure";"Scope 2 (location-based)";100;480000;NA;480000;392575;NA;392575;22.23;2024;"Underway";"Company-wide";392575;392575;TRUE;TRUE;TRUE;TRUE;TRUE
