country;scenario;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030
Brazil;CPS_min;;;;;;1402.095;1375.306;1348.529;1321.765;1295.014;1268.276;1261.966;1255.670;1249.387;1243.119;1236.864;1230.172;1223.495;1216.832;1210.184;1203.551
Brazil;CPS_max;;;;;;1402.095;1406.689;1411.284;1415.878;1420.472;1425.066;1427.376;1429.687;1431.998;1434.308;1436.619;1437.906;1439.193;1440.480;1441.768;1443.055
Brazil;NDC_min;;;;;;1402.095;1535.884;1669.673;1803.462;1937.251;2071.040;1921.432;1771.824;1622.216;1472.608;1323.000;1297.800;1272.600;1247.400;1222.200;1197.000
Brazil;NDC_max;;;;;;1402.095;1535.884;1669.673;1803.462;1937.251;2071.040;1921.432;1771.824;1622.216;1472.608;1323.000;1297.800;1272.600;1247.400;1222.200;1197.000
Brazil;CPS_NSA_min;;;;;;1402.095;1368.989;1339.882;1310.811;1281.685;1252.560;1246.220;1238.754;1231.830;1224.984;1218.089;1211.014;1203.804;1196.544;1189.228;1181.921
Brazil;CPS_NSA_max;;;;;;1402.095;1397.927;1395.558;1393.220;1390.847;1388.464;1388.650;1388.183;1388.247;1388.377;1388.447;1387.984;1387.530;1387.013;1386.428;1385.838
China;CPS_min;;;11320;11505.78402;11691.56804;11877.352;11936.038;11994.724;12053.411;12112.097;12170.783;12184.798;12198.812;12212.827;12226.842;12240.856;12269.105;12297.353;12325.602;12353.850;12382.098
China;CPS_max;;;11320;11697.69023;12075.38047;12453.071;12659.193;12865.315;13071.437;13277.559;13483.682;13730.244;13976.806;14223.369;14469.931;14716.494;14755.384;14794.274;14833.165;14872.055;14910.945
China;NDC_min;;;11320;11505.78402;11691.56804;11877.352;11784.890;11692.428;11599.966;11507.504;11415.042;11491.428;11567.813;11644.199;11720.584;11796.970;11873.355;11949.741;12026.126;12102.512;12178.897
China;NDC_max;;;11320;11697.69023;12075.38047;12453.071;12770.617;13088.162;13405.708;13723.254;14040.800;14119.810;14198.820;14277.830;14356.840;14435.850;14514.860;14593.870;14672.880;14751.890;14830.900
China;CPS_NSA_min;;;11320;11697.69023;12075.38047;12453.071;11948.352;12022.526;12096.296;12168.863;12238.670;12258.627;12277.599;12295.334;12310.559;12325.394;12354.159;12382.067;12408.411;12434.239;12459.563
China;CPS_NSA_max;;;11320;11697.69023;12075.38047;12453.071;12665.546;12877.728;13089.280;13299.857;13507.593;13743.733;13978.583;14211.938;14442.697;14673.078;14711.487;14749.332;14785.680;14821.511;14856.830
EU;CPS_min;;;;;;3933.890;3880.382;3826.873;3773.365;3719.856;3666.348;3614.824;3563.300;3511.776;3460.252;3408.728;3400.012;3349.238;3291.080;3232.922;3174.765
EU;CPS_max;;;;;;3933.890;3912.331;3890.773;3869.214;3847.656;3826.097;3801.139;3776.180;3751.222;3726.263;3701.304;3676.346;3651.387;3626.429;3601.470;3576.512
EU;NDC_min;;;;;;3933.890;3975.970;4018.050;4060.130;4102.210;4144.290;4035.019;3925.748;3816.477;3707.206;3597.935;3488.664;3379.393;3270.122;3160.851;3051.580
EU;NDC_max;;;;;;3933.890;3975.970;4018.050;4060.130;4102.210;4144.290;4035.019;3925.748;3816.477;3707.206;3597.935;3488.664;3379.393;3270.122;3160.851;3051.580
EU;CPS_NSA_min;;;;;;3933.890;3738.660;3682.444;3627.499;3572.820;3518.230;3426.796;3403.003;3381.091;3356.719;3328.696;3309.692;3271.495;3230.700;3189.066;3147.443
EU;CPS_NSA_max;;;;;;3933.890;3887.965;3842.714;3798.548;3754.601;3710.715;3610.772;3579.391;3549.872;3520.924;3492.273;3466.120;3441.301;3417.486;3392.833;3368.192
India;CPS_min;;;;;;2221.355;2314.913;2411.269;2507.624;2603.980;2700.336;2797.510;2929.943;3062.377;3194.811;3327.244;3459.678;3598.972;3738.267;3877.561;4016.856
India;CPS_max;;;;;;2606.454;2739.765;2873.075;3006.385;3139.696;3273.006;3447.421;3621.835;3796.336;3970.836;4155.642;4349.410;4543.178;4736.945;4930.713;5124.480
India;NDC_min;;;;;;2221.355;2449.081;2676.806;2904.532;3132.257;3359.983;3497.885;3635.786;3773.688;3911.590;4049.492;4187.393;4325.295;4463.197;4601.098;4739.000
India;NDC_max;;;;;;2606.454;2946.563;3286.673;3626.782;3966.891;4307.000;4460.153;4613.306;4766.459;4919.612;5072.765;5225.918;5379.071;5532.223;5685.376;5838.529
India;CPS_NSA_min;;;;;;2606.454;2306.503;2394.590;2484.623;2574.689;2664.800;2760.436;2890.362;3020.261;3150.245;3280.396;3410.605;3547.446;3684.204;3820.935;3957.642
India;CPS_NSA_max;;;;;;2606.454;2735.859;2865.444;2995.180;3124.948;3254.759;3426.109;3597.543;3769.024;3940.590;4122.361;4312.916;4503.448;4693.898;4884.319;5074.718
Japan;CPS_min;;;;;;1227.160;1193.436;1159.712;1125.987;1092.263;1058.539;1046.187;1033.835;1021.483;1009.131;996.779;988.609;980.438;972.267;964.096;955.925
Japan;CPS_max;;;;;;1227.160;1209.335;1191.346;1173.197;1154.886;1135.778;1125.867;1115.965;1106.069;1096.180;1086.299;1077.824;1069.356;1060.894;1052.439;1043.990
Japan;NDC_min;;;;;;1227.160;1237.862;1248.564;1259.266;1269.968;1280.671;1258.267;1235.863;1213.459;1191.055;1168.651;1146.247;1123.843;1101.439;1079.035;1056.631
Japan;NDC_max;;;;;;1227.160;1254.280;1281.400;1308.520;1335.640;1362.761;1332.148;1301.535;1270.922;1240.309;1209.696;1179.083;1148.470;1117.857;1087.244;1056.631
Japan;CPS_NSA_min;;;;;;1227.160;1193.903;1161.257;1129.059;1096.829;1064.508;1051.613;1038.750;1027.216;1015.422;1003.631;995.852;988.161;980.373;972.517;964.584
Japan;CPS_NSA_max;;;;;;1227.160;1209.418;1191.507;1173.901;1156.115;1137.494;1126.931;1116.408;1107.272;1097.873;1088.483;1080.530;1072.674;1064.714;1056.687;1048.589
Mexico;CPS_min;;;;;;629.253;630.568;631.883;633.197;634.512;635.827;648.399;660.971;673.543;686.114;693.619;703.040;712.461;721.883;731.304;740.725
Mexico;CPS_max;;;;;;691.668;688.414;685.160;681.907;678.653;675.399;679.043;682.687;686.331;691.625;704.620;717.615;730.609;743.604;756.599;769.593
Mexico;NDC_min;;;;;;629.253;637.802;646.352;654.901;663.451;672.000;667.072;662.144;657.216;652.288;647.360;642.432;637.504;632.576;627.648;622.720
Mexico;NDC_max;;;;;;691.668;687.734;683.801;679.867;675.934;672.000;667.072;662.144;657.216;652.288;647.360;642.432;637.504;632.576;627.648;622.720
Mexico;CPS_NSA_min;;;;;;691.668;623.407;621.132;620.593;620.034;619.481;628.890;638.843;648.700;658.568;663.917;670.879;677.760;684.521;691.581;698.625
Mexico;CPS_NSA_max;;;;;;691.668;687.397;683.140;678.924;674.689;670.459;672.502;675.086;677.574;681.460;691.471;701.393;711.303;721.201;731.439;741.674
USA;CPS_min;;;;;;5699.810;5604.051;5608.044;5675.773;5667.761;5659.749;5541.487;5423.226;5304.965;5186.703;5068.442;4990.726;4913.011;4835.296;4757.580;4679.865
USA;CPS_max;;;;;;5699.810;5623.438;5638.269;5720.885;5701.862;5667.331;5625.521;5585.864;5583.917;5599.772;5601.523;5602.078;5599.246;5598.968;5601.484;5589.400
USA;NDC_min;;;;;;5699.810;5633.045;5566.279;5499.514;5432.749;5365.983;5223.752;5081.521;4939.291;4797.060;4654.829;4636.087;4531.589;4427.091;4322.593;4218.094
USA;NDC_max;;;;;;5699.810;5633.045;5566.279;5499.514;5432.749;5365.983;5249.612;5133.242;5016.871;4900.500;4784.130;4748.931;4657.363;4565.795;4474.227;4382.659
USA;CPS_NSA_min;;;;;;5699.810;5587.433;5561.408;5581.139;5546.800;5512.517;5428.752;5321.303;5214.037;5106.129;4998.430;4918.454;4839.626;4760.597;4681.359;4603.329
