"account_id";"BY";"MRY";"TR";"TY";"source_year";"BY_EM";"MRY_EM";"TY_EM";"reduction_achieved";"Timelapsed";"reduction_required";"on_track";"target_year_group";"target_completed";"progress_rate";"maturity";"maturity_remaining";"annual_ambition";"annual_progress";"annual_ambition_a";"annual_progress_a"
"1";53;2015;2020;10;2021;2021;70240.92;68013.83;63216.828;2227.09;0.833333333333333;5853.41;FALSE;"1";-7.05298025416301;38.0477362768027;6;1;1.45216360936616;0.642327805175769;7.05298025416301;0.634128937946712
"2";53;2015;2020;10;2021;2021;60489.13;52383.15;54440.217;8105.98;0.833333333333333;5040.76083333333;TRUE;"1";3.92696315513672;160.808660994132;6;1;-0.773338717882632;2.83656621697074;-3.92696315513671;2.6801443499022
"3";58;2019;2020;27.5;2030;2021;52532;42640.73;38085.7;9891.27;0.0909090909090909;1313.3;TRUE;"2";-10.6823452600366;753.161501560953;11;10;10.6823452600366;18.8290375390238;1.06823452600366;18.8290375390238
"4";64;2018;2020;30;2030;2021;980000;906000;686000;74000;0.166666666666667;49000;TRUE;"2";-24.2825607064018;151.020408163265;12;10;12.9842317199933;3.84960759734949;2.42825607064018;3.77551020408163
"5";97;2015;2020;100;2022;2021;3166;633;0;2533;0.714285714285714;2261.42857142857;TRUE;"1";-100;112.008843967151;7;2;100;27.5266127304707;50;16.0012634238787
"6";134;2020;2020;10;2021;2021;192695;192695;173425.5;0;0;0;TRUE;"1";-10;NA;1;1;100;0;10;NA
"7";135;2017;2020;83;2022;2021;17580;5980;2988.6;11600;0.6;8754.84;TRUE;"1";-50.0234113712374;132.498138172714;5;2;20.6423370806306;30.1937827682378;25.0117056856187;21.9946909366705
"8";138;2018;2020;51;2030;2021;259399;176544;127105.51;82855;0.166666666666667;22048.915;TRUE;"2";-28.0034948794635;375.778127857992;12;10;15.1492456600788;17.5022066161339;2.80034948794635;15.9705704339647
"9";149;2014;2020;35;2030;2021;48497.6;38876.691;31523.44;9620.909;0.375;6365.31;TRUE;"2";-18.9142923712309;151.145961469276;16;10;3.43404233236744;3.61824258434112;1.89142923712309;3.30631790714042
"10";154;2017;2020;60;2030;2021;213109;133146;85243.6;79963;0.230769230769231;29507.4;TRUE;"2";-35.9773481741847;270.993039034276;13;10;13.8124465397871;14.5112872860218;3.59773481741847;12.5073710323512
"11";154;2017;2020;47;2030;2021;958299;993471;507898.47;-35172;0.230769230769231;103938.583846154;FALSE;"2";-48.8763667988296;-33.8392141767684;13;10;20.0397941658036;-1.20874815339065;4.88763667988296;-1.22341774331393
"12";156;2019;2020;46;2030;2021;3471000;1271172;1874340;2199828;0.0909090909090909;145150.909090909;TRUE;"2";47.4497550292172;1515.54545112923;11;10;-47.4497550292172;63.3773552290406;-4.74497550292172;63.3773552290406
"13";169;2019;2020;100;2050;2021;2897135;2736760;0;160375;0.032258064516129;93455.9677419355;TRUE;"3";-100;171.604878612836;31;30;100;5.53564124557537;3.33333333333333;5.53564124557537
"14";220;2018;2020;50;2030;2021;64163.78;32407.907;32081.89;31755.873;0.166666666666667;5346.98166666667;TRUE;"2";-1.00597980610102;593.902784405782;12;10;0.504261300345643;28.9309481563753;0.100597980610102;24.7459493502409
"15";220;2018;2020;50;2030;2021;31662.93;25154.358;15831.465;6508.572;0.166666666666667;2638.5775;TRUE;"2";-37.062734815176;246.669730186057;12;10;20.6669897301104;10.8685301640538;3.7062734815176;10.277905424419
"16";220;2018;2020;50;2030;2021;74019.81;38388.917;37009.905;35630.893;0.166666666666667;6168.3175;TRUE;"2";-3.59221386735136;577.643628104422;12;10;1.81253331883512;27.9840080320363;0.359221386735136;24.0684845043509
"17";240;2016;2020;67;2032;2021;6003;5151;1980.99;852;0.25;1005.5025;FALSE;"2";-61.5416423995341;84.7337525267217;16;12;21.2505220656055;3.75441831271812;5.12847019996117;3.54822588705647
"18";240;2016;2020;67;2032;2021;1285;933;424.05;352;0.25;215.2375;TRUE;"2";-54.5498392282958;163.54027527731;16;12;17.8923058416106;7.69087612246456;4.54581993569132;6.84824902723735
"19";240;2016;2020;3;2032;2021;280000;215315;271600;64685;0.25;2100;TRUE;"2";26.1407704990363;3080.2380952381;16;12;-5.97754868994964;6.35619246252568;-2.17839754158636;5.77544642857143
"20";248;2019;2020;20;2025;2021;356712;334225;285369.6;22487;0.166666666666667;11890.4;TRUE;"1";-14.6175181389782;189.118953105026;6;5;14.6175181389782;6.30396510350086;2.92350362779564;6.30396510350086
