account_id;company_name;program_id;access;incorporation_country;sectors;industries;activities;primary_sector;primary_industry;primary_activity;project_year;Target reference number;Year target was set;Target coverage;Scope(s) (or Scope 3 category);Base year;Covered emissions in base year (metric tons CO2e);Covered emissions in base year as % of total base year emissions in selected Scope(s) (or Scope 3 category);Target year;Targeted reduction from base year (%);Covered emissions in target year (metric tons CO2e) [auto-calculated];Covered emissions in reporting year (metric tons CO2e);Covered emissions outlier check;Target emission change rate vs 2019;Pro-rated achievement rate (BY-TY);TY_EM;MRY_EM
828375;PARAGON PRECISION CASTING CO., LTD.;Supply Chain;public;Taiwan, Greater China; Powered machinery; Manufacturing; Industrial machinery;Powered machinery;Manufacturing;Industrial machinery;2020;Abs 1;2019;Company-wide;Scope 1;2018;70.2;100;2030;5;66.69;140.4;100.00%;-53%;-24000%;-53%;
62296;COMPASS CORPORATION;Supply Chain;public;Taiwan, Greater China; Biotech & pharma; Biotech, health care & pharma; Biotech & pharma, Biotechnology;Biotech & pharma;Biotech, health care & pharma;Biotechnology;2020;Abs 1;2019;Company-wide;Scope 1;2018;22.86;100;2030;5;21.717;34.01;100.00%;-36%;-11706%;;
3402;Citizen Watch Co.,Ltd.;Investor;public;Japan; Accessories, Discretionary retail, Electrical & electronic equipment, Leisure & home manufacturing, Powered machinery; Apparel, Manufacturing, Retail; Accessories, Accessories manufacture, Electronic equipment, Industrial machinery, Specialist retail;Leisure & home manufacturing;Manufacturing;Accessories;2020;Abs 2;2019;Company-wide;Scope 3 (upstream & downstream);2018;84207.3;100;2030;15;71576.205;176854.93;100.00%;-60%;-4401%;;
837869;JWU SHENG ENTERPRISE CO LTD;Supply Chain;public;Taiwan, Greater China; Metal products manufacturing; Manufacturing; Fabricated metal components;Metal products manufacturing;Manufacturing;Fabricated metal components;2020;Abs 2;2019;Company-wide;Scope 1+2 (location-based);2018;234.62;100;2030;1.5;231.1007;246.76;100.00%;-6%;-4139%;;
828445;YOUR SHOW ENTERPRISE CO., LTD.;Supply Chain;public;Taiwan, Greater China; Plastic product manufacturing; Manufacturing; Plastic products;Plastic product manufacturing;Manufacturing;Plastic products;2020;Abs 1;2019;Company-wide;Scope 1;2018;106.58;100;2030;3;103.3826;116;99.23%;-11%;-3535%;;
838512;HELI  PRECISE  INDUSTRY  CO LTD;Supply Chain;public;Taiwan, Greater China; Metal products manufacturing; Manufacturing; Fabricated metal components;Metal products manufacturing;Manufacturing;Fabricated metal components;2020;Abs 1;2019;Company-wide;Scope 1;2018;20.72;100;2030;3;20.0984;22.29;107.58%;-10%;-3031%;;
838052;SHEH KAI PRECISION CO., LTD;Supply Chain;public;Taiwan, Greater China; Metal products manufacturing; Manufacturing; Metal containers & packaging;Metal products manufacturing;Manufacturing;Metal containers & packaging;2020;Abs 1;2019;Company-wide;Scope 2 (location-based);2018;3328.03;100;2030;1;3294.7497;3396.22;100.00%;-3%;-2459%;;
827569;ONE;Supply Chain;public;Singapore; Marine transport; Transportation services; Marine freight;Marine transport;Transportation services;Marine freight;2020;Abs 1;2018;Company-wide;Scope 1;2018;10090333;100;2030;25;7567749.75;13448125;100.00%;-44%;-1597%;;
13161;NH Hotel Group;Investor;public;Spain; Bars, hotels & restaurants; Hospitality; Hotels & lodging;Bars, hotels & restaurants;Hospitality;Hotels & lodging;2020;Abs 1;2019;Company-wide;Scope 1+2 (market-based);2018;82037;100;2030;21;64809.23;101241;100.00%;-36%;-1338%;;
831911;Sunmatch Industrial Co., Ltd.;Supply Chain;public;Taiwan, Greater China; Powered machinery; Manufacturing; Industrial machinery;Powered machinery;Manufacturing;Industrial machinery;2020;Abs 1;2019;Company-wide;Scope 2 (location-based);2018;384.47;100;2030;5;365.2465;403.67;100.00%;-10%;-1199%;;
