"account_id";"incorporation_country";"Target reference number";"Scope";"% emissions in Scope";"BY";"MRY";"TR";"TY";"TYset";"source_year";"BY_EM";"MRY_EM";"TYSet";"TargetActive";"Quantifiable";"Scope1_2";"Full_coverage";"Include";"TYset_EM";"TY_EM";"Timelapsed";"reduction_required";"reduction_achieved";"on_track";"target_year_group";"target_completed";"progress_rate";"maturity";"maturity_expired";"maturity_remaining";"annual_ambition_MRY_g";"annual_ambition_BY_g";"annual_progress_g";"annual_ambition_MRY_a";"annual_ambition_BY_a";"annual_progress_BY_a";"annual_progress_TYset_a";"diff_required_achieved_a";"net_zero"
53;"Spain";"Abs 1";"Scope 1";100;2015;2020;10;2021;2015;2021;70240.92;68013.83;2015;TRUE;TRUE;TRUE;TRUE;TRUE;70240.92;63216.828;0.833333333333333;5853.41;2227.09;FALSE;"1";-7.05298025416301;38.0477362768027;6;5;1;7.05298025416301;1.74068061473102;0.642327805175769;7.05298025416301;1.66666666666667;0.634128937946712;0.634128937946712;-5.38631358749635;FALSE
53;"Spain";"Abs 2";"Scope 2 (location-based)";100;2015;2020;10;2021;2015;2021;60489.13;52383.15;2015;TRUE;TRUE;TRUE;TRUE;TRUE;60489.13;54440.217;0.833333333333333;5040.76083333333;8105.98;TRUE;"1";3.92696315513672;160.808660994132;6;5;1;-3.92696315513672;1.74068061473102;2.83656621697074;-3.92696315513671;1.66666666666667;2.6801443499022;2.6801443499022;5.59362982180338;FALSE
58;"United States of America";"Abs 1";"Scope 1+2 (location-based) +3 (upstream)";100;2019;2020;27.5;2030;2020;2021;93174;44835.74;2020;TRUE;TRUE;TRUE;TRUE;TRUE;44835.74;67551.15;0.0909090909090909;2329.35;48338.26;TRUE;"2";50.6636223691189;2075.18234700668;11;1;10;-4.1839551246696;2.88116701058388;51.8795586751669;-5.06636223691189;2.5;51.8795586751669;NA;7.56636223691189;FALSE
64;"United States of America";"Abs 1";"Scope 1+2 (market-based)";100;2018;2020;30;2030;2020;2021;980000;906000;2020;TRUE;TRUE;TRUE;TRUE;TRUE;906000;686000;0.166666666666667;49000;74000;TRUE;"2";-24.2825607064018;151.020408163265;12;2;10;2.7432860505281;2.92855303767776;3.84960759734949;2.42825607064018;2.5;3.77551020408163;NA;0.0717439293598234;FALSE
97;"Germany";"Abs 1";"Scope 2 (market-based)";88;2015;2020;100;2022;2013;2021;3249;51.65;2015;TRUE;TRUE;TRUE;FALSE;FALSE;4527.94;0;0.714285714285714;2320.71428571429;3197.35;TRUE;"1";-100;137.774392120652;7;5;2;NA;NA;56.3218613166779;NA;NA;19.6820560172361;14.122757810395;NA;TRUE
119;"Canada";"Abs 1";"Scope 1+2 (location-based)";100;2000;2020;65;2015;2012;2021;10104222;1490933;2012;FALSE;TRUE;TRUE;TRUE;FALSE;4936248.6;3536477.7;1.33333333333333;8756992.4;8613289;FALSE;"0";137.198968699465;98.3589868137832;15;20;0;NA;6.75951233606181;9.12430141904612;27.4397937398931;4.33333333333333;4.26222276193061;8.7245291900412;-23.1064604065597;FALSE
119;"Canada";"Abs 2";"Scope 1+2 (market-based)";100;2015;2020;30;2025;2020;2021;2273000;1584000;2020;TRUE;TRUE;TRUE;TRUE;TRUE;1584000;1591100;0.5;340950;689000;TRUE;"1";0.448232323232323;202.082416776653;10;5;5;-0.0894861657879886;3.50389048801824;6.96825902847745;-0.0896464646464647;3;6.0624725032996;NA;3.08964646464646;FALSE
134;"Philippines";"Abs 1";"Scope 2 (location-based)";100;2020;2020;10;2021;2020;2021;261724;192695;2020;TRUE;TRUE;TRUE;TRUE;TRUE;261724;235551.6;0;0;69029;TRUE;"1";22.2406393523444;Inf;1;0;1;-22.2406393523444;10;NA;-22.2406393523444;10;NA;NA;32.2406393523444;FALSE
135;"Netherlands";"Abs 3";"Scope 1";76;2013;2020;43;2020;2016;2021;20090;5540;2016;FALSE;TRUE;TRUE;FALSE;FALSE;13854.2857142857;11451.3;1;8638.7;14550;TRUE;"0";106.702166064982;168.428119971755;7;7;0;NA;7.7163041037609;16.8091254809882;-Inf;6.14285714285714;10.346298798265;15.003093421324;Inf;FALSE
135;"Netherlands";"Abs 5";"Scope 1";100;2017;2020;83;2022;2019;2021;14210;5540;2019;TRUE;TRUE;TRUE;TRUE;TRUE;8430;2415.7;0.6;7076.58;8670;TRUE;"1";-56.3953068592058;122.516808967043;5;3;2;33.9661502403546;29.839967057221;26.9469147405565;28.1976534296029;16.6;20.3377902885292;34.282325029656;-11.5976534296029;FALSE
138;"South Africa";"Abs 1";"Scope 1+2 (location-based) +3 (upstream & downstream)";100;2018;2020;51;2030;2019;2021;296468;196146;2019;TRUE;TRUE;TRUE;TRUE;TRUE;246307;145269.32;0.166666666666667;25199.78;100322;TRUE;"2";-25.9381685071324;398.106650137422;12;2;10;2.95806565749153;5.77134184641062;18.6606277757695;2.59381685071324;4.25;16.9195326308404;20.3652352551897;1.65618314928676;FALSE
149;"Taiwan, Greater China";"Abs 1";"Scope 1+2 (location-based)";100;2019;2020;2;2020;2015;2021;37129.91;38876.69;2019;FALSE;TRUE;TRUE;TRUE;FALSE;30142.79;36387.3118;1;742.5982;-1746.78;FALSE;"0";-6.40326684190449;-235.22545570404;1;1;0;NA;2;-4.7045091140808;Inf;2;-4.7045091140808;-5.79501764766964;-Inf;FALSE
149;"Taiwan, Greater China";"Abs 2";"Scope 1+2 (location-based)";100;2014;2020;35;2030;2018;2021;48440.16;38876.69;2018;TRUE;TRUE;TRUE;TRUE;TRUE;42064.5133333333;31486.104;0.375;6357.771;9563.47;TRUE;"2";-19.0103272680879;150.421743721188;16;6;10;2.08641222166054;2.65647142655554;3.59920426744527;1.90103272680879;2.1875;3.29047564390098;3.78920743486552;0.286467273191211;FALSE
154;"Spain";"Abs 1";"Scope 1+2 (market-based)";100;2017;2020;60;2030;2017;2021;213109;133146;2017;TRUE;TRUE;TRUE;TRUE;TRUE;213109;85243.6;0.230769230769231;29507.4;79963;TRUE;"2";-35.9773481741847;270.993039034276;13;3;10;4.36136569588449;6.80572586018016;14.5112872860218;3.59773481741847;4.61538461538462;12.5073710323512;12.5073710323512;1.01764979796614;FALSE
154;"Spain";"Abs 2";"Other, please specify: Scope 3 categories: purchased goods and services, capital goods, energy-related activities, upstream transportation and distribution, employee commuting and use of sold products";100;2017;2020;47;2030;2017;2021;1994537;1381952;2017;TRUE;TRUE;FALSE;TRUE;FALSE;1994537;1057104.61;0.230769230769231;216330.551538462;612585;TRUE;"2";-23.506416286528;283.170821524526;13;3;10;2.64404959145944;4.76634523152137;11.5121546052698;2.3506416286528;3.61538461538462;10.2377143166559;10.2377143166559;1.26474298673181;FALSE
156;"France";"Abs 1";"Scope 1+2 (location-based)";100;2019;2020;46;2030;2020;2021;1946092;1271172;2020;TRUE;TRUE;TRUE;TRUE;TRUE;1271172;1050889.68;0.0909090909090909;81382.0290909091;674920;TRUE;"2";-17.3290726982658;829.323141164335;11;1;10;1.88502875564759;5.44768641660425;34.6807859032358;1.73290726982658;4.18181818181818;34.6807859032358;NA;2.4489109119916;FALSE
156;"France";"Abs 2";"Other, please specify: This target refers to the Group's scope 3 emissions. The scope 3 categories included in this target are: purchased goods and services, fuel and energy-related activities and franchises (making up 88% of the total scope 3 emissions).";88;2019;2020;28;2030;2020;2021;2180085;1414499;2020;TRUE;TRUE;FALSE;FALSE;FALSE;1414499;1569661.2;0.0909090909090909;55493.0727272727;765586;TRUE;"2";10.969410370739;1379.60643081086;11;1;10;-1.04627957405614;2.94224827930741;35.1172546024582;-1.0969410370739;2.54545454545455;35.1172546024582;NA;3.64239558252845;FALSE
169;"Spain";"Abs 1";"Scope 1+2 (location-based)";100;2019;2020;100;2050;2019;2021;2897135;2736760;2019;TRUE;TRUE;TRUE;TRUE;TRUE;2897135;0;0.032258064516129;93455.9677419355;160375;TRUE;"3";-100;171.604878612836;31;1;30;NA;NA;5.53564124557537;NA;NA;5.53564124557537;5.53564124557537;NA;TRUE
220;"Switzerland";"Abs 1";"Scope 1";100;2018;2020;50;2030;2020;2021;64163.78;32407.91;2020;TRUE;TRUE;TRUE;TRUE;TRUE;32407.91;32081.89;0.166666666666667;5346.98166666667;31755.87;TRUE;"2";-1.00598896997678;593.902728299361;12;2;10;0.101057226053503;5.61256873183065;28.9309448669442;0.100598896997678;4.16666666666667;24.7459470124734;NA;4.06606776966899;FALSE
220;"Switzerland";"Abs 2";"Scope 2 (market-based)";100;2018;2020;50;2030;2020;2021;31662.9;25154.35;2020;TRUE;TRUE;TRUE;TRUE;TRUE;25154.35;15831.45;0.166666666666667;2638.575;6508.55;TRUE;"2";-37.0627744306651;246.669130117583;12;2;10;4.52475985259305;5.61256873183065;10.8685021124024;3.70627744306651;4.16666666666667;10.2778804215659;NA;0.460389223600159;FALSE
240;"Germany";"Abs 1";"Scope 2 (market-based)";100;2016;2020;67;2032;2017;2021;6003;5151;2017;TRUE;TRUE;TRUE;TRUE;TRUE;5790;1980.99;0.25;1005.5025;852;FALSE;"2";-61.5416423995341;84.7337525267217;16;4;12;7.65446654380902;6.6945264787174;3.75441831271812;5.12847019996117;4.1875;3.54822588705647;3.67875647668394;-0.940970199961173;FALSE
240;"Germany";"Abs 2";"Scope 1";79;2016;2020;67;2032;2017;2021;1010;626;2017;TRUE;TRUE;TRUE;FALSE;FALSE;914;333.3;0.25;169.175;384;TRUE;"2";-46.7571884984026;226.983892419093;16;4;12;5.11699839938764;6.6945264787174;11.2714795198613;3.89643237486688;4.1875;9.5049504950495;10.5032822757112;0.29106762513312;FALSE
