"company_name";"Scope_short";"Target year";"Base year";"count_branches";"sum_percent_alloc";"remaing";"perc_from_closest_number"
"AL KARAM TOWEL INDUSTRIES";"S1";2020;2019;2;2;0;0
"BMW AG";"S12M";2020;2015;18;2;0;0
"BMW AG";"S12M";2050;2015;18;2;0;0
"Butterball";"S1";2022;2018;2;2;0;0
"Chubb Limited";"S12M";2025;2016;4;2;0;0
"Chubb Limited";"S12M";2035;2016;4;2;0;0
"Commonwealth Bank of Australia";"S2L";2020;2009;8;2;0;0
"CPFL Energia SA";"S1";2022;2018;2;2;0;0
"Dexus";"S12L";2020;2015;2;2;0;0
"Goodman Property Trust";"S1";2025;2019;2;2;0;0
"International Flavors & Fragrances Inc.";"S12M";2025;2015;4;2;0;0
"Landsvirkjun";"S1";2030;2008;2;2;0;0
"Loblaw Companies Limited";"S12L3";2030;2011;2;2;0;0
"Mahindra Lifespace Developers Limited";"S12L";2033;2018;2;2;0;0
"NiSource Inc.";"S1";2025;2005;2;2;0;0
"NiSource Inc.";"S1";2030;2005;2;2;0;0
"Prairiesky Royalty Ltd";"S12L";2025;2017;2;2;0;0
"REN - Redes Energéticas Nacionais";"S1";2020;2012;2;2;0;0
"Rengo Co., Ltd.";"S12L";2020;1990;2;2;0;0
"Rengo Co., Ltd.";"S12L";2050;1990;2;2;0;0
"Republic Services, Inc.";"S12M";2030;2017;2;2;0;0
"Severfield";"S12M";2025;2019;4;3;0;0
"Severfield";"S12M";2040;2019;4;3;0;0
"Slovenska Grafia";"S1";2022;2015;4;4;0;0
"T Mobile USA inc";"S2M";2020;2012;3;3;0;0
"United Microelectronics";"S1";2025;2010;4;2;0;0
"UPS";"S12M";2025;2015;4;2;0;0
"WEC Energy Group";"S1";2030;2005;2;2;0;0
