"company_name";"Scope_short";"Target year";"Base year";"count_branches";"sum_percent_alloc";"remaing";"perc_from_closest_number"
"ABB";"S12M";2020;2013;3;3;0;0
"Abengoa";"S12L";2023;2017;3;3;0;0
"Abengoa";"S3";2023;2017;3;3;0;0
"Abengoa";"S3";2023;2018;3;3;0;0
"Accenture";"S12M3";2025;2016;2;2;0;0
"ACCIONA S.A.";"S3";2030;2017;2;2;0;0
"Acuity Brands Inc";"S2L";2020;2019;2;2;0;0
"Acuity Brands Inc";"S2L";2022;2019;2;2;0;0
"Acuity Brands Inc";"S3";2020;2019;2;2;0;0
"Acuity Brands Inc";"S3";2022;2019;2;2;0;0
"adidas AG";"S12M";2020;2015;2;2;0;0
"Adobe, Inc.";"S12M";2025;2015;3;3;0;0
"Adobe, Inc.";"S12M";2035;2015;3;3;0;0
"Adobe, Inc.";"S3";2020;2013;3;3;0;0
"ADVA Optical Networking SE";"S1";2032;2016;3;3;0;0
"ADVA Optical Networking SE";"S2L";2032;2016;3;3;0;0
"ADVA Optical Networking SE";"S3";2032;2016;3;3;0;0
"Advanced Micro Devices, Inc";"S12L";2020;2014;2;2;0;0
"Aisin Seiki Co., Ltd.";"S12L";2050;2016;2;2;0;0
"Akamai Technologies Inc";"S12M";2020;2015;2;2;0;0
"AL KARAM TOWEL INDUSTRIES";"S1";2019;2016;2;2;0;0
"AL KARAM TOWEL INDUSTRIES";"S1";2020;2019;2;2;0;0
"ALPLA";"S12L3";2022;2018;2;2;0;0
"ALPS ALPINE CO LTD.";"S12M";2051;2014;2;2;0;0
"Alten";"S3";2025;2018;2;2;0;0
"Altria Group, Inc.";"S3";2030;2017;2;2;0;0
"Ameren Corporation";"S1";2019;2018;3;3;0;0
"American Express";"S12M3";2025;2011;2;2;0;0
"American Express";"S12M3";2040;2011;2;2;0;0
"AmerisourceBergen Corp.";"S2L";2020;2016;2;2;0;0
"Amgen, Inc.";"S12L";2020;2012;2;2;0;0
"Amtrak";"S12L";2019;2018;2;2;0;0
"An Post";"S1";2020;2009;2;2;0;0
"ANA Holdings Inc.";"S1";2020;2012;2;2;0;0
"AOE GMBH";"S3";2020;2019;2;2;0;0
"Apple Inc.";"S12M";2020;2012;3;3;0;0
"Apple Inc.";"S12M";2036;2012;3;3;0;0
"Apple Inc.";"S12M3";2030;2015;3;3;0;0
"Apple Inc.";"S2M";2019;2011;3;3;0;0
"Applied Materials Inc.";"S12M";2020;2018;2;2;0;0
"Arce Avícola";"S12M";2020;2020;2;2;0;0
"Archer Daniels Midland";"S12L";2035;2019;3;3;0;0
"ARKEMA";"S12M";2030;2015;2;2;0;0
"ASE Technology Holding Co., Ltd.";"S12M";2025;2016;2;2;0;0
"ASE Technology Holding Co., Ltd.";"S12M";2035;2016;2;2;0;0
"Asics Corporation";"S12M";2020;2015;2;2;0;0
"Asics Corporation";"S12M";2030;2015;2;2;0;0
"ASML Holding";"S12M";2025;2019;2;2;0;0
"AstraZeneca";"S3";2025;2015;3;3;0;0
"ASUSTeK Computer Inc";"S12L";2025;2008;2;2;0;0
"ASUSTeK Computer Inc";"S3";2019;2019;2;2;0;0
"AT&T Inc.";"S1";2020;2008;2;2;0;0
"Atos SE";"S12X3";2021;2012;3;3;0;0
"Atos SE";"S12X3";2050;2012;3;3;0;0
"Automatic Data Processing, Inc.";"S12L";2020;2014;3;3;0;0
"Avis Budget Group";"S12M";2030;2018;2;2;0;0
"Avon Products, Inc.";"S12L";2020;2005;3;3;0;0
"Bain & Company";"S12L";2030;2016;3;3;0;0
"Bain & Company";"S12M";2040;2011;3;3;0;0
"Baker Hughes Company";"S12M";2020;2012;3;3;0;0
"Baker Hughes Company";"S12M";2030;2012;3;3;0;0
"Baker Hughes Company";"S12M";2050;2012;3;3;0;0
"Ball Corporation";"S12M";2030;2017;2;2;0;0
"Ball Corporation";"S3";2030;2017;2;2;0;0
"Banco BPM SpA";"S1";2023;2019;3;3;0;0
"BanColombia SA";"S3";2020;2010;2;2;0;0
"BanColombia SA";"S3";2020;2015;2;2;0;0
"BanColombia SA";"S3";2020;2016;2;2;0;0
"BanColombia SA";"S3";2020;2019;2;2;0;0
"Barrick Gold Corporation";"S12M";2030;2018;2;2;0;0
"Bayer AG";"S12M";2029;2019;3;3;0;0
"Bayer AG";"S3";2029;2019;3;3;0;0
"BayWa AG Munich";"S12M";2025;2017;2;2;0;0
"BBA Aviation";"S12L";2025;2018;2;2;0;0
"BBA Aviation";"S12L";2030;2018;2;2;0;0
"BBA Aviation";"S12L";2050;2018;2;2;0;0
"BBVA";"S12M";2025;2015;2;2;0;0
"BBVA";"S12M";2050;2015;2;2;0;0
"BerBrand Srl";"S2L";NA;2020;3;3;0;0
"BerBrand Srl";"S3";NA;2020;3;3;0;0
"Berkeley Group";"S12M";2030;2019;2;2;0;0
"BMW AG";"S12M";2020;2015;2;2;0;0
"BMW AG";"S12M";2050;2015;2;2;0;0
"Boeing Company";"S12M";2025;2017;2;2;0;0
