"company_name";"Country/Region";"percent_alloc"
"Aeon Mall Co., Ltd.";"Japan";NA
"AFLAC Incorporated";"United States of America";NA
"Affiliated Managers Group";"United States of America";NA
"Aoyama Trading Co., Ltd.";"Japan";NA
"de Volksbank N.V.";"Netherlands";NA
"Banque Cantonale Vaudoise";"Switzerland";NA
"The Bank of Yokohama, Ltd.";"Japan";NA
"Bendigo and Adelaide Bank";"Australia";NA
"Companhia Energetica Minas Gerais - CEMIG";"Brazil";NA
"MIRAE ASSET DAEWOO CO., LTD";"Republic of Korea";NA
"American Sugar Refining, Inc.";"United States of America";NA
"ERG S.p.A";"Italy";NA
"Fifth Third Bancorp";"United States of America";NA
"First Gen Corporation";"Philippines";NA
"The Hachijuni Bank, Ltd.";"Japan";NA
"Hannover Rück SE";"Germany";NA
"Kobayashi Pharmaceutical Co., Ltd.";"Japan";NA
"Korea Electric Power Corp";"Republic of Korea";NA
"MTR Corporation Limited";"China, Hong Kong Special Administrative Region";NA
"Netcare Limited";"South Africa";NA
"Nissan Chemical Corporation";"Japan";NA
"Eversource Energy";"United States of America";NA
"Nykredit";"Denmark";NA
"Ping An Insurance Group Company of China Ltd";"China";NA
"Pinnacle West Capital Corporation";"United States of America";NA
"Platinum Asset Management";"Australia";NA
"Principal Financial Group, Inc.";"United States of America";NA
"PTT";"Thailand";NA
"Prudential Financial, Inc.";"United States of America";NA
"Regions Financial Corporation";"United States of America";NA
"Resona Holdings, Inc.";"Japan";NA
"SimCorp A/S";"Denmark";NA
"STRATEC SE";"Germany";NA
"The Tokyo Electric Power Company Holdings, Inc (TEPCO)";"Japan";NA
"Terna";"Italy";NA
"Tyson Foods, Inc.";"United States of America";NA
"West Japan Railway Company";"Japan";NA
"NH Investment & Securities Co., Ltd.";"Republic of Korea";NA
"YAPI VE KREDI BANKASI A.S.";"Turkey";NA
"Sul América S/A";"Brazil";NA
"Mercialys";"France";NA
"Credito Emiliano";"Italy";NA
"BPER Banca";"Italy";NA
"MEGMILK SNOW BRAND Co.,Ltd.";"Japan";NA
"Coca-Cola Bottlers Japan Holdings Inc.";"Japan";NA
"Alk-Abello A/S";"Denmark";NA
"Nexen Tire";"Republic of Korea";NA
"Organizacion Soriana";"Mexico";NA
"Orion Oyj";"Finland";NA
"ENCIRC";"United Kingdom of Great Britain and Northern Ireland";NA
"THOMAS GREG & SONS GRAFICA E SERV E";"Brazil";NA
"Islam Garments Ltd";"Bangladesh";NA
"DW Morgan, LLC";"United States of America";NA
"Crown Prince";"United States of America";NA
"COFCO Malt (Dalian) Co., Ltd";"China";NA
"Aedifica SA";"Belgium";NA
"Korea District Heating Corp.";"Republic of Korea";NA
"Talanx AG";"Germany";NA
"Cumberland Packing Corp";"United States of America";NA
"DG3 NORTH AMERICA INC";"United States of America";NA
"RA.M oil";"Italy";NA
"C-Pack";"Brazil";NA
"Calbee, Inc.";"Japan";NA
"SCSK Corporation";"Japan";NA
"Korea East-West Power";"Republic of Korea";NA
"Trans-Expedite Inc.";"United States of America";NA
"Sethness";"United States of America";NA
"GRONINGER";"Germany";NA
"SAIFU CHEMICAL DEVELOPMENT CO";"China";NA
"Tree Top, Inc.";"United States of America";NA
"TRANSFORMACIONES AGRICOLAS DE BADAJOZ S A";"Spain";NA
"ROLLS WOOD GROUP";"United Kingdom of Great Britain and Northern Ireland";NA
"Airsys";"China";NA
"Ningbo Weilinma Electronic";"China";NA
"Ningbo Violet Lighting Electric Co.,Ltd";"China";NA
"Direct Line Insurance Group";"United Kingdom of Great Britain and Northern Ireland";NA
"Maeda Road Construction Co.,Ltd";"Japan";NA
"Grafobal a.s";"Slovakia";NA
"Atlasbx Co Ltd";"Republic of Korea";NA
"Yangzhou Fuping Living Supplies Factory";"China";NA
"EVERIS SPAIN S L";"Spain";NA
"Tokyo Ohka Kogyo Co Ltd";"United States of America";NA
"Voya Financial";"United States of America";NA
"Grupo Aeroportuario del Sureste SAB de CV";"Mexico";NA
"Girteka";"Lithuania";NA
"SIP ADVANCE PRINTING CO.";"China";NA
"CUORI ELECTRICAL APPLIA";"China";NA
"FUJIKIKO CO. LTD.";"Japan";NA
"NAVARRA DE ESTAMPACION E INYECCION S.A.";"United Kingdom of Great Britain and Northern Ireland";NA
"TECHNO STATE CO. LTD.";"Japan";NA
"XIAN OZ TELECOM";"China";NA
"Korea South-East Power";"Republic of Korea";NA
"HOROS INDUSTRIA DE TINTAS LTDA";"Brazil";NA
"INDO COUNT INDUSTRIES L";"India";NA
"SEIDO CHEMICAL INDUSTRY CO., LTD.";"Japan";NA
"GRUPO AGUAVIENTO SA DE CV";"Mexico";NA
"PASTAS ALIMENT LAZIALI SA CV";"Mexico";NA
"Ningbo SANHUAN";"Other, please specify: There is no facility outside of China";NA
"Blue Cross Blue Shield Massachusetts";"United States of America";NA
"Fuyo General Lease Co Ltd";"Japan";NA
"Dustin Group AB";"Sweden";NA
"INDUSTRIAS COR SA DE CV";"Mexico";NA
"CBB INDÚSTRIA E COMÉRCIO DE ASFALTO";"Brazil";NA
"SHANGHAI FUYUN INFORMATION TECHNOLOGY";"China";NA
"COSBOND";"China, Hong Kong Special Administrative Region";NA
"SHANGHAI ZHENHENG INTERNATIONAL";"China";NA
"TÜRKIYE KALKINMA BANKASI A.S.";"Turkey";NA
"Tosoh SMD";"United States of America";NA
"Groupe BPCE";"France";NA
"ASR Nederland";"Netherlands";NA
"Moneta Money Bank AS";"Czechia";NA
"COSMOS Group";"China";NA
"FACI";"Italy";NA
"FUJISAWA";"Japan";NA
"Top Polymer Enterprise Limited";"China";NA
"AimValley B.V.";"Netherlands";NA
"NISSEI CO.,LTD.";"Japan";NA
"SWATYCOMET, umetni brusi in nekovine, d.o.o.";"Slovenia";NA
"Terveystalo Oyj";"Finland";NA
"ZHONGSHAN SHANGYANG TECHNOLOGY";"China";NA
"MULIA AGUNG CHEMINDO, PT";"Indonesia";NA
"KUN SHAN RIHUI";"China";NA
"FRITZ";"Germany";NA
"FOOD AGRO AND ALLIED INDUSTRIES LTD";"Nigeria";NA
"M & X UTILITY";"United States of America";NA
"Keihin metal";"Japan";NA
"JINHUA RONGSHENG TOOLS FACTORY";"China";NA
"NINGBO YAOSHENG ELECTRICAL CO., LTD.";"China";NA
"SHANGHAI YUEDA NAILS CO., LTD";"China";NA
"SUZHOU UNICORN PRINTING PACKAGING CO.,LTD";"China";NA
"Daika Kogyo Co., Ltd.";"Japan";NA
"SUZHOU NEW DISTRICT FENGQIAO SANYUAN PACKAGING";"China";NA
"SUZHOU RONGCHANG SOFTBAG CO., LTD.";"China";NA
"Sarena Industries & Embroidery Mills (Pvt.) Ltd";"Pakistan";NA
"PML INC.";"United States of America";NA
"CRYSTAL ART OF FLORIDA  INC";"China";NA
"SHANDONG TOPSCIENCE BIOTECH";"China";NA
"FUJIAN GREEN PINE CO. LTD";"China";NA
"SHANGHAI RONG QING";"China";NA
"CoAsia";"Viet Nam";NA
"SHUNDA MACHINERY MANUFACTURING";"China";NA
"Superlink Technology Inc.";"China";NA
"PETER'S TECHNOLOGY";"China";NA
"COSDA MANUFACTURING COMPANY";"Other, please specify: ??";NA
"GREAT KNIVES MANUFACTURE CO., LTD.";"Taiwan, Greater China";NA
"KING MOUNT INTERNATIONAL";"China";NA
"LANCHAM INTERNATIONAL TRADE CO., LIMITED";"China";NA
"SUZHOU FUKUDA LASER PRECISION";"China";NA
"TEST RITE INTERNATIONAL CO., LTD";"China";NA
"YANGZHOU SHENGYE MACHINERY";"China";NA
"AMOTECH CO.,LTD.";"Republic of Korea";NA
"WISDOM WISE ENTERPRISES LTD.";"China";NA
"WING FAT";"China, Hong Kong Special Administrative Region";NA
"Jiashan Tailuo Manufacture Industry";"China";NA
"LIHUA COLOR PRINTED COMPANY LTD";"China";NA
"NEWPORT IP LLC";"United States of America";NA
"SUNG WOO PRINTEC CO., LTD.";"China";NA
"CHEQUERS ELECTRONIC";"China, Hong Kong Special Administrative Region";NA
"Designco";"India";NA
"Luckytown";"China";NA
"Ankyo Development Ltd";"China";NA
"Universal Mobile Technical Services Inc.";"Taiwan, Greater China";NA
"Joanne Kveton";"China";NA
"ZhangJiaGang Sunrise Textile Co";"China";NA
"SHIN SUNG VINA CO.,LTD";"Viet Nam";NA
"MiraeNanoTech.Co.,Ltd";"Republic of Korea";NA
"Three Stars";"China";NA
"TUBES INTERNATIONAL GMBH";"Austria";NA
"Suzhou Mecq Technology Co,,LTD";"China";NA
"SHANGHAI LIBA SCIENCE & TECHNOLOGY CO";"China";NA
"COPAMEX CORRUGADOS SA DE CV";"Mexico";NA
"Aquitex S.A.";"Portugal";NA
"Mammut sports Group AG";"Switzerland";NA
"GANT AB";"Sweden";NA
"Lever Style Inc.";"China";NA
"Trimax Apparel (Wuxi) Company Ltd.";"China";NA
"Sterling Styles Ltd";"Bangladesh";NA
"Haiyang Yingtong Wollen Sweater Co. Ltd.";"China";NA
"Orkuveita Reykjavíkur (Reykjavik Energy)";"Iceland";NA
"37 Interactive Entertainment";"China";NA
"TRANSUL SERVICOS, LOCACAO E TRANSPORTE";"Brazil";NA
"Zhejiang Double Arrow Rubber Co., Ltd.";"China";NA
