"Country/Region";"count_companies"
"Afghanistan";2
"Africa";16
"Africa and Latin America";1
"Africa and Middle East";10
"Albania";5
"Algeria";25
"American Samoa";2
"Americas";57
"Andorra";1
"Angola";12
"Antigua and Barbuda";1
"Argentina";139
"Armenia";4
"Aruba";2
"Asia Middle East (AME)";6
"Asia Pacific (or JAPA)";76
"Asia Pacific and Africa";5
"Asia, Australasia";22
"Asia, Australasia, Middle East and Africa";14
"Australasia";6
"Australia";220
"Austria";100
"Azerbaijan";7
"Bahamas";4
"Bahrain";18
"Baltic states";2
"Baltic States";1
"Bangladesh";27
"Barbados";4
"Belarus";11
"Belgium";172
"Belize";2
"Benelux";2
"Benin";5
"Bermuda";4
"Bolivia";3
"Bolivia (Plurinational State of)";4
"Bonaire, Sint Eustatius and Saba";1
"Bosnia & Herzegovina";5
"Bosnia and Herzegovina";6
"Botswana";7
"Brazil";270
"British Virgin Islands";2
"Brunei Darussalam";3
"Bulgaria";45
"Burkina Faso";4
"Cabo Verde";4
"Cambodia";16
"Cameroon";10
"Canada";276
"Cape Verde";2
"Caribbean";1
"Cayman Islands";1
"CEE (Central and Eastern Europe)";6
"Central African Republic";1
"Central America";1
"Central Europe";5
"Chad";3
"Chile";107
"China";486
"China, Hong Kong Special Administrative Region";67
"China, Macao Special Administrative Region";13
"CIS and Asia";2
"CIS+";1
"Colombia";86
"Commonwealth of Independent States (CIS)";3
"Comoros";1
"Congo";4
"Congo, Democratic Republic of the";3
"Cook Islands";1
"Costa Rica";43
"Côte d'Ivoire";10
"Cote d Ivoire";4
"Croatia";32
"Cuba";6
"Curaçao";1
"Cyprus";8
"Czech Republic";44
"Czechia";91
"Democratic People's Republic of Korea";4
"Democratic Republic of the Congo";4
"Denmark";100
"Djibouti";2
"Dominica";1
"Dominican Republic";26
"Eastern Europe";1
"Eastern Europe & CIS";1
"Eastern Europe, Middle East, and Africa (EEMEA)";3
"Ecuador";20
"Egypt";44
"El Salvador";17
"Equatorial Guinea";1
"Estonia";29
"Eswatini";3
"Ethiopia";7
"EU12";2
"EU15";1
"EU25";2
"EU28";3
"Eurasia";3
"Europe";81
"Europe and Africa";2
"Europe, Middle East and Africa (EMEA)";35
"Europe, the Middle East, Africa and Russia (EMEAR)";10
"Faroe Islands";2
"Fiji";2
"Finland";103
"France";287
"French Polynesia";1
"Gabon";8
"Gambia";3
"Georgia";4
"Germany";331
"Ghana";23
"Gibraltar";2
"Greece";67
"Greenland";1
"Grenada";1
"Guadeloupe";2
"Guam";5
"Guatemala";21
"Guernsey";2
"Guinea";4
"Guinea-Bissau";2
"Guyana";1
"Haiti";2
"Honduras";16
"Hong Kong";41
