"company_name";"Scope_short";"Target year";"Base year";"count_branches";"sum_percent_alloc";"remaing";"perc_from_closest_number"
"37 Interactive Entertainment";"S2L";2025;2019;1;0;0;NA
"3M Company";"S12L";2025;2002;8;1.00097804391218;0.000978043912175153;0.000977088276934213
"A.G. Barr Plc";"S12L";2025;2015;1;0.999972287555056;0.999972287555056;0.0000277132129449242
"A.P. Moller - Maersk";"S1";2050;2008;128;0.999991520274003;0.999991520274003;0.00000847979790319364
"Aareal Bank AG";"S2M";2020;2015;3;1.00036048064085;0.00036048064085481;0.000360350741388626
"ABB";"S12M";2020;2013;5;0.974756063465086;0.974756063465086;0.0258976963376625
"AbbVie Inc";"S12M";2025;2015;79;0.983665660435252;0.983665660435252;0.0166055807595444
"AbbVie Inc";"S12M";2035;2015;79;0.983665660435252;0.983665660435252;0.0166055807595444
"Abengoa";"S12L";2023;2017;16;0.997459318955679;0.997459318955679;0.00254715254651305
"Abengoa";"S3";2023;2017;16;0;0;NA
"Abengoa";"S3";2023;2018;16;0;0;NA
"Abertis Infraestructuras";"S1";2020;2015;8;0.999989183117342;0.999989183117342;0.0000108169996644314
"Abertis Infraestructuras";"S2L";2020;2015;8;1.00000269951071;0.00000269951071474317;0.00000269950342735026
"ABN Amro Holding";"S1";2020;2013;2;1;0;0
"ABN Amro Holding";"S1";2022;2017;2;1;0;0
"ABN Amro Holding";"S3";2022;2017;2;0;0;NA
"ABN Amro Holding";"S3";2030;2017;2;0;0;NA
"Absa Group Limited";"S12L3";2030;2018;12;0;0;NA
"Abt Associates Inc.";"S12L3";2021;2012;1;1;0;0
"Abt Associates Inc.";"S12L3";2050;2012;1;1;0;0
"Acbel Polytech Inc";"S12L";2030;2014;2;1;0;0
"Accenture";"S12M3";2025;2016;8;2;0.000000000000000444089209850063;0.000000000000000222044604925031
"ACCIONA S.A.";"S12M";2030;2017;32;1;0;0
"ACCIONA S.A.";"S3";2030;2017;64;0;0;NA
"ACEA SpA";"S2L";2022;2011;1;1;0;0
"ACEA SpA";"S2M";2022;2017;1;1;0;0
"ACERINOX";"S12L";2050;2019;4;1.00000034516859;0.000000345168589488409;0.000000345168470361479
"Acuity Brands Inc";"S2L";2022;2019;6;0.863184100536174;0.863184100536174;0.158501412825887
"Acuity Brands Inc";"S3";2022;2019;6;0;0;NA
"Adecco Group AG";"S2M";2022;2012;12;0;0;NA
"adidas AG";"S12M";2020;2015;37;0.853883853191564;0.853883853191564;0.171119463451964
"Adobe, Inc.";"S12M";2025;2015;4;0.831140905641285;0.831140905641285;0.203165423831989
