"Country/Region";"count_companies"
"Afghanistan";2
"Africa";17
"Africa and Latin America";1
"Africa and Middle East";11
"Albania";5
"Algeria";25
"American Samoa";2
"Americas";64
"Andorra";1
"Angola";12
"Anguilla";1
"Antigua and Barbuda";2
"Argentina";146
"Armenia";4
"Aruba";2
"Asia Middle East (AME)";7
"Asia Pacific (or JAPA)";85
"Asia Pacific and Africa";6
"Asia, Australasia";24
"Asia, Australasia, Middle East and Africa";16
"Australasia";7
"Australia";232
"Austria";105
"Azerbaijan";7
"Bahamas";4
"Bahrain";18
"Baltic states";2
"Baltic States";1
"Bangladesh";28
"Barbados";5
"Belarus";12
"Belgium";184
"Belize";2
"Benelux";2
"Benin";5
"Bermuda";5
"Bolivia";3
"Bolivia (Plurinational State of)";4
"Bonaire, Sint Eustatius and Saba";1
"Bosnia & Herzegovina";5
"Bosnia and Herzegovina";6
"Botswana";7
"Brazil";303
"British Virgin Islands";2
"Brunei Darussalam";3
"Bulgaria";48
"Burkina Faso";4
"Cabo Verde";4
"Cambodia";16
"Cameroon";10
"Canada";304
"Cape Verde";2
"Caribbean";1
"Cayman Islands";1
"CEE (Central and Eastern Europe)";6
"Central African Republic";2
"Central America";2
"Central Europe";5
"Chad";3
"Chile";112
"China";651
"China, Hong Kong Special Administrative Region";71
"China, Macao Special Administrative Region";13
"CIS and Asia";3
"CIS+";1
"Colombia";91
"Commonwealth of Independent States (CIS)";3
"Comoros";1
"Congo";4
"Congo, Democratic Republic of the";3
"Cook Islands";1
"Costa Rica";47
"Côte d'Ivoire";10
"Cote d Ivoire";4
"Croatia";32
"Cuba";6
"Curaçao";1
"Cyprus";10
"Czech Republic";47
"Czechia";97
"Democratic People's Republic of Korea";4
"Democratic Republic of the Congo";4
"Denmark";109
"Djibouti";2
"Dominica";1
"Dominican Republic";27
"Eastern Europe";1
"Eastern Europe & CIS";1
"Eastern Europe, Middle East, and Africa (EEMEA)";3
"Ecuador";21
"Egypt";46
"El Salvador";18
"Equatorial Guinea";1
"Estonia";30
"Eswatini";4
"Ethiopia";8
"EU12";2
"EU15";1
"EU25";2
"EU28";3
"Eurasia";4
"Europe";91
"Europe and Africa";3
"Europe, Middle East and Africa (EMEA)";41
"Europe, the Middle East, Africa and Russia (EMEAR)";11
"Faroe Islands";2
"Fiji";2
"Finland";113
"France";310
"French Polynesia";1
"Gabon";8
"Gambia";3
"Georgia";5
"Germany";369
"Ghana";23
"Gibraltar";3
"Greece";73
"Greenland";1
"Grenada";1
"Guadeloupe";2
"Guam";5
"Guatemala";23
"Guernsey";2
"Guinea";4
"Guinea-Bissau";2
"Guyana";1
"Haiti";2
"Honduras";16
"Hong Kong";43
"Hungary";106
"Iceland";8
"India";313
"Indonesia";162
"International Air Space";5
"International Waters";4
"Iran (Islamic Republic of)";7
"Iran, Islamic Republic of";2
"Iraq";8
"Ireland";150
"Isle of Man";1
"Israel";57
"Italy";264
"Jamaica";4
"Japan";437
"Jersey";1
"Jordan";14
"Kazakhstan";25
"Kenya";29
"Kiribati";1
"Kuwait";12
"Kyrgyzstan";4
"Lao People's Democratic Republic";3
"Laos, People's Democratic Republic of";2
"Laos, People s Democratic Republic of";4
"Latin America (LATAM)";28
"Latin America and Caribbean (LAC)";4
"Latin or South America (LSA)";7
"Latvia";26
"Lebanon";16
"Lesotho";4
"Liberia";4
"Libya";5
"Liechtenstein";1
"Lithuania";33
"Luxembourg";50
"Macau";3
"Madagascar";6
"Malawi";6
"Malaysia";195
"Mali";5
"Malta";8
"Mauritania";1
"Mauritius";8
"Mayotte";2
"Mexico";270
"Micronesia (Federated States of)";1
"Middle and Near East";1
"Middle East";9
"Middle East and North Africa (MENA)";2
"Moldova";2
"Monaco";8
"Mongolia";5
"Montenegro";5
"Morocco";46
"Mozambique";23
"Myanmar";22
"Namibia";5
"Nepal";5
"Netherlands";231
"New Caledonia";2
"New Zealand";85
"Nicaragua";12
"Niger";4
"Nigeria";24
"Nordic countries";5
"North America";76
"North Macedonia";6
"Northern Mariana Islands";1
"Norway";112
"Oceania";6
"Oman";17
"Other, please specify: ??";4
"Other, please specify: ???";1
"Other, please specify: ???(?????????????????????)";1
"Other, please specify: ????";1
"Other, please specify: ???????????????????????????";1
"Other, please specify: ?????????????????????????????????????????????UAE?????";1
"Other, please specify: ????·??·?????·????????";1
"Other, please specify: ??·??(????·????)";1
"Other, please specify: 1% of operations estimated";1
"Other, please specify: 10% of IAG kWh is from overseas offices in dozens of countries. Aggregated emissions are disclosed here.";1
"Other, please specify: All countries not including the US";1
"Other, please specify: Americas (Canada, USA, MEX, BRAS)";1
"Other, please specify: Americas (including Canada, Mexico, USA)";1
"Other, please specify: Americas (USA, CAN, MEX, BRA)";1
"Other, please specify: Americas except for the US";1
"Other, please specify: APAC";1
"Other, please specify: APAC (Asia Pacific)";1
"Other, please specify: APAC: Asia-Pacific, Australia";1
"Other, please specify: Asia";2
"Other, please specify: Asia (incl. Japan)";1
"Other, please specify: Asia incl. Japan";1
