"company_name";"Country/Region";"Scope(s) (or Scope 3 category)";"count_TY"
"37 Interactive Entertainment";"Global";"Scope 2 (location-based)";1
"3M Company";"Global";"Scope 1+2 (location-based)";1
"3NOD";"Global";"Scope 1";1
"A.G. Barr Plc";"Global";"Scope 1+2 (location-based)";1
"A.P. Moller - Maersk";"Global";"Scope 1";1
"Aareal Bank AG";"Global";"Scope 2 (market-based)";1
"ABB";"Global";"Scope 1+2 (market-based)";1
"AbbVie Inc";"Global";"Scope 1+2 (market-based)";2
"Abengoa";"Global";"Scope 1+2 (location-based)";1
"Abengoa";"Global";"Scope 3 (downstream)";1
"Abengoa";"Global";"Scope 3: Purchased goods & services";1
"Abertis Infraestructuras";"Global";"Scope 1";1
"Abertis Infraestructuras";"Global";"Scope 2 (location-based)";1
"ABN Amro Holding";"Global";"Scope 1";3
"ABN Amro Holding";"Global";"Scope 1+2 (location-based)";1
"ABN Amro Holding";"Global";"Scope 3 (downstream)";1
"ABN Amro Holding";"Global";"Scope 3: Business travel";1
"Absa Group Limited";"Global";"Scope 1+2 (location-based) +3 (upstream & downstream)";1
"Abt Associates Inc.";"Global";"Scope 1+2 (location-based) +3 (upstream)";2
"Acbel Polytech Inc";"Global";"Scope 1+2 (location-based)";2
"Accenture";"Global";"Scope 1+2 (market-based) +3 (upstream)";1
"ACCIONA S.A.";"Global";"Other, please specify: Scope 3 first 4 categories (purchased goods and services, capital goods, energy-related activities and upstream transportation and distribution)";1
"ACCIONA S.A.";"Global";"Scope 1+2 (market-based)";1
"ACCIONA S.A.";"Global";"Scope 3: Purchased goods & services";1
"Accurate Box";"Global";"Scope 2 (location-based)";1
"ACEA SpA";"Global";"Scope 2 (location-based)";1
"ACEA SpA";"Global";"Scope 2 (market-based)";2
"ACERINOX";"Global";"Scope 1+2 (location-based)";1
"Acuity Brands Inc";"Global";"Scope 2 (location-based)";2
"Acuity Brands Inc";"Global";"Scope 3: Purchased goods & services";2
"Adecco Group AG";"Global";"Scope 1";1
"Adecco Group AG";"Global";"Scope 2 (market-based)";1
"Adecco Group AG";"Global";"Scope 3 (upstream & downstream)";1
"adidas AG";"Global";"Scope 1+2 (market-based)";1
"Adler Pelzer Group";"Global";"Scope 1+2 (location-based)";1
"Adobe, Inc.";"Global";"Scope 1+2 (market-based)";2
"Adobe, Inc.";"Global";"Scope 3 (downstream)";1
"ADVA Optical Networking SE";"Global";"Scope 1";1
"ADVA Optical Networking SE";"Global";"Scope 2 (location-based)";1
"ADVA Optical Networking SE";"Global";"Scope 3: Use of sold products";1
"Advance Auto Parts Inc";"Global";"Scope 1+2 (location-based)";2
"Advanced Micro Devices, Inc";"Global";"Scope 1+2 (location-based)";1
"Advantest Corporation";"Global";"Scope 1+2 (market-based)";1
"Aedifica SA";"Global";"Scope 1+2 (location-based)";1
"AENA SME SA";"Global";"Scope 1+2 (market-based)";2
"Aeon Co., Ltd.";"Global";"Scope 1+2 (location-based)";1
"Aeon Mall Co., Ltd.";"Global";"Scope 1+2 (market-based)";1
"AER STAFFORD LIMITED";"Global";"Scope 2 (location-based)";1
"AES Tiete Energia SA";"Global";"Scope 1+2 (location-based) +3 (upstream)";1
"AES Tiete Energia SA";"Global";"Scope 2 (location-based)";1
"Affiliated Managers Group";"Global";"Scope 1+2 (location-based)";1
"AFLAC Incorporated";"Global";"Scope 1+2 (market-based)";1
"Africa Apparels EPZ Ltd.";"Global";"Scope 1";1
"AGL Energy";"Global";"Scope 1+2 (location-based)";3
"AH Hyea Aromatics";"Global";"Scope 3: Fuel and energy-related activities (not included in Scopes 1 or 2)";1
"AIB Group Plc";"Global";"Scope 1+2 (location-based)";2
"Aichi Rikuun Co., Ltd.";"Global";"Scope 3: Fuel and energy-related activities (not included in Scopes 1 or 2)";1
"AimValley B.V.";"Global";"Scope 1+2 (location-based)";1
"Air Canada";"Global";"Scope 1";1
"Air France - KLM";"Global";"Scope 1";1
"Air France - KLM";"Global";"Scope 1+2 (location-based)";1
"Airbus SE";"Global";"Scope 1+2 (market-based) +3 (upstream)";3
"Airsys";"Global";"Scope 2 (location-based)";1
"AISAN INDUSTRY CO. LTD.";"Global";"Scope 1+2 (location-based)";2
"Aisin Seiki Co., Ltd.";"Global";"Scope 1+2 (location-based)";2
"Aisin Seiki Co., Ltd.";"Global";"Scope 1+2 (location-based) +3 (upstream & downstream)";1
"AIXTRON SE";"Global";"Scope 1+2 (location-based)";1
"Ajinomoto Co.Inc.";"Global";"Scope 1+2 (market-based)";1
"AK Steel Holding Corporation";"Global";"Scope 1";1
"Akamai Technologies Inc";"Global";"Scope 1+2 (market-based)";1
"Aker BP ASA";"Global";"Scope 1";1
"Aker BP ASA";"Global";"Scope 2 (location-based)";1
"AL KARAM TOWEL INDUSTRIES";"Global";"Scope 1";3
"ALBARAKA TÜRK KATILIM BANKASI A.Ş.";"Global";"Scope 1+2 (location-based)";2
"ALBARAKA TÜRK KATILIM BANKASI A.Ş.";"Global";"Scope 1+2 (location-based) +3 (upstream & downstream)";1
"Alfa Laval Corporate AB";"Global";"Scope 1+2 (market-based) +3 (downstream)";1
"Algonquin Power & Utilities Corporation";"Global";"Scope 1+2 (location-based)";1
"ALIMENTOS CENTRALIZADOS DE MEXICO S DE RL DE CV  (axionlog cuautitlan)";"Global";"Scope 3: Fuel and energy-related activities (not included in Scopes 1 or 2)";1
"Alk-Abello A/S";"Global";"Scope 1+2 (location-based)";1
"Alkaram Textile Mills (Pvt) Ltd";"Global";"Scope 1";1
"All Access Apparel, Inc.";"Global";"Scope 1+2 (location-based)";1
"All Access Apparel, Inc.";"Global";"Scope 3: Business travel";1
"Allergan plc";"Global";"Scope 1+2 (market-based)";1
"Alliant Energy Corporation";"Global";"Scope 1";2
"ALLPROFESSIONAL MFG. CO., LTD.";"Global";"Scope 1+2 (market-based) +3 (upstream & downstream)";1
"ALLSTATES AIR CARGO";"Global";"Scope 1";1
"Alma Media Corporation";"Global";"Scope 1+2 (market-based)";1
"Almirall S.A.";"Global";"Scope 1";1
"Almirall S.A.";"Global";"Scope 1+2 (location-based)";1
"Almirall S.A.";"Global";"Scope 1+2 (market-based)";1
"Almirall S.A.";"Global";"Scope 2 (location-based)";1
"Almirall S.A.";"Global";"Scope 2 (market-based)";1
"Alnahr Alkhalid International Co";"Global";"Scope 1";1
"Alpha Bank";"Global";"Scope 1+2 (location-based)";1
"Alphabet, Inc.";"Global";"Scope 1+2 (market-based)";2
"Alphabet, Inc.";"Global";"Scope 1+2 (market-based) +3 (upstream)";1
"ALPLA";"Global";"Scope 1+2 (location-based) +3 (upstream)";1
"ALPS ALPINE CO LTD.";"Global";"Scope 1+2 (market-based)";1
"alstria office REIT-AG";"Global";"Scope 1";1
"alstria office REIT-AG";"Global";"Scope 3: Downstream leased assets";1
"ALTEAMS";"Global";"Scope 1+2 (location-based) +3 (downstream)";1
"Alten";"Global";"Scope 1+2 (market-based)";2
"Alten";"Global";"Scope 3: Business travel";2
"Alten";"Global";"Scope 3: Purchased goods & services";1
"ALTON INTERNATIONAL LTD";"Global";"Scope 1+2 (location-based)";1
"Altria Group, Inc.";"Global";"Scope 1+2 (location-based)";1
"Altria Group, Inc.";"Global";"Scope 1+2 (market-based)";1
"Altria Group, Inc.";"Global";"Scope 3 (upstream & downstream)";1
"Always Star Products Co.,Ltd.";"Global";NA;1
"Amadeus IT Group, S.A.";"Global";"Scope 1+2 (market-based)";2
"AMCOL(TIANJIN) INDUSTRIAL MINERALS CO., LTD";"Global";"Scope 2 (location-based)";1
"Amdocs Ltd";"Global";"Other, please specify: Energy related activities, business travels and employees leased cars for commuting and personal use.";1
"Amdocs Ltd";"Global";"Scope 1+2 (location-based)";1
"Amer Sports";"Global";"Scope 1+2 (location-based)";1
"Ameren Corporation";"Global";"Scope 1";4
"American Cleaning Supply, Inc.";"Global";"Scope 3: Fuel and energy-related activities (not included in Scopes 1 or 2)";1
"American Electric Power Company, Inc.";"Global";"Scope 1";2
"American Express";"Global";"Other, please specify: Scope 1+2 (market-based)+Scope 3 (business travel)";2
"American International Group, Inc. (AIG)";"Global";"Scope 1+2 (location-based)";1
"American Sugar Refining, Inc.";"Global";"Scope 1+2 (location-based)";1
"American Tower Corp.";"Global";"Scope 1";1
"American Water Works";"Global";"Scope 1+2 (location-based)";1
"AmerisourceBergen Corp.";"Global";"Scope 2 (location-based)";1
"Amgen, Inc.";"Global";"Scope 1+2 (location-based)";1
"AmorePacific Corporation";"Global";"Scope 1+2 (location-based)";1
"AMOTECH CO.,LTD.";"Global";"Scope 1";1
"AMP";"Global";"Scope 1+2 (location-based)";2
"Amtrak";"Global";"Scope 1+2 (location-based)";1
"An Post";"Global";"Scope 1";1
"An Post";"Global";"Scope 2 (market-based)";1
"ANA Holdings Inc.";"Global";"Scope 1";1
"Analog Devices, Inc.";"Global";"Scope 1+2 (market-based)";1
"ANCOROTTI";"Global";"Scope 1";1
"ANCOROTTI";"Global";"Scope 2 (market-based)";1
"Anglian Water";"Global";"Scope 1+2 (location-based) +3 (upstream & downstream)";3
"Anglian Water";"Global";"Scope 3: Capital goods";1
"Anglo American";"Global";"Scope 1+2 (location-based)";2
"Anglo American Platinum";"Global";"Scope 1+2 (location-based)";2
"Anheuser Busch InBev";"Global";"Scope 1+2 (market-based)";1
"Ankyo Development Ltd";"Global";"Scope 1";1
"ANNOVI REVERBERI SPA";"Global";"Scope 1+2 (location-based)";1
"Anritsu Corporation";"Global";"Other, please specify: Scope3：購入した製品・サービス(Category 1)＋販売した製品の使用(Category 11)";1
"Anritsu Corporation";"Global";"Scope 1+2 (market-based)";2
"Antofagasta";"Global";"Scope 1+2 (location-based)";1
