"company_name";"Scope_short";"Target year";"Base year";"count_branches";"sum_percent_alloc";"remaing";"perc_from_closest_number"
"37 Interactive Entertainment";"S2L";2025;2019;1;1;0;0
"3M Company";"S12L";2025;2002;1;1;0;0
"3NOD";"S1";2010;2017;1;1;0;0
"A.G. Barr Plc";"S12L";2025;2015;1;1;0;0
"A.P. Moller - Maersk";"S1";2050;2008;1;1;0;0
"Aareal Bank AG";"S2M";2020;2015;1;1;0;0
"ABB";"S12M";2020;2013;3;3;0;0
"AbbVie Inc";"S12M";2025;2015;1;1;0;0
"AbbVie Inc";"S12M";2035;2015;1;1;0;0
"Abengoa";"S12L";2023;2017;3;3;0;0
"Abengoa";"S3";2023;2017;3;3;0;0
"Abengoa";"S3";2023;2018;3;3;0;0
"Abertis Infraestructuras";"S1";2020;2015;1;1;0;0
"Abertis Infraestructuras";"S2L";2020;2015;1;1;0;0
"ABN Amro Holding";"S1";2019;2016;1;1;0;0
"ABN Amro Holding";"S1";2020;2013;1;1;0;0
"ABN Amro Holding";"S1";2022;2017;1;1;0;0
"ABN Amro Holding";"S12L";2017;2013;1;1;0;0
"ABN Amro Holding";"S3";2022;2017;1;1;0;0
"ABN Amro Holding";"S3";2030;2017;1;1;0;0
"Absa Group Limited";"S12L3";2030;2018;1;1;0;0
"Abt Associates Inc.";"S12L3";2021;2012;1;1;0;0
"Abt Associates Inc.";"S12L3";2050;2012;1;1;0;0
"Acbel Polytech Inc";"S12L";2019;2018;1;1;0;0
"Acbel Polytech Inc";"S12L";2030;2014;1;1;0;0
"Accenture";"S12M3";2025;2016;2;2;0;0
"ACCIONA S.A.";"S12M";2030;2017;1;1;0;0
"ACCIONA S.A.";"S3";2030;2017;2;2;0;0
"Accurate Box";"S2L";2019;2018;1;1;0;0
"ACEA SpA";"S2L";2022;2011;1;1;0;0
"ACEA SpA";"S2M";2019;2016;1;1;0;0
"ACEA SpA";"S2M";2022;2017;1;1;0;0
"ACERINOX";"S12L";2050;2019;1;1;0;0
"Acuity Brands Inc";"S2L";2020;2019;2;2;0;0
"Acuity Brands Inc";"S2L";2022;2019;2;2;0;0
"Acuity Brands Inc";"S3";2020;2019;2;2;0;0
"Acuity Brands Inc";"S3";2022;2019;2;2;0;0
"Adecco Group AG";"S1";2022;2012;1;1;0;0
"Adecco Group AG";"S2M";2022;2012;1;1;0;0
"Adecco Group AG";"S3";2022;2012;1;1;0;0
"adidas AG";"S12M";2020;2015;2;2;0;0
"Adler Pelzer Group";"S12L";2019;2017;1;1;0;0
"Adobe, Inc.";"S12M";2025;2015;3;3;0;0
"Adobe, Inc.";"S12M";2035;2015;3;3;0;0
"Adobe, Inc.";"S3";2020;2013;3;3;0;0
"ADVA Optical Networking SE";"S1";2032;2016;3;3;0;0
"ADVA Optical Networking SE";"S2L";2032;2016;3;3;0;0
"ADVA Optical Networking SE";"S3";2032;2016;3;3;0;0
"Advance Auto Parts Inc";"S12L";2019;2018;1;1;0;0
"Advance Auto Parts Inc";"S12L";2020;2019;1;1;0;0
"Advanced Micro Devices, Inc";"S12L";2020;2014;2;2;0;0
"Advantest Corporation";"S12M";2030;2018;1;1;0;0
"Aedifica SA";"S12L";2025;2017;1;1;0;0
"AENA SME SA";"S12M";2030;2015;1;1;0;0
"AENA SME SA";"S12M";2050;2015;1;1;0;0
"Aeon Co., Ltd.";"S12L";2030;2010;1;1;0;0
"Aeon Mall Co., Ltd.";"S12M";2030;2010;1;1;0;0
"AER STAFFORD LIMITED";"S2L";2020;2009;1;1;0;0
"AES Tiete Energia SA";"S12L3";2019;2018;1;1;0;0
"AES Tiete Energia SA";"S2L";2019;2018;1;1;0;0
"Affiliated Managers Group";"S12L";2023;2017;1;1;0;0
"AFLAC Incorporated";"S12M";2030;2007;1;1;0;0
"Africa Apparels EPZ Ltd.";"S1";2025;2019;1;1;0;0
"AGL Energy";"S12L";2024;2016;1;1;0;0
"AGL Energy";"S12L";2037;2016;1;1;0;0
"AGL Energy";"S12L";2050;2016;1;1;0;0
"AH Hyea Aromatics";"S3";2018;2017;1;1;0;0
"AIB Group Plc";"S12L";2025;2011;1;1;0;0
"AIB Group Plc";"S12L";2036;2011;1;1;0;0
"Aichi Rikuun Co., Ltd.";"S3";2019;2018;1;1;0;0
"AimValley B.V.";"S12L";2025;2018;1;1;0;0
"Air Canada";"S1";2050;2005;1;1;0;0
"Air France - KLM";"S1";2050;2005;1;1;0;0
"Air France - KLM";"S12L";2030;2018;1;1;0;0
"Airbus SE";"S12M3";2019;2018;1;1;0;0
"Airbus SE";"S12M3";2030;2015;1;1;0;0
"Airbus SE";"S12M3";2050;2015;1;1;0;0
"Airsys";"S2L";2020;2019;1;1;0;0
"AISAN INDUSTRY CO. LTD.";"S12L";2020;1990;1;1;0;0
"AISAN INDUSTRY CO. LTD.";"S12L";2030;2013;1;1;0;0
"Aisin Seiki Co., Ltd.";"S12L";2030;2013;1;1;0;0
"Aisin Seiki Co., Ltd.";"S12L";2050;2016;2;2;0;0
"Aisin Seiki Co., Ltd.";"S12L3";2030;2015;1;1;0;0
"AIXTRON SE";"S12L";2025;2015;1;1;0;0
"Ajinomoto Co.Inc.";"S12M";2030;2018;1;1;0;0
"AK Steel Holding Corporation";"S1";2025;2015;1;1;0;0
"Akamai Technologies Inc";"S12M";2020;2015;2;2;0;0
"Aker BP ASA";"S1";2030;2017;1;1;0;0
"Aker BP ASA";"S2L";2023;2018;1;1;0;0
"AL KARAM TOWEL INDUSTRIES";"S1";2018;2018;1;1;0;0
"AL KARAM TOWEL INDUSTRIES";"S1";2019;2016;2;2;0;0
"AL KARAM TOWEL INDUSTRIES";"S1";2020;2019;2;2;0;0
"ALBARAKA TÜRK KATILIM BANKASI A.Ş.";"S12L";2023;2017;1;1;0;0
"ALBARAKA TÜRK KATILIM BANKASI A.Ş.";"S12L";2030;2017;1;1;0;0
"ALBARAKA TÜRK KATILIM BANKASI A.Ş.";"S12L3";2030;2017;1;1;0;0
"Alfa Laval Corporate AB";"S12M3";2020;2015;1;1;0;0
"Algonquin Power & Utilities Corporation";"S12L";2023;2017;1;1;0;0
"ALIMENTOS CENTRALIZADOS DE MEXICO S DE RL DE CV  (axionlog cuautitlan)";"S3";2018;2019;1;1;0;0
"Alk-Abello A/S";"S12L";2020;2017;1;1;0;0
"Alkaram Textile Mills (Pvt) Ltd";"S1";2019;2017;1;1;0;0
"All Access Apparel, Inc.";"S12L";2021;2013;1;1;0;0
"All Access Apparel, Inc.";"S3";2020;2013;1;1;0;0
"Allergan plc";"S12M";2020;2015;1;1;0;0
"Alliant Energy Corporation";"S1";2030;2005;1;1;0;0
"Alliant Energy Corporation";"S1";2050;2005;1;1;0;0
"ALLPROFESSIONAL MFG. CO., LTD.";"S12M3";2030;2018;1;1;0;0
"ALLSTATES AIR CARGO";"S1";2018;2017;1;1;0;0
"Alma Media Corporation";"S12M";2025;2016;1;1;0;0
"Almirall S.A.";"S1";2025;2014;1;1;0;0
"Almirall S.A.";"S12L";2025;2014;1;1;0;0
"Almirall S.A.";"S12M";2025;2014;1;1;0;0
"Almirall S.A.";"S2L";2025;2014;1;1;0;0
"Almirall S.A.";"S2M";2025;2014;1;1;0;0
"Alnahr Alkhalid International Co";"S1";2019;2019;1;1;0;0
"Alpha Bank";"S12L";2019;2018;1;1;0;0
"Alphabet, Inc.";"S12M";2025;2015;1;1;0;0
"Alphabet, Inc.";"S12M";2040;2015;1;1;0;0
"Alphabet, Inc.";"S12M3";2019;2019;1;1;0;0
"ALPLA";"S12L3";2022;2018;2;2;0;0
"ALPS ALPINE CO LTD.";"S12M";2051;2014;2;2;0;0
"alstria office REIT-AG";"S1";2030;2018;1;1;0;0
"alstria office REIT-AG";"S3";2030;2018;1;1;0;0
"ALTEAMS";"S12L3";2030;2019;1;1;0;0
"Alten";"S12M";2025;2018;1;1;0;0
"Alten";"S12M";2035;2018;1;1;0;0
"Alten";"S3";2025;2018;2;2;0;0
"Alten";"S3";2030;2018;1;1;0;0
"ALTON INTERNATIONAL LTD";"S12L";2019;2018;1;1;0;0
"Altria Group, Inc.";"S12L";2025;2015;1;1;0;0
"Altria Group, Inc.";"S12M";2030;2017;1;1;0;0
"Altria Group, Inc.";"S3";2030;2017;2;2;0;0
"Always Star Products Co.,Ltd.";"SX";NA;NA;1;1;0;0
"Amadeus IT Group, S.A.";"S12M";2020;2015;1;1;0;0
"Amadeus IT Group, S.A.";"S12M";2030;2015;1;1;0;0
"AMCOL(TIANJIN) INDUSTRIAL MINERALS CO., LTD";"S2L";2019;2018;1;1;0;0
"Amdocs Ltd";"S12L";2024;2019;1;1;0;0
"Amdocs Ltd";"SX";2024;2019;1;1;0;0
"Amer Sports";"S12L";2030;2019;1;1;0;0
"Ameren Corporation";"S1";2019;2018;3;3;0;0
"Ameren Corporation";"S1";2030;2005;1;1;0;0
"Ameren Corporation";"S1";2040;2005;1;1;0;0
"Ameren Corporation";"S1";2050;2005;1;1;0;0
"American Cleaning Supply, Inc.";"S3";2020;2019;1;1;0;0
"American Electric Power Company, Inc.";"S1";2020;2010;1;1;0;0
"American Electric Power Company, Inc.";"S1";2050;2000;1;1;0;0
"American Express";"S12M3";2025;2011;2;2;0;0
"American Express";"S12M3";2040;2011;2;2;0;0
"American International Group, Inc. (AIG)";"S12L";2020;2010;1;1;0;0
